membrane_resistance_ohm_cm2,background_leak_multiplier,dose_scheme,dose_value,perturbation,n_cells,mean_localization_index,ci95_low_localization_index,ci95_high_localization_index,mean_signed_localization,ci95_low_signed_localization,ci95_high_signed_localization,mean_descendant_attenuated_fraction,ci95_low_descendant_attenuated_fraction,ci95_high_descendant_attenuated_fraction,mean_descendant_enhanced_fraction,ci95_low_descendant_enhanced_fraction,ci95_high_descendant_enhanced_fraction,mean_descendant_sign_flip_fraction,ci95_low_descendant_sign_flip_fraction,ci95_high_descendant_sign_flip_fraction,mean_descendant_gradient_energy_ratio,ci95_low_descendant_gradient_energy_ratio,ci95_high_descendant_gradient_energy_ratio,mean_transport_selectivity,ci95_low_transport_selectivity,ci95_high_transport_selectivity,mean_local_input_resistance_gohm,ci95_low_local_input_resistance_gohm,ci95_high_local_input_resistance_gohm
300,0,fixed_absolute_ns,0.05,focal shunt,8,0.001473719782,0.001337919809,0.001618397571,-0.001473730042,-0.001619138204,-0.001337899678,1,1,1,0,0,0,0,0,0,0.9975881679,0.9973332146,0.9978229103,74.14782779,37.2215408,114.0629011,0.0418707652,0.03976219723,0.04442825026
300,0,fixed_absolute_ns,0.05,matched additive,8,0.0004320002444,0.0002897860808,0.0005707709904,0.0004320002444,0.0002885774085,0.0005709259962,0,0,0,1,1,1,0,0,0,1.001773397,1.001570159,1.001939381,74.14782779,37.80299441,113.1167165,0.0418707652,0.03974830467,0.04448494264
300,0,fixed_absolute_ns,0.5,focal shunt,8,0.01465915849,0.0133405812,0.01609025483,-0.01465925997,-0.01609454692,-0.01333324434,1,1,1,0,0,0,0,0,0,0.9761560957,0.9737100037,0.9783510792,74.14782779,37.78966605,114.4241949,0.0418707652,0.03975596889,0.04444012015
300,0,fixed_absolute_ns,0.5,matched additive,8,0.004300108357,0.002873648518,0.005681206001,0.004300108357,0.002893488602,0.005676274914,0,0,0,1,1,1,0,0,0,1.017836167,1.015811951,1.019508164,74.14782779,37.06390192,113.9053688,0.0418707652,0.03974830467,0.04442825026
300,0,fixed_absolute_ns,5,focal shunt,8,0.1385740988,0.1280235802,0.1503521783,-0.1385750139,-0.1503547695,-0.1278595887,1,1,1,0,0,0,0,0,0,0.7906805688,0.7743707955,0.8059337995,74.14782779,37.06405,113.9053688,0.0418707652,0.03974830467,0.04442813878
300,0,fixed_absolute_ns,5,matched additive,8,0.04117729792,0.02792984608,0.05409075878,0.04117729792,0.02779120954,0.0539005187,0,0,0,1,1,1,0,0,0,1.188581162,1.165755135,1.207304863,74.14782779,37.79558908,113.9053688,0.0418707652,0.03975704606,0.04446533621
300,0,input_conductance_normalized,0.25,focal shunt,8,0.1643274007,0.1597879379,0.1684679559,-0.1643290977,-0.1685440296,-0.159736012,1,1,1,0,0,0,0,0,0,0.7458203969,0.7346842866,0.7556716602,74.14782779,37.30868698,114.374487,0.0418707652,0.03974703287,0.04443454446
300,0,input_conductance_normalized,0.25,matched additive,8,0.04187713814,0.02922037433,0.05361204892,0.04187713814,0.02908383803,0.05389730161,0,0,0,1,1,1,0,0,0,1.205571922,1.182627966,1.225848021,74.14782779,38.3979471,113.6926558,0.0418707652,0.03975596445,0.04444902094
300,0,input_conductance_normalized,1,focal shunt,8,0.5453999954,0.5349202796,0.5553966394,-0.5454042369,-0.5554472918,-0.534903251,1,1,1,0,0,0,0,0,0,0.3631033634,0.3518674079,0.3738159378,74.14782779,37.23391509,113.8482556,0.0418707652,0.03976471028,0.04441943835
300,0,input_conductance_normalized,1,matched additive,8,0.1518052825,0.107346635,0.1921470389,0.1518052825,0.1073067302,0.1929300751,0,0,0,1,1,1,0,0,0,1.953642154,1.835164309,2.057264367,74.14782779,38.02997276,114.5738716,0.0418707652,0.03978424357,0.04440309083
300,0,input_conductance_normalized,4,focal shunt,8,1.369348532,1.349621768,1.387008408,-1.369355317,-1.387203338,-1.349783287,1,1,1,0,0,0,0,0,0,0.07175715161,0.06888095611,0.07457468099,74.14782779,37.97260317,114.0476402,0.0418707652,0.03979618981,0.04443454446
300,0,input_conductance_normalized,4,matched additive,8,0.4657578008,0.3406483605,0.5759669305,0.4657578008,0.3401637748,0.5766246373,0,0,0,1,1,1,0,0,0,6.916240034,6.039543771,7.70351154,74.14782779,37.82065303,114.374487,0.0418707652,0.03976025092,0.04437579428
300,0,relative_local,0.25,focal shunt,8,0.02651624522,0.01994342323,0.03381503409,-0.02651781131,-0.03376385196,-0.01996348061,1,1,1,0,0,0,0,0,0,0.9604823892,0.9523923866,0.9685776715,74.14782779,37.28805714,113.8482556,0.0418707652,0.03975894372,0.04442619246
300,0,relative_local,0.25,matched additive,8,0.009876166569,0.005664327873,0.01462637669,0.009876166569,0.005675443144,0.01465173262,0,0,0,1,1,1,0,0,0,1.03864127,1.026400217,1.052895166,74.14782779,37.29102836,113.8496834,0.0418707652,0.03976471028,0.04444900374
300,0,relative_local,1,focal shunt,8,0.1000975117,0.07748283614,0.1240120482,-0.1001015423,-0.1240647181,-0.07709822729,1,1,1,0,0,0,0,0,0,0.8600332175,0.8350167965,0.8861434581,74.14782779,37.55970137,114.0609686,0.0418707652,0.03978744842,0.04442813878
300,0,relative_local,1,matched additive,8,0.03692396524,0.02164746769,0.05347070446,0.03692396524,0.02175723835,0.05358263298,0,0,0,1,1,1,0,0,0,1.168063133,1.110928324,1.233219415,74.14782779,37.9728595,114.5872,0.0418707652,0.0397711015,0.04442813878
300,0,relative_local,2,focal shunt,8,0.1855838026,0.1453614328,0.2258232245,-0.1855892664,-0.2265402439,-0.1457434507,1,1,1,0,0,0,0,0,0,0.7613138395,0.7252464543,0.7992743478,74.14782779,37.78966605,114.374487,0.0418707652,0.03979618981,0.04443259814
300,0,relative_local,2,matched additive,8,0.06864062178,0.04217467625,0.09806079222,0.06864062178,0.04223019306,0.09780608464,0,0,0,1,1,1,0,0,0,1.37212107,1.233263557,1.528544503,74.14782779,37.78966605,113.4799428,0.0418707652,0.03976214858,0.04443454446
300,1,fixed_absolute_ns,0.05,focal shunt,8,0.001421009093,0.001312883277,0.001549805832,-0.001421010693,-0.001550188197,-0.001314068569,1,1,1,0,0,0,0,0,0,0.9976323392,0.9974290844,0.9978060125,174.3301487,79.43904874,282.3040598,0.03431940476,0.03239063816,0.03674370536
300,1,fixed_absolute_ns,0.05,matched additive,8,0.0001939998023,0.0001278886262,0.0002632470504,0.0001939998023,0.0001265687225,0.0002630018721,0,0,0,1,1,1,0,0,0,1.001060553,1.000970959,1.001136396,174.3301487,81.34690128,280.5920237,0.03431940476,0.03238769498,0.03672872791
300,1,fixed_absolute_ns,0.5,focal shunt,8,0.01411284021,0.01305466072,0.0153686833,-0.0141128561,-0.01537772555,-0.01304952192,1,1,1,0,0,0,0,0,0,0.9766893141,0.9747318582,0.978329367,174.3301487,79.43904874,280.5920237,0.03431940476,0.03239881441,0.03674341974
300,1,fixed_absolute_ns,0.5,matched additive,8,0.001935635503,0.001257818601,0.002609993394,0.001935635503,0.001259281482,0.002609519567,0,0,0,1,1,1,0,0,0,1.010639989,1.009754507,1.01141488,174.3301487,79.34294026,280.4913119,0.03431940476,0.03240817442,0.03678315473
300,1,fixed_absolute_ns,5,focal shunt,8,0.1322439022,0.1231087977,0.1432460656,-0.132244051,-0.1431016172,-0.1231001902,1,1,1,0,0,0,0,0,0,0.7994408528,0.7854590642,0.8113908073,174.3301487,81.01668463,282.4199474,0.03431940476,0.03239063816,0.03674496857
300,1,fixed_absolute_ns,5,matched additive,8,0.01893905051,0.01254633186,0.02547642765,0.01893905051,0.01243355897,0.02542932544,0,0,0,1,1,1,0,0,0,1.10984537,1.100227333,1.118017213,174.3301487,81.13080444,283.5816314,0.03431940476,0.03239063816,0.03676691407
300,1,input_conductance_normalized,0.25,focal shunt,8,0.1877574687,0.1842006878,0.1910481007,-0.1877578941,-0.1910212269,-0.1842230069,1,1,1,0,0,0,0,0,0,0.7171661301,0.7115097146,0.7228398024,174.3301487,80.45745421,281.6109362,0.03431940476,0.03237816451,0.03670523357
300,1,input_conductance_normalized,0.25,matched additive,8,0.02361310615,0.01603657679,0.03123038259,0.02361310615,0.0161430357,0.03116344287,0,0,0,1,1,1,0,0,0,1.15028524,1.138357179,1.161515038,174.3301487,80.79761743,280.8121717,0.03431940476,0.03240817442,0.03671069118
300,1,input_conductance_normalized,1,focal shunt,8,0.6040069217,0.594907321,0.6125336501,-0.604007985,-0.6124580624,-0.594860941,1,1,1,0,0,0,0,0,0,0.3303350428,0.3247468421,0.3360551561,174.3301487,80.21611163,280.3127789,0.03431940476,0.03241496069,0.03674341974
300,1,input_conductance_normalized,1,matched additive,8,0.08833790635,0.06062792398,0.1154787551,0.08833790635,0.06063789685,0.1150856688,0,0,0,1,1,1,0,0,0,1.671441537,1.614124771,1.72781516,174.3301487,80.79097799,281.6109362,0.03431940476,0.03240053807,0.03670670401
300,1,input_conductance_normalized,4,focal shunt,8,1.464552452,1.447415703,1.479619437,-1.464554153,-1.479590413,-1.447524485,1,1,1,0,0,0,0,0,0,0.06194741008,0.06048376326,0.06351927648,174.3301487,81.57472113,282.8785894,0.03431940476,0.03240053807,0.03678185913
300,1,input_conductance_normalized,4,matched additive,8,0.2904857902,0.2057996722,0.3704572677,0.2904857902,0.2067223044,0.3697482417,0,0,0,1,1,1,0,0,0,4.810575391,4.409327486,5.187797066,174.3301487,79.655275,281.0387421,0.03431940476,0.03241803124,0.0367166531
300,1,relative_local,0.25,focal shunt,8,0.03982829231,0.03175448183,0.04806525418,-0.03982869318,-0.04806956853,-0.0316322596,1,1,1,0,0,0,0,0,0,0.9388417262,0.9286569908,0.9494891958,174.3301487,81.01617762,281.6109362,0.03431940476,0.03240687882,0.03678160591
300,1,relative_local,0.25,matched additive,8,0.006931944365,0.004049491352,0.01000697596,0.006931944365,0.004049590231,0.01001381508,0,0,0,1,1,1,0,0,0,1.034894531,1.025741281,1.044935218,174.3301487,81.13080444,281.2576391,0.03431940476,0.03236998826,0.03674496857
300,1,relative_local,1,focal shunt,8,0.1450969721,0.1172974983,0.1721217315,-0.1450979963,-0.1719650493,-0.1174995413,1,1,1,0,0,0,0,0,0,0.8003076083,0.772600592,0.8305457721,174.3301487,80.79778767,280.8109207,0.03431940476,0.03238752452,0.03668899292
300,1,relative_local,1,matched additive,8,0.02643244423,0.01584663118,0.03787792988,0.02643244423,0.01584170945,0.0379539626,0,0,0,1,1,1,0,0,0,1.148548396,1.10763504,1.193945861,174.3301487,81.33918129,280.5920237,0.03431940476,0.03238752452,0.03670014254
300,1,relative_local,2,focal shunt,8,0.2619280222,0.2160807249,0.3056850487,-0.2619294045,-0.3066604124,-0.2158568653,1,1,1,0,0,0,0,0,0,0.6780307204,0.641234005,0.7190299566,174.3301487,79.43904874,281.0387421,0.03431940476,0.03240817442,0.03673262386
300,1,relative_local,2,matched additive,8,0.05004891809,0.03066604108,0.07061137242,0.05004891809,0.03064616512,0.07043005044,0,0,0,1,1,1,0,0,0,1.321017511,1.227068115,1.425911278,174.3301487,81.12828822,281.1642178,0.03431940476,0.03238127815,0.0367274647
300,4,fixed_absolute_ns,0.05,focal shunt,8,0.001146293242,0.00106245267,0.001252778422,-0.001146293393,-0.001253603208,-0.001063303134,1,1,1,0,0,0,0,0,0,0.9981021865,0.9979296218,0.99823052,978.1989396,316.8078986,1904.401059,0.02493620786,0.02334139339,0.02700333252
300,4,fixed_absolute_ns,0.05,matched additive,8,6.430951487e-05,3.978348515e-05,9.197992016e-05,6.430951487e-05,3.993053221e-05,9.140598504e-05,0,0,0,1,1,1,0,0,0,1.000593051,1.000553063,1.00063524,978.1989396,316.8078986,1902.239021,0.02493620786,0.02332585666,0.0270619716
300,4,fixed_absolute_ns,0.5,focal shunt,8,0.0113962623,0.01057706183,0.0124476515,-0.01139626381,-0.01245616961,-0.01058039208,1,1,1,0,0,0,0,0,0,0.9812767198,0.9796003339,0.9825168773,978.1989396,315.951288,1905.652297,0.02493620786,0.02333468463,0.02702717505
300,4,fixed_absolute_ns,0.5,matched additive,8,0.0006425225645,0.0003947372831,0.0009067966132,0.0006425225645,0.0004001762231,0.0009190999022,0,0,0,1,1,1,0,0,0,1.00594057,1.005542414,1.00636912,978.1989396,314.903947,1890.086536,0.02493620786,0.02334868996,0.02701035991
300,4,fixed_absolute_ns,5,focal shunt,8,0.107853373,0.1005687665,0.1174732743,-0.1078533876,-0.1172075742,-0.100507931,1,1,1,0,0,0,0,0,0,0.8352902678,0.8226990456,0.8449147476,978.1989396,315.2985742,1890.086536,0.02493620786,0.02334202987,0.02702647152
300,4,fixed_absolute_ns,5,matched additive,8,0.006369016026,0.003944844255,0.00903139009,0.006369016026,0.003966795131,0.008984720797,0,0,0,1,1,1,0,0,0,1.060411997,1.056243083,1.064761657,978.1989396,316.8078986,1894.152526,0.02493620786,0.02333676449,0.0270483499
300,4,input_conductance_normalized,0.25,focal shunt,8,0.205908284,0.2030214168,0.2085218702,-0.2059083667,-0.2084369599,-0.2030601906,1,1,1,0,0,0,0,0,0,0.6999412377,0.6972632723,0.7029716232,978.1989396,315.5566608,1896.913088,0.02493620786,0.02334964127,0.02707153963
300,4,input_conductance_normalized,0.25,matched additive,8,0.01141794836,0.007428492985,0.01593388965,0.01141794836,0.007341693245,0.01590676838,0,0,0,1,1,1,0,0,0,1.117161119,1.111709858,1.123099377,978.1989396,317.8552397,1893.499812,0.02493620786,0.02335798882,0.02704074637
300,4,input_conductance_normalized,1,focal shunt,8,0.6497487501,0.6420887776,0.6563874919,-0.6497489567,-0.6564906611,-0.6421343234,1,1,1,0,0,0,0,0,0,0.3111752231,0.3084710158,0.3142295657,978.1989396,316.8078986,1890.73925,0.02493620786,0.02335130536,0.02702419254
300,4,input_conductance_normalized,1,matched additive,8,0.04372354937,0.02864558654,0.06059792992,0.04372354937,0.02845712938,0.06053698931,0,0,0,1,1,1,0,0,0,1.510672063,1.485106871,1.538480226,978.1989396,315.951288,1890.73925,0.02493620786,0.02333480035,0.02701000163
300,4,input_conductance_normalized,4,focal shunt,8,1.53908464,1.525428017,1.550572755,-1.53908497,-1.550490121,-1.525530197,1,1,1,0,0,0,0,0,0,0.0563697173,0.05566808829,0.05719677833,978.1989396,315.9414224,1900.335069,0.02493620786,0.02334240261,0.02699845414
300,4,input_conductance_normalized,4,matched additive,8,0.1524323576,0.1017957752,0.2073861968,0.1524323576,0.1017381844,0.2062927263,0,0,0,1,1,1,0,0,0,3.715129643,3.557049986,3.891116569,978.1989396,314.6458605,1898.871229,0.02493620786,0.02335061287,0.02699375698
300,4,relative_local,0.25,focal shunt,8,0.06290328292,0.05240347116,0.07250512406,-0.06290336259,-0.07241842573,-0.05255845359,1,1,1,0,0,0,0,0,0,0.9041517618,0.8917476923,0.9178398055,978.1989396,318.7118502,1890.73925,0.02493620786,0.02334139339,0.0270483499
300,4,relative_local,0.25,matched additive,8,0.004500318527,0.002740704055,0.006275432714,0.004500318527,0.002759929684,0.006268774478,0,0,0,1,1,1,0,0,0,1.037189233,1.029754631,1.044766071,978.1989396,316.1551848,1894.80524,0.02493620786,0.02336523592,0.0270453674
300,4,relative_local,1,focal shunt,8,0.2217629507,0.188197163,0.2520335761,-0.2217631526,-0.2520948112,-0.1883450584,1,1,1,0,0,0,0,0,0,0.7100039542,0.6797428611,0.7440081186,978.1989396,314.8974948,1898.907825,0.02493620786,0.02336056579,0.02704764764
300,4,relative_local,1,matched additive,8,0.01743823755,0.01076522657,0.02414488197,0.01743823755,0.01079966023,0.0241265646,0,0,0,1,1,1,0,0,0,1.156471429,1.123785122,1.190148933,978.1989396,318.0541763,1898.218516,0.02493620786,0.02334202987,0.02700333252
300,4,relative_local,2,focal shunt,8,0.3893762897,0.3350287339,0.4379016506,-0.3893765609,-0.437342781,-0.3342450411,1,1,1,0,0,0,0,0,0,0.5591968908,0.5219755949,0.601577364,978.1989396,315.2985742,1890.73925,0.02493620786,0.02334868996,0.02704868899
300,4,relative_local,2,matched additive,8,0.03357432686,0.02103498219,0.04601258455,0.03357432686,0.02091653354,0.04608605973,0,0,0,1,1,1,0,0,0,1.333514852,1.262141313,1.40946928,978.1989396,314.903947,1881.321244,0.02493620786,0.02333480035,0.0270483499
1000,0,fixed_absolute_ns,0.05,focal shunt,8,0.00170208452,0.001585698347,0.001831497122,-0.001702098482,-0.001829735888,-0.001585870175,1,1,1,0,0,0,0,0,0,0.9961886155,0.9958028009,0.9965281662,16.53896615,9.960763133,23.68749263,0.06471322321,0.06252516276,0.06707696204
1000,0,fixed_absolute_ns,0.05,matched additive,8,0.000981737719,0.0007016047201,0.001228381731,0.000981737719,0.0007062560366,0.001226505562,0,0,0,1,1,1,0,0,0,1.002654827,1.00224673,1.003003868,16.53896615,9.942306343,23.64539878,0.06471322321,0.06257050241,0.06710398785
1000,0,fixed_absolute_ns,0.5,focal shunt,8,0.01702406688,0.01591748486,0.01827148136,-0.01702420213,-0.01826945141,-0.01592377346,1,1,1,0,0,0,0,0,0,0.96262233,0.9591209704,0.965730295,16.53896615,9.865152005,23.70318415,0.06471322321,0.06250668065,0.06710187261
1000,0,fixed_absolute_ns,0.5,matched additive,8,0.009727655708,0.006968275792,0.01212670344,0.009727655708,0.006968288058,0.01213822474,0,0,0,1,1,1,0,0,0,1.026801371,1.0225815,1.03036069,16.53896615,9.961262665,23.67398965,0.06471322321,0.06252144182,0.06703780769
1000,0,fixed_absolute_ns,5,focal shunt,8,0.1636982824,0.1550613945,0.173193855,-0.1636993123,-0.17323313,-0.1549596412,1,1,1,0,0,0,0,0,0,0.6996570571,0.6810998566,0.7169824453,16.53896615,9.838488135,23.67398965,0.06471322321,0.06250629786,0.06707546405
1000,0,fixed_absolute_ns,5,matched additive,8,0.08960305017,0.06503029161,0.1107543874,0.08960305017,0.06565719947,0.1106897327,0,0,0,1,1,1,0,0,0,1.29332372,1.244878692,1.335843749,16.53896615,9.808681953,23.6875456,0.06471322321,0.06252937591,0.06706271825
1000,0,input_conductance_normalized,0.25,focal shunt,8,0.1257076337,0.1221399865,0.1292026057,-0.1257084203,-0.1292583983,-0.1220493419,1,1,1,0,0,0,0,0,0,0.7404393465,0.7271390664,0.75176273,16.53896615,9.775793171,23.64539878,0.06471322321,0.06254551347,0.06708135384
1000,0,input_conductance_normalized,0.25,matched additive,8,0.06114163119,0.04493541885,0.07474138901,0.06114163119,0.04544402778,0.07482096375,0,0,0,1,1,1,0,0,0,1.192090806,1.16429615,1.215500367,16.53896615,9.961262665,23.65584077,0.06471322321,0.06251685656,0.06712472134
1000,0,input_conductance_normalized,1,focal shunt,8,0.4423398558,0.4273885795,0.4548405326,-0.4423418134,-0.4547603561,-0.4275821116,1,1,1,0,0,0,0,0,0,0.3602048351,0.3470837698,0.3716541285,16.53896615,9.924865261,23.72152819,0.06471322321,0.06249381339,0.06707696204
1000,0,input_conductance_normalized,1,matched additive,8,0.2181148862,0.1634595839,0.2639692216,0.2181148862,0.1628961269,0.2640672603,0,0,0,1,1,1,0,0,0,1.885626275,1.748015762,2.003369808,16.53896615,9.997269525,23.6740728,0.06471322321,0.06251878377,0.06710398785
1000,0,input_conductance_normalized,4,focal shunt,8,1.18912183,1.152205348,1.220614428,-1.189124948,-1.22003712,-1.153443815,1,1,1,0,0,0,0,0,0,0.07215701374,0.06903538096,0.07500810416,16.53896615,9.962261969,23.76228512,0.06471322321,0.06252928212,0.06715146971
1000,0,input_conductance_normalized,4,matched additive,8,0.6415661836,0.4999646482,0.7584236309,0.6415661836,0.4980511874,0.757618885,0,0,0,1,1,1,0,0,0,6.418713953,5.436222127,7.281855012,16.53896615,9.924865261,23.72152819,0.06471322321,0.06254178806,0.06707907729
