cohort,config_index,depth,seed,checkpoint_bytes,inferred_flattened_inputs
bp_noise_additive,0,1,42,1258832202,614656.0
exact_noise_additive,0,1,42,1258832202,614656.0
bp_noise_additive,1,1,43,1258832202,614656.0
exact_noise_additive,1,1,43,1258832202,614656.0
bp_noise_additive,2,1,44,1258832202,614656.0
exact_noise_additive,2,1,44,1258832202,614656.0
bp_noise_additive,3,1,45,1258832202,614656.0
exact_noise_additive,3,1,45,1258832202,614656.0
bp_noise_additive,4,1,46,1258832202,614656.0
exact_noise_additive,4,1,46,1258832202,614656.0
bp_noise_additive,5,1,47,1258832202,614656.0
exact_noise_additive,5,1,47,1258832202,614656.0
bp_noise_additive,6,1,48,1258832202,614656.0
exact_noise_additive,6,1,48,1258832202,614656.0
bp_noise_additive,7,1,49,1258832202,614656.0
exact_noise_additive,7,1,49,1258832202,614656.0
bp_noise_additive,8,1,50,1258832202,614656.0
exact_noise_additive,8,1,50,1258832202,614656.0
bp_noise_additive,9,1,51,1258832202,614656.0
exact_noise_additive,9,1,51,1258832202,614656.0
