architecture,contrast,n_seeds,mean_difference,ci95_low,ci95_high,positive_seed_fraction,exact_sign_flip_p
additive,dfa within: neuron - scalar,15,0.10796667337417602,0.09718001266320546,0.11914666891098022,1.0,6.103515625e-05
additive,dfa within: exact path - neuron,15,0.0008666555086771648,8.665323257446289e-05,0.0016866564750671388,0.6,0.061279296875
additive,dfa within: autograd - exact path,15,-0.00026000340779622395,-0.0009800076484680175,0.000473332405090332,0.4,0.50726318359375
additive,between at scalar: readout - dfa,15,0.030879998207092287,0.01755315909783045,0.04461349993944169,0.8666666666666667,0.0008544921875
additive,between at neuron: readout - dfa,15,0.0010066588719685723,0.0002133329709370635,0.001779993375142408,0.8,0.033447265625
additive,between at exact path: readout - dfa,15,0.0019999941190083897,0.0013799905776977464,0.002619989713033055,0.9333333333333333,0.00018310546875
shunting,dfa within: neuron - scalar,15,0.11033332745234171,0.10248001009225845,0.11840664555629095,1.0,6.103515625e-05
shunting,dfa within: exact path - neuron,15,0.00028000275293986004,-0.0005666693051656087,0.0010533254345258076,0.6,0.5235595703125
shunting,dfa within: autograd - exact path,15,-3.333091735839844e-05,-0.0006000002225240072,0.0004799922307332357,0.4666666666666667,0.92529296875
shunting,between at scalar: readout - dfa,15,-0.0014399886131286621,-0.010546834369500477,0.008193322618802389,0.4,0.772216796875
shunting,between at neuron: readout - dfa,15,0.000713340441385905,7.947285977268533e-09,0.0014533440272013643,0.6666666666666666,0.08648681640625
shunting,between at exact path: readout - dfa,15,0.0008800029754638598,0.0001800060272216719,0.0015799999237060252,0.7333333333333333,0.03460693359375
