architecture,between,within,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy
additive,readout backprop,exact path,15,0.973099966843923,0.9725133100152016,0.9736799677213033
additive,readout backprop,neuron specific,15,0.971239976088206,0.970579981803894,0.9719066421190897
additive,readout backprop,scalar broadcast,15,0.8931466420491536,0.8866733112931251,0.8991199771563212
shunting,readout backprop,exact path,15,0.9717133084932963,0.971019967397054,0.9723066449165344
shunting,readout backprop,neuron specific,15,0.9712666432062785,0.9709333141644796,0.9716066439946492
shunting,readout backprop,scalar broadcast,15,0.8587799866994222,0.8510466574629147,0.8668001568317413
additive,dfa,scalar broadcast,15,0.8622666438420613,0.8511131409804027,0.87287998209397
additive,dfa,neuron specific,15,0.9702333172162374,0.9696599841117859,0.9708266456921896
additive,dfa,exact path,15,0.9710999727249146,0.9705399711926778,0.9716599742571513
shunting,dfa,scalar broadcast,15,0.8602199753125509,0.8522933164238929,0.868073478738467
shunting,dfa,neuron specific,15,0.9705533027648926,0.9699199755986532,0.9711599549651146
shunting,dfa,exact path,15,0.9708333055178324,0.9701399723688762,0.9714666326840719
additive,dfa,exact autograd,15,0.9708399693171184,0.9700999697049458,0.9715333024660746
shunting,dfa,exact autograd,15,0.9707999746004741,0.9703266342480977,0.9712599794069926
