panel,task,rule,step,mean,ci_low,ci_high,n,phase,optimizer,rate_scope,contrast,n_positive,n_negative,state,source_rule,evaluated_rule,metric
C,aligned_strong,exact,0.0,1.146180357266666,1.0072515958885686,1.2888017201645898,20,,,,,,,,,,
C,aligned_strong,exact,64.0,0.017482501692282607,0.014195950678382472,0.02081135894560346,20,,,,,,,,,,
C,aligned_strong,exact,256.0,0.001876236248900595,0.0014891333506601022,0.002326462169628657,20,,,,,,,,,,
C,aligned_strong,exact,1024.0,0.0001718895775292813,0.00012629294446778712,0.00022223699263601267,20,,,,,,,,,,
C,aligned_strong,exact,2048.0,5.266396452602148e-05,3.7172945246318876e-05,6.941148671634605e-05,20,,,,,,,,,,
C,aligned_strong,exact,4096.0,9.108524915060452e-06,6.59450534757185e-06,1.1955596006742776e-05,20,,,,,,,,,,
C,aligned_strong,exact,8192.0,3.4633699542121087e-06,1.3011068557001866e-06,6.728939538077932e-06,20,,,,,,,,,,
C,aligned_strong,exact,12288.0,3.7305604481697374e-06,4.995032530493652e-07,9.937168568520645e-06,20,,,,,,,,,,
C,aligned_strong,exact,16384.0,3.334093293951189e-06,1.4903920795312107e-06,5.488753979261511e-06,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,0.0,1.146180357266666,1.0072515958885686,1.2888017201645898,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,64.0,0.017135676632368677,0.013873019404059765,0.02056863852772036,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,256.0,0.004235999539946826,0.0028802622693713097,0.005811219242493567,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,1024.0,0.0011258292060811286,0.0007076262761815092,0.0015906941397547051,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,2048.0,0.0008903874441035277,0.0005780833627389408,0.001236954051257128,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,4096.0,0.000688769641994875,0.0004385207661132357,0.0009753039146729042,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,8192.0,0.0007172789274140542,0.00039649828483603373,0.001096647018648797,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,12288.0,0.0007021513104483807,0.00034548569927984874,0.001128430996076632,20,,,,,,,,,,
C,aligned_strong,unit_broadcast,16384.0,0.000719474976222908,0.00035145107669435103,0.0011596048132797084,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,0.0,1.146180357266666,1.0072515958885686,1.2888017201645898,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,64.0,0.01713568047908052,0.013873022963401746,0.020568643634352884,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,256.0,0.0042360036299540745,0.002880265044115141,0.00581122582187769,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,1024.0,0.0011258062134983959,0.0007076139191867205,0.0015906576080501045,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,2048.0,0.0008903608062419407,0.0005780709545847507,0.0012369321079273472,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,4096.0,0.000688741138653301,0.0004384960846006991,0.0009752521900826962,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,8192.0,0.0007172606503579267,0.0003965096551427202,0.0010966494576686871,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,12288.0,0.0007022788441075219,0.0003457241620665144,0.0011283236598897668,20,,,,,,,,,,
C,aligned_strong,calibrated_broadcast,16384.0,0.000719784640027148,0.00035175296055606626,0.0011599497279482188,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,0.0,1.146180357266666,1.0072515958885686,1.2888017201645898,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,64.0,0.01747135991299387,0.014172172901376902,0.020872313237182846,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,256.0,0.001830998971837635,0.001457712302957664,0.0022655768058423838,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,1024.0,0.0001407508759241347,0.00010088924061598465,0.00018704344048854922,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,2048.0,5.1725927717248316e-05,3.718206462457049e-05,6.725714541121022e-05,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,4096.0,1.2047820008165223e-05,9.340525123210317e-06,1.489333802625858e-05,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,8192.0,3.059830444853651e-06,1.1763751194383323e-06,5.300860174729144e-06,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,12288.0,6.10186837359387e-06,1.0532781644982787e-06,1.3917593249091601e-05,20,,,,,,,,,,
C,aligned_strong,ancestry_three_oracle,16384.0,1.4176670136696605e-06,5.414484322376096e-07,2.6933254685278427e-06,20,,,,,,,,,,
D,opposed_strong,exact,0.0,1.4465476765713352,1.2424170292457786,1.6598960683892137,20,,,,,,,,,,
D,opposed_strong,exact,64.0,0.029787077125879136,0.020921352728404768,0.039693887655743366,20,,,,,,,,,,
D,opposed_strong,exact,256.0,0.00030689003458489494,0.00023821727119003764,0.00039513237005343275,20,,,,,,,,,,
D,opposed_strong,exact,1024.0,0.00013692070184341104,0.00011150837924298637,0.0001665501010365888,20,,,,,,,,,,
D,opposed_strong,exact,2048.0,6.829917380780526e-05,5.2429407451406743e-05,8.547309023856324e-05,20,,,,,,,,,,
D,opposed_strong,exact,4096.0,1.9819503151723002e-05,1.5325682543774358e-05,2.458504913926758e-05,20,,,,,,,,,,
D,opposed_strong,exact,8192.0,2.9880220411510936e-06,1.03448598970291e-06,5.589140666653747e-06,20,,,,,,,,,,
D,opposed_strong,exact,12288.0,3.6495661837289273e-06,6.916750927907699e-07,7.747591387067774e-06,20,,,,,,,,,,
D,opposed_strong,exact,16384.0,1.7875078751487107e-06,5.394963712467775e-07,3.543018661766595e-06,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,0.0,1.4465476765713352,1.2424170292457786,1.6598960683892137,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,64.0,0.9707171077107599,0.8702818182402017,1.068121013454334,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,256.0,0.7937027613831578,0.6817617109897403,0.8929199106321545,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,1024.0,0.7152284497791728,0.5873817077947886,0.833916728667577,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,2048.0,0.7030508551066997,0.5648769818872075,0.8299046642827629,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,4096.0,0.7038071929122343,0.5432879945088203,0.8466662089911092,20,,,,,,,,,,
D,opposed_strong,unit_broadcast,8192.0,0.695306538474931,0.5188358680819406,0.8492879786581251,20,,,,,,,,,,
