index,arm,depth,seed,budget,epochs_run,full_run_epochs,best_valid_loss,best_epoch_one_based,test_accuracy,valid_accuracy,test_loss,at_budget_cap,late_validation_loss_slope,late_best_loss_drop,checkpoint_selection
0,broadcast_autograd_bp_recipe,3,10200,180,180,600,0.4353446551322937,180,0.9124999642372131,0.9178999662399292,0.43806853890419006,True,-0.0012357077039309313,0.03825190534591677,Minimum validation loss within budget; original patience30 retained
0,broadcast_autograd_bp_recipe,3,10200,600,600,600,0.17363290441036225,600,0.9888999462127686,0.9896999597549438,0.1732073724269867,True,-0.00030247839685807625,0.009731529021263119,Minimum validation loss within budget; original patience30 retained
1,broadcast_autograd_bp_recipe,3,10201,180,180,600,0.42815827407836915,180,0.9133999943733215,0.911799967288971,0.42867138981819153,True,-0.0013660153774796308,0.04045684747695921,Minimum validation loss within budget; original patience30 retained
1,broadcast_autograd_bp_recipe,3,10201,600,600,600,0.15239297771453858,598,0.9896000027656555,0.9907999634742737,0.15388698875904083,True,-0.00029466195736101765,0.00874304132461548,Minimum validation loss within budget; original patience30 retained
2,broadcast_autograd_bp_recipe,3,10202,180,180,600,0.43929953784942627,180,0.9056999683380127,0.9092999696731567,0.4400576949119568,True,-0.0012785585001392954,0.0395530276298523,Minimum validation loss within budget; original patience30 retained
2,broadcast_autograd_bp_recipe,3,10202,600,600,600,0.15807922997474672,599,0.9874999523162842,0.9899999499320984,0.15957807004451752,True,-0.0003547836533218693,0.010549705481529226,Minimum validation loss within budget; original patience30 retained
3,broadcast_autograd_bp_recipe,3,10203,180,180,600,0.4315956311225891,179,0.9150999784469604,0.914199948310852,0.43384072184562683,True,-0.0012614980412696429,0.03759013056755067,Minimum validation loss within budget; original patience30 retained
3,broadcast_autograd_bp_recipe,3,10203,600,600,600,0.17065254249572753,600,0.9892999529838562,0.9874999523162842,0.17141085863113403,True,-0.0002944892928544647,0.009571771144866958,Minimum validation loss within budget; original patience30 retained
4,broadcast_autograd_bp_recipe,3,10204,180,180,600,0.43720917501449585,179,0.9115999937057495,0.9162999987602234,0.44106581807136536,True,-0.001321513340825911,0.0382830475330353,Minimum validation loss within budget; original patience30 retained
4,broadcast_autograd_bp_recipe,3,10204,600,600,600,0.16175674934387207,599,0.988099992275238,0.9909999966621399,0.16627319157123566,True,-0.0002867196728257653,0.010035177659988403,Minimum validation loss within budget; original patience30 retained
5,broadcast_autograd_bp_recipe,3,10205,180,180,600,0.44554148359298706,180,0.9110999703407288,0.9103999733924866,0.4448263645172119,True,-0.0012613618073553684,0.0386074459075928,Minimum validation loss within budget; original patience30 retained
5,broadcast_autograd_bp_recipe,3,10205,600,600,600,0.16285013008117677,599,0.9879000186920166,0.9883999824523926,0.16330301761627197,True,-0.00035632765035343097,0.010023658871650687,Minimum validation loss within budget; original patience30 retained
6,broadcast_autograd_bp_recipe,3,10206,180,180,600,0.4495822295188904,180,0.9099000096321106,0.9090999960899353,0.44671517610549927,True,-0.001268511950680632,0.040255470180511455,Minimum validation loss within budget; original patience30 retained
6,broadcast_autograd_bp_recipe,3,10206,600,600,600,0.1734395714044571,600,0.987500011920929,0.9857000112533569,0.17033521831035614,True,-0.0003152930760516247,0.010188125491142258,Minimum validation loss within budget; original patience30 retained
7,broadcast_autograd_bp_recipe,3,10207,180,180,600,0.4294956227302551,180,0.9186999797821045,0.9243000149726868,0.43103089928627014,True,-0.0013111754641039767,0.03949505906105044,Minimum validation loss within budget; original patience30 retained
