budget,metric,contrast,seed,difference
180,test_loss,depth_gain_exact_bp,10200,-0.29947778582572937
180,test_loss,depth_gain_exact_bp,10201,-0.28158026933670044
180,test_loss,depth_gain_exact_bp,10202,-0.29446712136268616
180,test_loss,depth_gain_exact_bp,10203,-0.2970719039440155
180,test_loss,depth_gain_exact_bp,10204,-0.28877946734428406
180,test_loss,depth_gain_exact_bp,10205,-0.2788420617580414
180,test_loss,depth_gain_exact_bp,10206,-0.26973989605903625
180,test_loss,depth_gain_exact_bp,10207,-0.2859286069869995
180,test_loss,depth_gain_exact_bp,10208,-0.28826090693473816
180,test_loss,depth_gain_exact_bp,10209,-0.31119057536125183
180,test_loss,localca_path_minus_shared,10200,-0.0845637321472168
180,test_loss,localca_path_minus_shared,10201,-0.06586417555809021
180,test_loss,localca_path_minus_shared,10202,-0.08517995476722717
180,test_loss,localca_path_minus_shared,10203,-0.07543739676475525
180,test_loss,localca_path_minus_shared,10204,-0.07745480537414551
180,test_loss,localca_path_minus_shared,10205,-0.06823411583900452
180,test_loss,localca_path_minus_shared,10206,-0.05380004644393921
180,test_loss,localca_path_minus_shared,10207,-0.06144508719444275
180,test_loss,localca_path_minus_shared,10208,-0.0721622109413147
180,test_loss,localca_path_minus_shared,10209,-0.0846383273601532
180,test_loss,bp_exact_minus_broadcast,10200,-0.08046221733093262
180,test_loss,bp_exact_minus_broadcast,10201,-0.05464223027229309
180,test_loss,bp_exact_minus_broadcast,10202,-0.07890883088111877
180,test_loss,bp_exact_minus_broadcast,10203,-0.07397627830505371
180,test_loss,bp_exact_minus_broadcast,10204,-0.0695040225982666
180,test_loss,bp_exact_minus_broadcast,10205,-0.06815460324287415
180,test_loss,bp_exact_minus_broadcast,10206,-0.06122890114784241
180,test_loss,bp_exact_minus_broadcast,10207,-0.05817094445228577
180,test_loss,bp_exact_minus_broadcast,10208,-0.06857714056968689
180,test_loss,bp_exact_minus_broadcast,10209,-0.10371977090835571
180,test_loss,broadcast_bp_minus_localca_recipe,10200,-0.12120810151100159
180,test_loss,broadcast_bp_minus_localca_recipe,10201,-0.1289794147014618
180,test_loss,broadcast_bp_minus_localca_recipe,10202,-0.11331337690353394
180,test_loss,broadcast_bp_minus_localca_recipe,10203,-0.12174293398857117
180,test_loss,broadcast_bp_minus_localca_recipe,10204,-0.12252071499824524
180,test_loss,broadcast_bp_minus_localca_recipe,10205,-0.11184483766555786
180,test_loss,broadcast_bp_minus_localca_recipe,10206,-0.11635667085647583
180,test_loss,broadcast_bp_minus_localca_recipe,10207,-0.12148025631904602
180,test_loss,broadcast_bp_minus_localca_recipe,10208,-0.1290600299835205
180,test_loss,broadcast_bp_minus_localca_recipe,10209,-0.11685726046562195
180,best_valid_loss,depth_gain_exact_bp,10200,-0.29281859140396116
180,best_valid_loss,depth_gain_exact_bp,10201,-0.28298341050148007
180,best_valid_loss,depth_gain_exact_bp,10202,-0.29846481332778924
180,best_valid_loss,depth_gain_exact_bp,10203,-0.28957631721496585
180,best_valid_loss,depth_gain_exact_bp,10204,-0.29360197014808653
180,best_valid_loss,depth_gain_exact_bp,10205,-0.29074824104309077
180,best_valid_loss,depth_gain_exact_bp,10206,-0.2620806624412536
180,best_valid_loss,depth_gain_exact_bp,10207,-0.27830079431533816
180,best_valid_loss,depth_gain_exact_bp,10208,-0.28851998724937444
180,best_valid_loss,depth_gain_exact_bp,10209,-0.3136136316776276
180,best_valid_loss,localca_path_minus_shared,10200,-0.08097437343597413
180,best_valid_loss,localca_path_minus_shared,10201,-0.06693797855377198
180,best_valid_loss,localca_path_minus_shared,10202,-0.08604352245330804
180,best_valid_loss,localca_path_minus_shared,10203,-0.07318662405014037
180,best_valid_loss,localca_path_minus_shared,10204,-0.07857690200805667
180,best_valid_loss,localca_path_minus_shared,10205,-0.07165201301574708
180,best_valid_loss,localca_path_minus_shared,10206,-0.052565856838226344
180,best_valid_loss,localca_path_minus_shared,10207,-0.05811577281951902
180,best_valid_loss,localca_path_minus_shared,10208,-0.07194992389678956
180,best_valid_loss,localca_path_minus_shared,10209,-0.08428696231842042
180,best_valid_loss,bp_exact_minus_broadcast,10200,-0.07551993227005005
180,best_valid_loss,bp_exact_minus_broadcast,10201,-0.05561780285835266
180,best_valid_loss,bp_exact_minus_broadcast,10202,-0.08202994642257688
180,best_valid_loss,bp_exact_minus_broadcast,10203,-0.06766315870285033
180,best_valid_loss,bp_exact_minus_broadcast,10204,-0.07489810595512392
