metric,epoch,mean,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds
test_accuracy,1,-0.0050002336502075195,-0.1250004917383194,0.11299967765808105,10,2,2
test_accuracy,2,-0.12000083923339844,-0.24600207805633545,0.024000406265258793,10,1,6
test_accuracy,3,-0.12600064277648926,-0.27700066566467285,-0.0020003318786621094,10,1,4
test_accuracy,4,0.987999439239502,-0.1510000228881836,3.1649982929229736,10,1,4
test_accuracy,5,-0.12399911880493164,-0.27299764752388,-0.015999674797058105,10,0,5
test_accuracy,6,-0.18000006675720215,-0.3330022096633911,-0.034001454710960395,10,2,6
test_accuracy,7,-0.12400031089782715,-0.2040010690689087,-0.04599928855895997,10,2,6
test_accuracy,8,-0.3460007905960083,-0.5460011959075928,-0.1930004358291626,10,0,10
test_accuracy,9,-0.5220001935958862,-0.9869998693466187,-0.12900231778621674,10,1,9
test_accuracy,10,-0.2630007266998291,-0.9730749428272246,0.30699849128723145,10,4,6
test_accuracy,11,0.0289994478225708,-0.25099992752075195,0.341998353600502,10,3,6
test_accuracy,12,0.13700008392333984,-0.3740250617265702,0.685999408364296,10,6,4
test_accuracy,13,0.11200010776519775,-0.2560501247644424,0.5160247981548306,10,6,4
test_accuracy,14,-0.10999858379364014,-0.5039983987808228,0.35700201988220215,10,4,6
test_accuracy,15,-0.5150008201599121,-0.9850001335144043,-0.14500081539154053,10,1,9
test_accuracy,16,-0.14699995517730713,-0.39602574706077576,0.13400018215179443,10,3,7
test_accuracy,17,0.0059986114501953125,-0.2760017067193985,0.3029984384775162,10,4,6
test_accuracy,18,-0.022999048233032227,-0.33702369034290314,0.2730012387037277,10,5,5
test_accuracy,19,-0.10299861431121826,-0.37002377212047577,0.18800020217895508,10,4,6
test_accuracy,20,0.0410008430480957,-0.15799881517887118,0.19000054895877838,10,7,3
test_accuracy,21,5.960464477539062e-07,-0.2600008398294449,0.2100008726119995,10,6,4
test_accuracy,22,0.016000866889953613,-0.23299874365329742,0.29100003838539124,10,5,5
test_accuracy,23,-0.08600056171417236,-0.2749997526407242,0.0969994068145752,10,4,6
test_accuracy,24,0.15500009059906006,-0.06499886512756348,0.39599835872650146,10,6,4
test_accuracy,25,0.8859997987747192,-0.12800158560276031,2.7309995889663696,10,6,4
test_accuracy,26,-0.03499925136566162,-0.29800060391426086,0.21600070595741272,10,5,5
test_accuracy,27,-0.08899986743927002,-0.285000205039978,0.10500015318393707,10,3,7
test_accuracy,28,-0.0700002908706665,-0.22200047969818115,0.0889986902475357,10,4,6
test_accuracy,29,-0.18999993801116943,-0.3429996967315674,-0.04400074481964111,10,3,7
test_accuracy,30,-0.13400018215179443,-0.29000043869018555,-0.0020003318786621068,10,2,7
test_accuracy,31,-0.04700064659118652,-0.26200056076049805,0.15599966049194336,10,4,6
test_accuracy,32,-0.12000143527984619,-0.2550011873245239,0.008998513221740724,10,4,6
test_accuracy,33,-0.15899956226348877,-0.32799841463565826,0.008999124169349669,10,3,7
test_accuracy,34,-0.13700008392333984,-0.27800144255161285,0.01900076866149902,10,3,7
test_accuracy,35,-0.01600027084350586,-0.10702659189701078,0.07799983024597168,10,5,5
test_accuracy,36,-0.04400014877319336,-0.2000230401754379,0.12099921703338623,10,5,5
test_accuracy,37,-0.14200031757354736,-0.2769988924264908,0.0029993057250976554,10,3,7
test_accuracy,38,0.03800094127655029,-0.15899957716464996,0.24200142920017242,10,5,5
test_accuracy,39,0.06299912929534912,-0.15300095081329346,0.2870249152183529,10,4,5
test_accuracy,40,0.2719992399215698,-0.04200102388858796,0.6959986984729767,10,6,4
test_accuracy,41,-0.05100131034851074,-0.2330017238855362,0.1429992914199829,10,3,7
test_accuracy,42,0.07299840450286865,-0.147027313709259,0.3459978252649307,10,5,5
test_accuracy,43,-0.056999921798706055,-0.17599880695343018,0.0609976202249527,10,5,5
test_accuracy,44,0.3209996223449707,-0.003000497817993162,0.7039999961853027,10,5,5
test_accuracy,45,0.18700063228607178,-0.04700006544589998,0.4120004177093506,10,6,4
test_accuracy,46,0.1359999179840088,-0.0679999589920044,0.3230249285697933,10,6,2
test_accuracy,47,0.07699966430664062,-0.08299827575683594,0.2619988024234772,10,4,6
test_accuracy,48,0.04500150680541992,-0.16099929809570312,0.2820264846086498,10,5,5
test_accuracy,49,0.3100001811981201,-0.008999735116958627,0.7359993606805801,10,7,3
test_accuracy,50,0.12199938297271729,-0.08700072765350342,0.29299914836883545,10,7,3
test_accuracy,51,0.2349996566772461,-0.010025441646575897,0.5160242021083828,10,8,2
test_accuracy,52,0.19800007343292236,-0.09999872744083407,0.565999761223793,10,6,4
test_accuracy,53,0.1500004529953003,-0.11602513492107389,0.5040263384580609,10,6,4
test_accuracy,54,0.27600109577178955,0.12500163912773132,0.41100144386291504,10,9,1
test_accuracy,55,0.6970006227493286,0.18100081384181976,1.3950002491474152,10,7,2
test_accuracy,56,0.35800039768218994,0.12300072610378265,0.5999994277954102,10,8,1
test_accuracy,57,0.37099897861480713,0.1099991649389267,0.6289982944726944,10,8,2
test_accuracy,58,0.5619990825653076,0.20599901676177979,0.9809994697570801,10,8,2
test_accuracy,59,0.5409997701644897,0.3350001275539398,0.7929998636245728,10,9,1
test_accuracy,60,0.4160010814666748,0.2119744569063187,0.6010008007287979,10,8,2
test_accuracy,61,0.6729990243911743,0.36199867725372314,1.0340493321418756,10,9,1
test_accuracy,62,0.004999637603759766,-0.529024600982666,0.4569995403289795,10,7,3
test_accuracy,63,0.8509993553161621,0.5370002835988998,1.154998555779457,10,10,0
test_accuracy,64,0.7289999723434448,0.49400149285793304,0.975024655461311,10,10,0
test_accuracy,65,0.6669992208480835,0.30399976670742035,1.0329991579055786,10,9,1
test_accuracy,66,0.7170003652572632,0.4790007919073105,0.9949988126754761,10,10,0
test_accuracy,67,0.9549993276596069,0.36199985444545746,1.685999646782875,10,9,1
test_accuracy,68,0.7380002737045288,0.41999995708465576,1.1300253421068187,10,10,0
test_accuracy,69,1.0160011053085327,0.5740010738372803,1.4650011360645294,10,9,1
test_accuracy,70,1.0530000925064087,0.6809742152690887,1.4370256066322322,10,9,1
test_accuracy,71,1.5380001068115234,1.2199985980987549,1.9220000654459,10,10,0
test_accuracy,72,1.4840000867843628,1.0150003284215927,2.031000852584839,10,10,0
test_accuracy,73,1.2879997491836548,0.7539499849081039,1.8229997158050537,10,9,1
test_accuracy,74,1.743999719619751,1.3489747643470764,2.1459990739822388,10,10,0
test_accuracy,75,1.2720000743865967,0.5249762833118439,1.8599987179040909,10,9,1
test_accuracy,76,1.919999122619629,1.4439994096755981,2.388998866081238,10,10,0
test_accuracy,77,1.8250012397766113,1.332000494003296,2.2870010286569595,10,10,0
test_accuracy,78,2.1790003776550293,1.6960012912750244,2.710999846458435,10,10,0
test_accuracy,79,2.000001072883606,1.4230012744665146,2.6750004440546036,10,10,0
test_accuracy,80,2.2649991512298584,1.6829997301101685,2.8710245490074153,10,10,0
test_accuracy,81,2.170999050140381,1.7439997047185898,2.620998665690422,10,10,0
test_accuracy,82,2.219998836517334,1.2759989500045776,3.1939977407455444,10,9,1
test_accuracy,83,2.2579997777938843,1.6759747862815857,2.9609984308481216,10,10,0
test_accuracy,84,2.885001301765442,2.4730008840560913,3.37902657687664,10,10,0
test_accuracy,85,2.7009987831115723,2.1479993909597397,3.23899807035923,10,10,0
test_accuracy,86,3.0260002613067627,2.3320013284683228,3.7950003147125244,10,10,0
test_accuracy,87,3.4519994258880615,2.7969748228788376,4.148998886346817,10,10,0
test_accuracy,88,3.3699995279312134,2.4889999479055405,4.308999195694923,10,10,0
test_accuracy,89,3.19100022315979,2.2629988193511963,4.027025043964386,10,10,0
test_accuracy,90,3.7230002880096436,3.056973323225975,4.39400078356266,10,10,0
test_accuracy,91,3.684999942779541,2.837000459432602,4.671025827527046,10,10,0
test_accuracy,92,4.317999482154846,3.6269736737012863,4.992999449372292,10,10,0
test_accuracy,93,4.315999150276184,3.5539746582508087,5.0540249943733215,10,10,0
test_accuracy,94,4.082000255584717,3.6149996519088745,4.61500109732151,10,10,0
test_accuracy,95,4.089999794960022,3.2289738059043884,4.966025307774544,10,10,0
test_accuracy,96,5.133001804351807,4.02297680079937,6.14415320754051,10,10,0
test_accuracy,97,4.765000343322754,3.7780016511678696,5.704999595880508,10,10,0
test_accuracy,98,5.156999826431274,3.9120012372732162,6.52599935233593,10,10,0
test_accuracy,99,5.3029996156692505,4.236999735236168,6.25399948656559,10,10,0
test_accuracy,100,5.045002102851868,4.058976799249649,6.229002505540848,10,10,0
test_accuracy,101,6.300000548362732,5.252900838851929,7.40802700817585,10,10,0
test_accuracy,102,6.461001634597778,5.580002054572105,7.411002516746521,10,10,0
test_accuracy,103,5.342999696731567,4.268998503684998,6.355026334524155,10,10,0
test_accuracy,104,6.572999954223633,5.64099907875061,7.520025327801704,10,10,0
test_accuracy,105,6.061999797821045,4.343975231051445,7.470999360084534,10,9,1
test_accuracy,106,6.3909995555877686,5.93500018119812,6.862998619675636,10,10,0
test_accuracy,107,6.48099958896637,5.335947424173355,7.692998066544533,10,10,0
test_accuracy,108,7.1820008754730225,5.962001085281372,8.432050868868828,10,10,0
test_accuracy,109,7.348999977111816,6.251898571848869,8.604998633265495,10,10,0
test_accuracy,110,7.429999113082886,6.147999748587608,8.716022923588753,10,10,0
test_accuracy,111,7.950999736785889,6.911974593997002,8.96199943125248,10,10,0
test_accuracy,112,7.135000824928284,5.793001651763916,8.46302504837513,10,10,0
test_accuracy,113,8.153001070022583,7.0379758477211,9.15700078010559,10,10,0
test_accuracy,114,7.541000247001648,6.579999923706055,8.416025593876839,10,10,0
test_accuracy,115,8.414000868797302,7.315001472830772,9.581000804901123,10,10,0
test_accuracy,116,7.918000817298889,6.902000904083252,9.212126553058622,10,10,0
test_accuracy,117,8.176000714302063,6.687824949622154,9.38200056552887,10,10,0
test_accuracy,118,8.586000800132751,7.811001494526863,9.431000396609306,10,10,0
test_accuracy,119,7.95400083065033,7.001975819468498,8.98902590572834,10,10,0
test_accuracy,120,9.285999536514282,8.417924165725708,10.205025047063828,10,10,0
test_accuracy,121,9.760001301765442,8.647975951433182,10.80400051176548,10,10,0
test_accuracy,122,9.190999269485474,8.281974270939827,10.079998388886452,10,10,0
test_accuracy,123,8.89900028705597,8.103001028299332,9.663001298904419,10,10,0
test_accuracy,124,9.304999113082886,8.666974276304245,9.930025279521942,10,10,0
test_accuracy,125,10.412999391555786,9.211948603391647,11.510050818324089,10,10,0
test_accuracy,126,9.578000903129578,8.186951339244843,10.907999902963638,10,10,0
test_accuracy,127,10.056999325752258,9.194973185658455,10.92499914765358,10,10,0
test_accuracy,128,10.209999084472656,8.700000032782555,11.664023354649544,10,10,0
test_accuracy,129,10.213000178337097,9.187999963760376,11.023999452590942,10,10,0
test_accuracy,130,10.5759996175766,9.255948692560196,11.761000171303749,10,10,0
test_accuracy,131,9.525001049041748,8.104000687599182,10.828076496720312,10,10,0
test_accuracy,132,10.8079993724823,9.397999614477158,12.119998931884766,10,10,0
test_accuracy,133,10.492998957633972,9.084924578666687,11.980048909783363,10,10,0
test_accuracy,134,10.73199987411499,9.66894993185997,11.744999885559082,10,10,0
test_accuracy,135,11.16999864578247,10.098972961306572,11.993998900055885,10,10,0
test_accuracy,136,10.807999968528748,9.918974682688713,11.711999773979187,10,10,0
test_accuracy,137,10.90499997138977,9.9399995803833,11.931025370955467,10,10,0
test_accuracy,138,10.91200053691864,9.755000457167625,12.088026389479637,10,10,0
test_accuracy,139,10.221999883651733,9.036000370979309,11.159999400377274,10,10,0
test_accuracy,140,11.10599935054779,9.653924226760864,12.37199904024601,10,10,0
test_accuracy,141,10.879000425338745,9.062825679779053,12.625074893236159,10,10,0
test_accuracy,142,11.529000401496887,10.197926238179207,12.859075561165808,10,10,0
test_accuracy,143,11.309000253677368,9.600974395871162,12.831000685691833,10,10,0
test_accuracy,144,11.586999297142029,10.146924942731857,12.782023519277573,10,10,0
test_accuracy,145,11.901999711990356,11.136000126600266,12.652023985981941,10,10,0
test_accuracy,146,12.748000025749207,11.832000017166138,13.60102528333664,10,10,0
test_accuracy,147,13.151000738143921,12.310001239180565,13.978000313043594,10,10,0
test_accuracy,148,11.59600019454956,10.220974162220955,12.879000902175903,10,10,0
test_accuracy,149,12.343000769615173,11.030924454331398,13.56400017440319,10,10,0
test_accuracy,150,11.585000157356262,10.512000322341919,12.520999312400818,10,10,0
test_accuracy,151,11.556000113487244,10.315848857164383,12.688023999333382,10,10,0
test_accuracy,152,12.226001024246216,10.760001510381699,13.508001565933228,10,10,0
test_accuracy,153,11.95099949836731,10.66899836063385,13.195026457309723,10,10,0
test_accuracy,154,11.730002760887146,11.008977353572845,12.419028252363205,10,10,0
test_accuracy,155,11.446999907493591,9.835999608039856,12.849025070667267,10,10,0
test_accuracy,156,12.262999415397644,11.406999826431274,13.049023732542992,10,10,0
test_accuracy,157,11.89700186252594,10.813001990318298,12.982001304626465,10,10,0
test_accuracy,158,11.518000960350037,10.268976166844368,12.700998231768608,10,10,0
test_accuracy,159,11.435999870300293,10.295000672340393,12.538025304675102,10,10,0
test_accuracy,160,12.115999460220337,11.208974167704582,12.96102461218834,10,10,0
test_accuracy,161,11.318999528884888,10.52599847316742,12.309024915099144,10,10,0
test_accuracy,162,11.878999471664429,10.97497408092022,12.730024978518486,10,10,0
test_accuracy,163,11.366998553276062,10.189997553825378,12.54100026190281,10,10,0
test_accuracy,164,11.868000626564026,10.844000577926636,12.846001386642456,10,10,0
test_accuracy,165,11.306999921798706,9.798000425100327,12.55302307009697,10,10,0
test_accuracy,166,10.966999530792236,9.268949672579765,12.422999158501625,10,10,0
test_accuracy,167,11.905998587608337,10.586897864937782,13.04699781537056,10,10,0
test_accuracy,168,12.002999186515808,11.08497329056263,12.929075822234152,10,10,0
test_accuracy,169,12.054999470710754,11.16897352039814,12.931024968624115,10,10,0
test_accuracy,170,10.952998995780945,9.865974828600883,12.110998630523682,10,10,0
test_accuracy,171,11.560999751091003,10.345950201153755,12.737024366855621,10,10,0
test_accuracy,172,11.196999549865723,10.600974589586258,11.873125225305555,10,10,0
test_accuracy,173,12.164999842643738,11.18700024485588,13.13402470946312,10,10,0
test_accuracy,174,12.123000621795654,11.370975404977798,12.923001050949097,10,10,0
test_accuracy,175,11.219001412391663,10.384975716471672,11.90100134909153,10,10,0
test_accuracy,176,10.966001152992249,9.920975595712662,11.89000129699707,10,10,0
test_accuracy,177,10.848000645637512,9.49597541987896,12.018024891614914,10,10,0
test_accuracy,178,11.19200050830841,10.45600175857544,12.012999653816223,10,10,0
test_accuracy,179,11.548001170158386,10.700001686811447,12.365001440048218,10,10,0
test_accuracy,180,10.863998532295227,10.146998167037964,11.62099839746952,10,10,0
test_accuracy,181,11.119999289512634,10.456949546933174,11.886999621987343,10,10,0
test_accuracy,182,10.838000178337097,10.006949990987778,11.524000197649002,10,10,0
test_accuracy,183,10.463001132011414,9.415001839399338,11.38802407681942,10,10,0
test_accuracy,184,10.888000726699829,10.178999900817871,11.62000122666359,10,10,0
