arm,depth,metric,epoch,mean,ci95_low,ci95_high,n_seeds
broadcast_autograd_bp_recipe,3,test_accuracy,1,0.5129199951887131,0.4976399928331375,0.5377900004386902,10
broadcast_autograd_bp_recipe,3,test_accuracy,2,0.5126699954271317,0.4971399962902069,0.5376599967479706,10
broadcast_autograd_bp_recipe,3,test_accuracy,3,0.5507200002670288,0.5029495008289815,0.6064099967479706,10
broadcast_autograd_bp_recipe,3,test_accuracy,4,0.5689300060272217,0.5206000030040742,0.6253002581000329,10
broadcast_autograd_bp_recipe,3,test_accuracy,5,0.5824199914932251,0.527859497666359,0.6432059979438781,10
broadcast_autograd_bp_recipe,3,test_accuracy,6,0.5965099990367889,0.5515692660212517,0.6436627410352229,10
broadcast_autograd_bp_recipe,3,test_accuracy,7,0.5792099893093109,0.54615974470973,0.6110412402451039,10
broadcast_autograd_bp_recipe,3,test_accuracy,8,0.6314599871635437,0.6058082367479801,0.6554999887943268,10
broadcast_autograd_bp_recipe,3,test_accuracy,9,0.6167899906635285,0.587409490942955,0.6461204940080645,10
broadcast_autograd_bp_recipe,3,test_accuracy,10,0.6215100049972534,0.6016000089049338,0.6399302656948567,10
broadcast_autograd_bp_recipe,3,test_accuracy,11,0.6098199903964996,0.5936694869399072,0.6274799883365632,10
broadcast_autograd_bp_recipe,3,test_accuracy,12,0.6343199968338012,0.623360002040863,0.6456799928843976,10
broadcast_autograd_bp_recipe,3,test_accuracy,13,0.620880001783371,0.6072000026702882,0.6332599997520448,10
broadcast_autograd_bp_recipe,3,test_accuracy,14,0.6225699841976166,0.6125799894332886,0.6318402345478535,10
broadcast_autograd_bp_recipe,3,test_accuracy,15,0.6247299909591675,0.6146497432887553,0.6350199879705906,10
broadcast_autograd_bp_recipe,3,test_accuracy,16,0.6305199980735778,0.6212897543609142,0.6387199938297272,10
broadcast_autograd_bp_recipe,3,test_accuracy,17,0.6281999886035919,0.6183699905872345,0.6379404893517495,10
broadcast_autograd_bp_recipe,3,test_accuracy,18,0.6267299890518189,0.6192194828391075,0.6336204880475999,10
broadcast_autograd_bp_recipe,3,test_accuracy,19,0.6244799971580506,0.61703000664711,0.6321202452480793,10
broadcast_autograd_bp_recipe,3,test_accuracy,20,0.6310299932956696,0.6255800008773803,0.6362499894201755,10
broadcast_autograd_bp_recipe,3,test_accuracy,21,0.6358699917793273,0.631690001487732,0.6403202410042287,10
broadcast_autograd_bp_recipe,3,test_accuracy,22,0.6353799879550934,0.6292097336053849,0.6413899838924408,10
broadcast_autograd_bp_recipe,3,test_accuracy,23,0.6360999882221222,0.6304097360372544,0.6422202342748642,10
broadcast_autograd_bp_recipe,3,test_accuracy,24,0.6384199976921081,0.6313799977302552,0.6463302490115166,10
broadcast_autograd_bp_recipe,3,test_accuracy,25,0.6354499936103821,0.6273697440326212,0.6437899829447269,10
broadcast_autograd_bp_recipe,3,test_accuracy,26,0.6399399936199188,0.6315997427701951,0.6484202496707439,10
broadcast_autograd_bp_recipe,3,test_accuracy,27,0.6446099877357483,0.6382599890232086,0.6509502463042737,10
broadcast_autograd_bp_recipe,3,test_accuracy,28,0.644569993019104,0.6384397391974926,0.6506499828398228,10
broadcast_autograd_bp_recipe,3,test_accuracy,29,0.6460699915885926,0.6407799899578095,0.6503302448987961,10
broadcast_autograd_bp_recipe,3,test_accuracy,30,0.6505599915981293,0.643889999240637,0.657399982213974,10
broadcast_autograd_bp_recipe,3,test_accuracy,31,0.645359992980957,0.6391097490489482,0.6512099803984166,10
broadcast_autograd_bp_recipe,3,test_accuracy,32,0.6502299904823303,0.6437799988687039,0.6548702470958234,10
broadcast_autograd_bp_recipe,3,test_accuracy,33,0.6546699941158295,0.6484700022637845,0.6601902422308922,10
broadcast_autograd_bp_recipe,3,test_accuracy,34,0.6568899929523468,0.6504199981689454,0.6620899975299835,10
broadcast_autograd_bp_recipe,3,test_accuracy,35,0.6561799824237824,0.6492794880270959,0.66190997377038,10
broadcast_autograd_bp_recipe,3,test_accuracy,36,0.6588499844074249,0.6524499951303006,0.6657502347230911,10
broadcast_autograd_bp_recipe,3,test_accuracy,37,0.6597099900245667,0.6531499922275543,0.666530239135027,10
broadcast_autograd_bp_recipe,3,test_accuracy,38,0.6633499979972839,0.6565397447347642,0.6705599904060363,10
broadcast_autograd_bp_recipe,3,test_accuracy,39,0.6625499963760376,0.6574497348070145,0.6674499990046024,10
broadcast_autograd_bp_recipe,3,test_accuracy,40,0.6602800011634826,0.6542800007760525,0.6663100004196167,10
broadcast_autograd_bp_recipe,3,test_accuracy,41,0.6673999905586243,0.6598897343873978,0.6753499808907509,10
broadcast_autograd_bp_recipe,3,test_accuracy,42,0.6702000021934509,0.6626597529649736,0.677310257703066,10
broadcast_autograd_bp_recipe,3,test_accuracy,43,0.6711499929428101,0.667170000076294,0.6752499939501284,10
broadcast_autograd_bp_recipe,3,test_accuracy,44,0.6699699938297272,0.6642097420990467,0.6758602434396744,10
broadcast_autograd_bp_recipe,3,test_accuracy,45,0.672679990530014,0.6651397356390953,0.6798499824106693,10
broadcast_autograd_bp_recipe,3,test_accuracy,46,0.6747699975967407,0.6688699960708618,0.6798699975013732,10
broadcast_autograd_bp_recipe,3,test_accuracy,47,0.6747499942779541,0.6709699988365173,0.6786799849569797,10
broadcast_autograd_bp_recipe,3,test_accuracy,48,0.6756399869918823,0.6701699911057949,0.6807199835777282,10
broadcast_autograd_bp_recipe,3,test_accuracy,49,0.6812199890613556,0.6746194903552533,0.6876499892771244,10
broadcast_autograd_bp_recipe,3,test_accuracy,50,0.6791099905967712,0.6704197409749032,0.6872704915702343,10
broadcast_autograd_bp_recipe,3,test_accuracy,51,0.677809989452362,0.6723999975621701,0.6840199831128121,10
broadcast_autograd_bp_recipe,3,test_accuracy,52,0.6839599907398224,0.678549992889166,0.6890499952435495,10
broadcast_autograd_bp_recipe,3,test_accuracy,53,0.6862099945545197,0.6822097426652909,0.6906499804556371,10
broadcast_autograd_bp_recipe,3,test_accuracy,54,0.6891399979591369,0.6842099964618683,0.6940999984741212,10
broadcast_autograd_bp_recipe,3,test_accuracy,55,0.6881500005722045,0.683949739485979,0.692849999666214,10
broadcast_autograd_bp_recipe,3,test_accuracy,56,0.6894899904727936,0.6852699935436248,0.6935702379047871,10
broadcast_autograd_bp_recipe,3,test_accuracy,57,0.6940899968147278,0.6882797537744045,0.700180243998766,10
broadcast_autograd_bp_recipe,3,test_accuracy,58,0.6936499953269959,0.6889099955558777,0.6994299829006195,10
broadcast_autograd_bp_recipe,3,test_accuracy,59,0.6935999989509583,0.6884600043296815,0.6989499986171722,10
broadcast_autograd_bp_recipe,3,test_accuracy,60,0.6972999930381775,0.6915097419917583,0.7032899858057499,10
broadcast_autograd_bp_recipe,3,test_accuracy,61,0.697819983959198,0.6920499919354915,0.7038499832153321,10
broadcast_autograd_bp_recipe,3,test_accuracy,62,0.6994399845600128,0.6929897312819957,0.7057102321088314,10
broadcast_autograd_bp_recipe,3,test_accuracy,63,0.7001299977302551,0.6929197496175767,0.7070702430605889,10
broadcast_autograd_bp_recipe,3,test_accuracy,64,0.7026899933815003,0.6963500021398067,0.7094202335178853,10
broadcast_autograd_bp_recipe,3,test_accuracy,65,0.7040599822998047,0.697959989309311,0.7103599786758422,10
broadcast_autograd_bp_recipe,3,test_accuracy,66,0.7045399844646454,0.7001399812102317,0.7087499976158143,10
broadcast_autograd_bp_recipe,3,test_accuracy,67,0.704069983959198,0.6982199846208096,0.7095402413606643,10
broadcast_autograd_bp_recipe,3,test_accuracy,68,0.7050999939441681,0.6987797325849534,0.711029994636774,10
broadcast_autograd_bp_recipe,3,test_accuracy,69,0.7074299812316894,0.7033997359871864,0.7110199809074402,10
broadcast_autograd_bp_recipe,3,test_accuracy,70,0.7082499861717224,0.7037499842047691,0.7131602403521539,10
broadcast_autograd_bp_recipe,3,test_accuracy,71,0.7156899869441986,0.7098299980163575,0.7214899781346322,10
broadcast_autograd_bp_recipe,3,test_accuracy,72,0.7154099881649018,0.7112999856472015,0.7203904856741429,10
broadcast_autograd_bp_recipe,3,test_accuracy,73,0.7184899866580963,0.7113399921357632,0.7251099824905397,10
broadcast_autograd_bp_recipe,3,test_accuracy,74,0.720089989900589,0.7133400021493436,0.7260502332448959,10
broadcast_autograd_bp_recipe,3,test_accuracy,75,0.7199299931526184,0.7139499962329864,0.726039981842041,10
broadcast_autograd_bp_recipe,3,test_accuracy,76,0.7272499859333038,0.7208497409522533,0.7335702411830426,10
broadcast_autograd_bp_recipe,3,test_accuracy,77,0.72704998254776,0.7217899799346924,0.7326902386546135,10
broadcast_autograd_bp_recipe,3,test_accuracy,78,0.733789998292923,0.7280600011348725,0.7397302500903606,10
broadcast_autograd_bp_recipe,3,test_accuracy,79,0.7301999866962433,0.723919993340969,0.735969978570938,10
broadcast_autograd_bp_recipe,3,test_accuracy,80,0.7324899852275848,0.7260597352683544,0.7381699800491333,10
broadcast_autograd_bp_recipe,3,test_accuracy,81,0.7349199891090393,0.7273997370898724,0.7427799940109253,10
broadcast_autograd_bp_recipe,3,test_accuracy,82,0.7415799915790557,0.7359499870240689,0.7471899986267089,10
broadcast_autograd_bp_recipe,3,test_accuracy,83,0.743019986152649,0.737009996175766,0.7487499834597111,10
broadcast_autograd_bp_recipe,3,test_accuracy,84,0.7444499850273132,0.7389899849891663,0.7500802275538444,10
broadcast_autograd_bp_recipe,3,test_accuracy,85,0.7436399936676026,0.7382100045681,0.7490799905359744,10
broadcast_autograd_bp_recipe,3,test_accuracy,86,0.7497399985790253,0.7446900010108949,0.7549799919128418,10
broadcast_autograd_bp_recipe,3,test_accuracy,87,0.7505899965763092,0.7434397464990616,0.7572299839556217,10
broadcast_autograd_bp_recipe,3,test_accuracy,88,0.752239990234375,0.7454999920725822,0.7585499942302703,10
broadcast_autograd_bp_recipe,3,test_accuracy,89,0.750409996509552,0.742359757721424,0.7580599904060363,10
broadcast_autograd_bp_recipe,3,test_accuracy,90,0.753089988231659,0.7453197365999222,0.7597799898684024,10
broadcast_autograd_bp_recipe,3,test_accuracy,91,0.7547299861907959,0.7501797321438789,0.7591299891471863,10
broadcast_autograd_bp_recipe,3,test_accuracy,92,0.758819991350174,0.7501894900202751,0.7665202434360983,10
broadcast_autograd_bp_recipe,3,test_accuracy,93,0.762939989566803,0.7545197433233262,0.7703102345764637,10
broadcast_autograd_bp_recipe,3,test_accuracy,94,0.7679499924182892,0.7600797475874425,0.7750802452862263,10
broadcast_autograd_bp_recipe,3,test_accuracy,95,0.762609988451004,0.756709743142128,0.7691399812698364,10
broadcast_autograd_bp_recipe,3,test_accuracy,96,0.7693999946117401,0.7601297442615033,0.7778499962389469,10
broadcast_autograd_bp_recipe,3,test_accuracy,97,0.7755999863147736,0.7710199950635434,0.7805004887282848,10
broadcast_autograd_bp_recipe,3,test_accuracy,98,0.7752699971199035,0.7659097380936146,0.7842199981212616,10
broadcast_autograd_bp_recipe,3,test_accuracy,99,0.780489981174469,0.7770197336375713,0.7842002268135548,10
broadcast_autograd_bp_recipe,3,test_accuracy,100,0.7761799931526184,0.7676099956035615,0.7843004874885082,10
broadcast_autograd_bp_recipe,3,test_accuracy,101,0.7846700012683868,0.7789595015347005,0.7902202540636063,10
broadcast_autograd_bp_recipe,3,test_accuracy,102,0.7848400056362153,0.7799997512996196,0.7901899994909762,10
broadcast_autograd_bp_recipe,3,test_accuracy,103,0.7882500052452087,0.7831897504627704,0.7933100044727325,10
broadcast_autograd_bp_recipe,3,test_accuracy,104,0.785729992389679,0.7790799975395202,0.7924699902534486,10
broadcast_autograd_bp_recipe,3,test_accuracy,105,0.788239985704422,0.7805697384476661,0.7960799695551395,10
broadcast_autograd_bp_recipe,3,test_accuracy,106,0.7933899819850921,0.7881300030648709,0.798960226327181,10
broadcast_autograd_bp_recipe,3,test_accuracy,107,0.7920499920845032,0.786529488414526,0.7976002450287342,10
broadcast_autograd_bp_recipe,3,test_accuracy,108,0.7976399898529053,0.7911699889600278,0.8039302404224873,10
broadcast_autograd_bp_recipe,3,test_accuracy,109,0.8006599843502045,0.7939799901843071,0.8073499861359597,10
broadcast_autograd_bp_recipe,3,test_accuracy,110,0.8000399947166443,0.7915800093114376,0.8087599994242192,10
broadcast_autograd_bp_recipe,3,test_accuracy,111,0.8011499881744385,0.79411974593997,0.8082504802942277,10
broadcast_autograd_bp_recipe,3,test_accuracy,112,0.8043799877166748,0.7986799894273283,0.8098202401399612,10
broadcast_autograd_bp_recipe,3,test_accuracy,113,0.8125499904155731,0.8069299817085266,0.8178902558982373,10
broadcast_autograd_bp_recipe,3,test_accuracy,114,0.8139199852943421,0.8076297406852245,0.8198002332448959,10
broadcast_autograd_bp_recipe,3,test_accuracy,115,0.811139988899231,0.8034099876880647,0.8182899893820286,10
broadcast_autograd_bp_recipe,3,test_accuracy,116,0.81593998670578,0.8080599962174894,0.8242604842782021,10
broadcast_autograd_bp_recipe,3,test_accuracy,117,0.8190599918365479,0.8125699877738953,0.8250904908776283,10
broadcast_autograd_bp_recipe,3,test_accuracy,118,0.8210599839687347,0.8153199790418149,0.8265799821913242,10
broadcast_autograd_bp_recipe,3,test_accuracy,119,0.8239199817180634,0.8176097218692303,0.8297099889814853,10
broadcast_autograd_bp_recipe,3,test_accuracy,120,0.8223699867725373,0.8167597299814224,0.8269799888134003,10
broadcast_autograd_bp_recipe,3,test_accuracy,121,0.8267999947071075,0.8199197417497636,0.8324902352690697,10
broadcast_autograd_bp_recipe,3,test_accuracy,122,0.8264199912548065,0.8232899844646454,0.8294399976730347,10
broadcast_autograd_bp_recipe,3,test_accuracy,123,0.825959998369217,0.8217700064182282,0.8301102516055107,10
broadcast_autograd_bp_recipe,3,test_accuracy,124,0.8267899870872497,0.8211699961125851,0.8314299762248992,10
broadcast_autograd_bp_recipe,3,test_accuracy,125,0.8358599960803985,0.8311500011384487,0.8414100110530853,10
broadcast_autograd_bp_recipe,3,test_accuracy,126,0.840809988975525,0.8369899988174438,0.8444699884951115,10
broadcast_autograd_bp_recipe,3,test_accuracy,127,0.8404699921607971,0.8369199991226197,0.84407998919487,10
broadcast_autograd_bp_recipe,3,test_accuracy,128,0.8368099808692933,0.8289894768595696,0.8436199843883515,10
broadcast_autograd_bp_recipe,3,test_accuracy,129,0.8411000013351441,0.8346900045871736,0.8474602399766445,10
broadcast_autograd_bp_recipe,3,test_accuracy,130,0.8383600115776062,0.8320300102233887,0.8454802569746972,10
broadcast_autograd_bp_recipe,3,test_accuracy,131,0.8430499970912934,0.8336800037324429,0.8517402347922325,10
broadcast_autograd_bp_recipe,3,test_accuracy,132,0.849839985370636,0.8455699919164181,0.8540499806404114,10
broadcast_autograd_bp_recipe,3,test_accuracy,133,0.8488399863243103,0.8433499869704246,0.8545199872553348,10
broadcast_autograd_bp_recipe,3,test_accuracy,134,0.8445599913597107,0.8369697630405426,0.8522702449560166,10
broadcast_autograd_bp_recipe,3,test_accuracy,135,0.8528899908065796,0.8477699935436249,0.8577999891340733,10
broadcast_autograd_bp_recipe,3,test_accuracy,136,0.8539199829101562,0.8497899830341339,0.8580999733507633,10
broadcast_autograd_bp_recipe,3,test_accuracy,137,0.8519499897956848,0.8424092482030392,0.8603499771654606,10
broadcast_autograd_bp_recipe,3,test_accuracy,138,0.8573299944400787,0.8515899956226349,0.8629899978637695,10
broadcast_autograd_bp_recipe,3,test_accuracy,139,0.8528999984264374,0.843900006711483,0.861899995803833,10
broadcast_autograd_bp_recipe,3,test_accuracy,140,0.8592999994754791,0.854559999704361,0.8642502482235432,10
broadcast_autograd_bp_recipe,3,test_accuracy,141,0.8604300022125244,0.8542497462034225,0.8658599974215031,10
broadcast_autograd_bp_recipe,3,test_accuracy,142,0.8639299869537354,0.8568894810974598,0.8707802411913872,10
broadcast_autograd_bp_recipe,3,test_accuracy,143,0.8644999861717224,0.8607599912583829,0.8683099809288979,10
broadcast_autograd_bp_recipe,3,test_accuracy,144,0.8686899900436401,0.8640099942684174,0.8734199881553649,10
broadcast_autograd_bp_recipe,3,test_accuracy,145,0.8693100035190582,0.8654500065743923,0.8732999980449676,10
broadcast_autograd_bp_recipe,3,test_accuracy,146,0.873909991979599,0.8691399990022183,0.8784299910068512,10
broadcast_autograd_bp_recipe,3,test_accuracy,147,0.8738699853420258,0.8667700052261352,0.8793002361059189,10
broadcast_autograd_bp_recipe,3,test_accuracy,148,0.8732999920845032,0.8669099985063076,0.8796699941158294,10
broadcast_autograd_bp_recipe,3,test_accuracy,149,0.8748399972915649,0.8685097342729569,0.8805702504515648,10
broadcast_autograd_bp_recipe,3,test_accuracy,150,0.8765199959278107,0.8736799955368043,0.8792499959468841,10
broadcast_autograd_bp_recipe,3,test_accuracy,151,0.8789799869060516,0.8741297425329685,0.883389979749918,10
broadcast_autograd_bp_recipe,3,test_accuracy,152,0.8802599847316742,0.8752899941802024,0.8848902282118799,10
broadcast_autograd_bp_recipe,3,test_accuracy,153,0.8778899908065796,0.8718600088357924,0.8833302372694015,10
broadcast_autograd_bp_recipe,3,test_accuracy,154,0.8782299935817719,0.8716397528350353,0.8847505022585392,10
broadcast_autograd_bp_recipe,3,test_accuracy,155,0.8843799948692321,0.8793199956417084,0.8888799847662449,10
broadcast_autograd_bp_recipe,3,test_accuracy,156,0.8853899836540222,0.8816497389972209,0.8892299890518189,10
broadcast_autograd_bp_recipe,3,test_accuracy,157,0.8845599889755249,0.8791597253084183,0.889909988641739,10
broadcast_autograd_bp_recipe,3,test_accuracy,158,0.8861699938774109,0.8809199987351894,0.8912402564287185,10
broadcast_autograd_bp_recipe,3,test_accuracy,159,0.8881499946117402,0.8841997450590134,0.8925802524387837,10
