left,right,functional_similarity,tree_distance_um,shared_path_um,shared_path_fraction,lca_depth,euclidean_distance_um,path_depth_difference_um,same_major_branch
0,1,-0.038354643517415944,169.26855209044334,0.0,0.0,0.0,78.04390723176282,46.406825070011635,False
0,2,0.29448153164343543,205.894580101114,0.0,0.0,0.0,89.93986613287804,83.03285308068233,False
0,3,0.12376966245853081,184.108128624789,0.0,0.0,0.0,76.85271440879625,61.24640160435732,False
0,4,0.13277406768875788,166.12555369584055,0.0,0.0,0.0,96.74224888847694,43.26382667540885,False
0,5,0.11783072841234286,179.66361110563142,9.813084488306698,0.1597419265753085,1.0,55.706387999941285,76.42805306181312,True
1,2,0.13495955732190124,252.30140517112565,0.0,0.0,0.0,131.37969693982407,36.626028010670694,False
1,3,0.16227749178464612,230.51495369480062,0.0,0.0,0.0,93.02808315772181,14.839576534345682,False
1,4,0.08574885993709916,212.53237876585217,0.0,0.0,0.0,148.7209306049421,3.1429983946027846,False
1,5,0.2182782069387378,245.69660515225644,0.0,0.0,0.0,131.4950730635943,30.02122799180148,False
2,3,0.03519733367039787,267.14098170547135,0.0,0.0,0.0,74.68220885860305,21.786451476325013,False
2,4,0.26806724080270233,99.47953295168864,74.83943691241711,0.7148350769243986,6.0,25.015176193662892,39.76902640527348,True
2,5,0.10231294388060319,282.3226331629271,0.0,0.0,0.0,76.42402051711241,6.604800018869213,False
3,4,0.027699994127004652,227.37195530019784,0.0,0.0,0.0,94.85351974492038,17.982574928948466,False
3,5,-0.031466597085851034,260.5361816866021,0.0,0.0,0.0,91.97509575966747,15.1816514574558,False
4,5,0.3965925336106222,242.55360675765365,0.0,0.0,0.0,70.22059185167848,33.164226386404266,False
