estimand,family,credit,comparison,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,exact_sign_flip_p_two_sided
alignment_interaction,flat_factor,bp,alpha_1_minus_0,10,0.2225799798965454,0.2180899679660797,0.22688997983932496,10,0.001953125
alignment_interaction,flat_factor,local3f,alpha_1_minus_0,10,0.1236599862575531,0.11391997933387757,0.1343400001525879,10,0.001953125
alignment_interaction,local_ratio,bp,alpha_1_minus_0,10,0.012959998846054078,0.011399996280670167,0.014459997415542603,10,0.001953125
alignment_interaction,local_ratio,local3f,alpha_1_minus_0,10,-0.11678999066352844,-0.15288997888565065,-0.08643975883722303,0,0.001953125
alignment_interaction,nested_factor,bp,alpha_1_minus_0,10,0.3041399955749512,0.30051001310348513,0.3078999818861485,10,0.001953125
alignment_interaction,nested_factor,local3f,alpha_1_minus_0,10,0.2769899725914001,0.266389716565609,0.2863799691200256,10,0.001953125
task_specificity_interaction,nested_factor,bp,nested_minus_flat_factor,10,0.08156001567840576,0.07746999263763428,0.08679999142885207,10,0.001953125
task_specificity_interaction,nested_factor,bp,nested_minus_local_ratio,10,0.2911799967288971,0.28729000091552737,0.29539998173713683,10,0.001953125
task_specificity_interaction,nested_factor,local3f,nested_minus_flat_factor,10,0.15332998633384703,0.14435998797416688,0.16318997174501418,10,0.001953125
task_specificity_interaction,nested_factor,local3f,nested_minus_local_ratio,10,0.3937799632549286,0.36581971123814583,0.4261599482595921,10,0.001953125
credit_interaction,flat_factor,local3f_minus_bp,alpha_0.0,10,-0.0010300040245056151,-0.002509993314743042,0.00040997862815856935,3,0.21875
credit_interaction,flat_factor,local3f_minus_bp,alpha_0.5,10,-0.004860007762908935,-0.0063300013542175295,-0.0030300021171569824,1,0.00390625
credit_interaction,flat_factor,local3f_minus_bp,alpha_1.0,10,-0.09994999766349792,-0.10597997948527337,-0.09215999841690063,0,0.001953125
credit_interaction,local_ratio,local3f_minus_bp,alpha_0.0,10,0.07655999660491944,0.07220000624656678,0.08052000403404236,10,0.001953125
credit_interaction,local_ratio,local3f_minus_bp,alpha_0.5,10,0.07635999321937562,0.06976999640464783,0.08239027172327043,10,0.001953125
credit_interaction,local_ratio,local3f_minus_bp,alpha_1.0,10,-0.053189992904663086,-0.09008997678756714,-0.0221500039100647,0,0.001953125
credit_interaction,nested_factor,local3f_minus_bp,alpha_0.0,10,-0.00016997456550598143,-0.0018299698829650878,0.00146000400185585,6,0.86328125
credit_interaction,nested_factor,local3f_minus_bp,alpha_0.5,10,-0.0008099973201751709,-0.0015300154685974122,-0.00012001991271972656,2,0.05859375
credit_interaction,nested_factor,local3f_minus_bp,alpha_1.0,10,-0.027319997549057007,-0.035369986295700075,-0.0193197265267372,0,0.001953125
