family,architecture,credit,alignment_alpha,seed,config_index,test_accuracy,train_accuracy,test_auc,fallback_mentions,nonfinite_alert,config_sha256,final_sha256,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars
nested_factor,serial,bp,0.0,10500,0,0.5702999830245972,0.5774999856948853,0.6090604662895203,0,False,05ebe58d1188b48dc352f2c57264c56c38b82ce5d631aa94743036c4530a97fa,2d241501b7f9ed6d2a7153eca35f2423ad8268fde594e3e671ee9685de7def60,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10501,1,0.5867999792098999,0.5924999713897705,0.6217055320739746,0,False,0791e843630c90cf83c091bd42ba8a5ef505ecd25bfb18e028db50f9ce05803e,9b68c697c25290c1becf058be523267b5502dbe6a4fe6a11f15510c6f00392a4,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10502,2,0.5809999704360962,0.5837000012397766,0.6107184886932373,0,False,4cebe45113348ea11ead35b4ffe4d841f93d48a5f364add0fdfb976adb32542b,3f0a73d93126cc17548e3f6e7e5c28575ab26545a816f3db8c589ded672df612,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10503,3,0.5783999562263489,0.5857999920845032,0.6111131310462952,0,False,fb1004a151748960b803244a1c117ab2c3bc6bb8b2e41e76e64d4f14e40a4bd8,3675814f3f7fc0d76f26d3e6fc9095a74e197a77a33950e3a5bd842a97fffcd3,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10504,4,0.587399959564209,0.5830999612808228,0.6241457462310791,0,False,ee14fbb9eca03e7b9e78fd01a000c2a1d3a119cc49c621835ef297a786cd3c4f,d706c23abf046715d9467e5b0d2661699b1809a644b7d343856ea38762c93f13,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10505,5,0.5860999822616577,0.5841999650001526,0.6215416193008423,0,False,09f71dff6cbca9cae349f0657ba40cc19ec5b7e01b23a66c8e3dc564072ad847,33199584a2b382c6fd883ac8244f08afac62ffa82f4eaa3e103df4c43cbb4483,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10506,6,0.5787000060081482,0.5888000130653381,0.6141499876976013,0,False,5773f250b4868cd03853ad562b08090401a8b38f914955865cdb90d334b364e8,f8782decf4ecc051e5390aa2efda548e1b3b243c7ed7cbdc42e976a131633f26,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10507,7,0.5881999731063843,0.5880999565124512,0.6184608340263367,0,False,628615720cfc574f7e5f8f74999f8764c09e5027431369dd011ee5211bd7428f,f4d6e8f71170adde7c08ad78102d0f4115e6ae661155b8bc2d77aaa4e836e906,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10508,8,0.582099974155426,0.5841000080108643,0.6168907284736633,0,False,fc37b0d0a52cc9ca9826c54175778aef8e11b339f4a5e5f227606c9059ada698,ec0c117e266d34880e61706ec9a5b0327e3bd4f76f942a2cc34dc5866c747de9,66178,14336,21760,2944
nested_factor,serial,bp,0.0,10509,9,0.5889999866485596,0.5898999571800232,0.6222716569900513,0,False,67e4fb45faab1a9b4d60768f62029ce921a9f8f291be8d60c567fe7c2aa7ccad,e8e65ef344e2edb5dc6f3839d90da66e33bff24e06f80bd49e60159a9e617857,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10500,10,0.5972999930381775,0.5945000052452087,0.6361158490180969,0,False,b213e5bc1cf25e3f0daa84962d8f9e751fbcf3ad3b7b0ffec043da7954de3234,859960ec490dd103db3ba12cab3493cdd8088f3dd7a2e815c9dab5d9424d3298,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10501,11,0.6051999926567078,0.6061999797821045,0.6464892625808716,0,False,80d16a0297f14b7c21ad4a047cf69a726e4fbce859683cec100e89e8ca031526,c1a5b14b186d080c814536a783cfc02329d473630c3bf886963b338cd39aed7c,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10502,12,0.5996999740600586,0.6043999791145325,0.6363970637321472,0,False,9c0bb3685f47935e296fc8d4da4e8c542979c435b5e79cc42523df62e80f74a3,463b258a353e621dc04e66a32af2d7cc07a2b7febf53764c72752e3f8c58a404,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10503,13,0.5952999591827393,0.6078999638557434,0.6324267983436584,0,False,b1c1511f1991565ef1cab10224285d2bfe864627959fd282e4c8363cd77bc651,6276770ff6a538eee2be8d35aa9bd0130997395c6e06523768c2bd7953725718,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10504,14,0.6036999821662903,0.6046000123023987,0.6469048857688904,0,False,3dd3530174e3e97b2d5333bccd40700260e3c1785c89d841df5301fa94314367,adcfad9717a15072017dd7c1a4087bc01cd49d7d35769714a2357b29372b5523,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10505,15,0.601099967956543,0.5981999635696411,0.6442012190818787,0,False,951fba5f185288d95d04e9aa6eee1a4e8f59f8feef0f536f905d1b8f26bfe687,f8d425399c0a752265efcfa94c52d781618b6e6c102e4b3c0b518e4fbbe635e1,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10506,16,0.5995000004768372,0.6105999946594238,0.6363330483436584,0,False,8033fda6f069aa3d9871e059d0a8b966476a3a93e9809e336ae40223feb6f8fb,5fef4d7eefceba8cba4f914b91d5c3c124d4ad0abf884ae9ea9626d0545075ae,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10507,17,0.6014999747276306,0.6072999835014343,0.6397150158882141,0,False,5e069ad27ea9e077324f90e94e1bcd9b3db23d0b1bcfad63d23f3f8a2d8a45d2,d289a28daa5f52640ff5af181396b709b06812de9e50982bc30554a362d15079,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10508,18,0.5943999886512756,0.6055999994277954,0.6381080150604248,0,False,206e5584c2b3aff9737c760e3470ff3caf66d38e5cc1e27640faa199ef6bd58b,cc2e3dd4ae25f4e5538b7d6e105b23ddeb2452c157761ff12b708d7185c2d38d,66178,14336,21760,2944
nested_factor,serial,bp,0.5,10509,19,0.6057999730110168,0.6047999858856201,0.6449559926986694,0,False,20751c51b88bb4f241e09a220a0440aa97bcb29e4966f4b46006e2ef4654dd7b,f6a4d2a87812272d81e45f5335eabf304622dd411dc47560f541fafa9814c50c,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10500,20,0.9143999814987183,0.9236999750137329,0.9490748643875122,0,False,1f11a9879628965ce996b0170c894c896e82736ec8770d8ab3a8bb71fe98db19,101926eef5d1789e263d3ee6f2269f5686d00cb651bc4c45f505867faba29eff,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10501,21,0.9177999496459961,0.9228000044822693,0.9477143883705139,0,False,0d5dcf171837073a1a121cde0bf6a4274ec745c22b9330377cfe28423fc16bcc,367f4ab30949096108653313e36e5002f74d3fe1c1bc44b4b35afdf7151b9031,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10502,22,0.9210000038146973,0.9249999523162842,0.9497053027153015,0,False,76eecb4feb4d3990c149950ced13807e361565feca561aa5f7b4ac2db2224d0a,862c4e77cad120ad6f5c602555f987ade0f56ca3497e951fd8d79fda2a52cf9f,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10503,23,0.9187999963760376,0.9181999564170837,0.950573742389679,0,False,f46166b322cbee89f8fd62befff524e693cf14b0797a6ffb6677774bcf7d1f8a,d780bea26bd272d6ffc2cb7018377cc9a1e745420bb5110414d9baa54dd22007,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10504,24,0.914900004863739,0.909500002861023,0.9542788863182068,0,False,6447024903cfe8dff081d8a07d34ad586c3e1c837d2367edd58f059c379892ae,a831abfbfc8f7937cdcc40a0e3ac49aeb023e3f62540ea5465e8a288782b14f4,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10505,25,0.9195999503135681,0.9229999780654907,0.9523078203201294,0,False,fb5ab62308786715ac103c9343a94de821d9535ae33b9277332aefb3ecaa409e,f22931c3b665c82bc771acaf64acb42936cc0014cdb44b32c542559324d48dc4,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10506,26,0.9188999533653259,0.9257999658584595,0.9471364617347717,0,False,7cbe3cd5d512455c9860b1ddc4c57bafa5d6f29191f1cb3e913821ac3b54c758,88f4f5de63e9dc662592b11563fd1f984eba6bf41e86253cbc6e52e25b1e45c0,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10507,27,0.9182999730110168,0.920799970626831,0.9552791714668274,0,False,0764e76df45325b6036cd282b72dcef79bc61f494d2d1b6c52768dddca36868b,f33a8db7f232a235b8f2cd730543e26bba9f060be6c8006f752b013344bd89ea,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10508,28,0.9192000031471252,0.9199999570846558,0.9577329754829407,0,False,49d0a8f81bd64e8a9ce6c24eb9a9fcb724a7743bdb59d78fa5711d227b32ed72,86d82e1beca51d5f7a5d89c0bbafdb048558de8730cf24c5dea4e3f9990a080d,66178,14336,21760,2944
nested_factor,serial,bp,1.0,10509,29,0.921999990940094,0.9228000044822693,0.9518385529518127,0,False,3d35ce86cd9b01bb8b3ca13a06a691ad41584f342830ae371a95467d078f89ec,d6ad1a9f8cdef62c1c7bcd8c35966f70f678ecc2a2d53011a001d439b20cbbb6,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10500,0,0.5730000138282776,0.5773000121116638,0.608426570892334,0,False,a029fbd85782bb47f88ade90392bbfa0e741c028bd0d6b220730815a19efc7cb,d6e6a82a92a97df988326f54e269872f11455d654427ff05fc70378704aa077b,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10501,1,0.5879999995231628,0.5940999984741211,0.6216069459915161,0,False,98f83225a82b018febdd8c5bb20f3ead8e4cc774b52db439da515ed3535a0f4a,6caba0c481d3bff500e1bc13beb663f5efd99e226a5f5d4506a9140455755a92,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10502,2,0.5812999606132507,0.5821999907493591,0.6110823750495911,0,False,c3792a33390a8f71da674ad8a6b69158fba93be57ef85be78374f5f8a71746d7,bb4b927519e779de9b357af1c0c89cc91528960dc2542ff6f8e874cbf54a38e9,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10503,3,0.5773000121116638,0.5899999737739563,0.6109579801559448,0,False,a373cdb4b155da3cf69dbc647dd5f64a494e7572747dc89b973081e2fc967d2f,e18d7b1250593bad093ddfcb67f94494dd5db02213c7758491093a1f15a78b1b,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10504,4,0.588699996471405,0.5827999711036682,0.6245415806770325,0,False,9177c0187cb512fd58fd88edfe337dae4bc373649745630326c919286452d35f,703cb34f447f0fca6c7cb65ed3e4bc68dcae5254e662957670246bb5b7a026fa,66178,14336,21760,2944
nested_factor,serial,local3f,0.0,10505,5,0.5861999988555908,0.5849999785423279,0.6219146251678467,0,False,55a2f47940454b5c981eddf36c84a71bab9e055b11fa63c6b59cd24af662f705,6c277b2094f175dc632a6a31780c5ba5e04b9f30c3fc9e5a002903cc0c856a9b,66178,14336,21760,2944
