family,architecture,credit,alignment_alpha,n_seeds,mean_test_accuracy,ci95_low,ci95_high
flat_factor,grouped_point,bp,0.0,10,0.6553499758243561,0.6529299795627594,0.6576099754869937
flat_factor,grouped_point,bp,0.5,10,0.6767499804496765,0.6739799857139588,0.6794899822771548
flat_factor,grouped_point,bp,1.0,10,0.7201699852943421,0.7181399822235107,0.7219999849796295
flat_factor,grouped_point,local3f,0.0,10,0.6560299754142761,0.6533699810504914,0.6588199734687805
flat_factor,grouped_point,local3f,0.5,10,0.6771999835968018,0.6740699827671051,0.6801899909973145
flat_factor,grouped_point,local3f,1.0,10,0.7132099866867065,0.7107599914073944,0.7154899895191192
flat_factor,serial,bp,0.0,10,0.6547999858856202,0.6522399960458279,0.6570999801158905
flat_factor,serial,bp,0.5,10,0.6884599804878235,0.6854899823665619,0.6913502271473408
flat_factor,serial,bp,1.0,10,0.9421999752521515,0.9383697216212749,0.9461599768698216
flat_factor,serial,local3f,0.0,10,0.6544499814510345,0.6516999840736389,0.6571599841117859
flat_factor,serial,local3f,0.5,10,0.6840499758720398,0.6814199686050415,0.6868699848651886
flat_factor,serial,local3f,1.0,10,0.8352899789810181,0.8258799789845944,0.8467199802398682
local_ratio,grouped_point,bp,0.0,10,0.6561699867248535,0.6536699831485748,0.6584499955177308
local_ratio,grouped_point,bp,0.5,10,0.7020199775695801,0.6983799815177918,0.705379980802536
local_ratio,grouped_point,bp,1.0,10,0.9999899983406066,0.99996999502182,1.0
local_ratio,grouped_point,local3f,0.0,10,0.5382099866867065,0.5353899896144867,0.5418199837207794
local_ratio,grouped_point,local3f,0.5,10,0.5679799854755402,0.5615099728107452,0.5746099889278412
local_ratio,grouped_point,local3f,1.0,10,0.9993599772453308,0.998859977722168,0.9997799754142761
local_ratio,serial,bp,0.0,10,0.6432099878787995,0.6397799849510193,0.6461199881136417
local_ratio,serial,bp,0.5,10,0.6792999863624573,0.6748799741268158,0.6832799911499023
local_ratio,serial,bp,1.0,10,0.9999899983406066,0.99996999502182,1.0
local_ratio,serial,local3f,0.0,10,0.6018099844455719,0.5990699887275696,0.6049099922180176
local_ratio,serial,local3f,0.5,10,0.621619987487793,0.6188599765300751,0.6239999890327453
local_ratio,serial,local3f,1.0,10,0.9461699843406677,0.9089499831199646,0.9780399799346924
nested_factor,grouped_point,bp,0.0,10,0.583739984035492,0.5808899819850921,0.5862199784815311
nested_factor,grouped_point,bp,0.5,10,0.5922999858856202,0.5892299830913543,0.5954499840736389
nested_factor,grouped_point,bp,1.0,10,0.6152899920940399,0.6121599912643433,0.6181499898433686
nested_factor,grouped_point,local3f,0.0,10,0.5840799748897553,0.5811597293615341,0.5867799639701843
nested_factor,grouped_point,local3f,0.5,10,0.5925899922847748,0.5892299950122833,0.5957899869978428
nested_factor,grouped_point,local3f,1.0,10,0.6117099761962891,0.6091799795627594,0.6140402308106423
nested_factor,serial,bp,0.0,10,0.5827999770641327,0.5791099786758422,0.5860099732875824
nested_factor,serial,bp,0.5,10,0.6003499805927277,0.5980199813842774,0.6025999844074249
nested_factor,serial,bp,1.0,10,0.9184899806976319,0.9170399844646454,0.9198299825191498
nested_factor,serial,local3f,0.0,10,0.58296999335289,0.579780000448227,0.5858999907970428
nested_factor,serial,local3f,0.5,10,0.5998299896717072,0.5973499953746796,0.6021899878978729
nested_factor,serial,local3f,1.0,10,0.887589967250824,0.8785399675369263,0.89609996676445
