estimand,family,credit,alignment_alpha,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,exact_sign_flip_p_two_sided
serial_minus_grouped,flat_factor,bp,0.0,10,-0.0005499899387359619,-0.0019099771976470946,0.0007700085639953613,4,0.46484375
serial_minus_grouped,flat_factor,bp,0.5,10,0.011710000038146973,0.010389995574951173,0.013050007820129394,10,0.001953125
serial_minus_grouped,flat_factor,bp,1.0,10,0.22202998995780945,0.21727998822927475,0.22644999623298645,10,0.001953125
serial_minus_grouped,flat_factor,local3f,0.0,10,-0.0015799939632415772,-0.00265999436378479,-0.00043999552726745603,3,0.033203125
serial_minus_grouped,flat_factor,local3f,0.5,10,0.006849992275238037,0.004789990186691284,0.008979988098144532,10,0.001953125
serial_minus_grouped,flat_factor,local3f,1.0,10,0.12207999229431152,0.11187973096966744,0.13339025333523752,10,0.001953125
serial_minus_grouped,local_ratio,bp,0.0,10,-0.012959998846054078,-0.014469993114471436,-0.011410003900527954,0,0.001953125
serial_minus_grouped,local_ratio,bp,0.5,10,-0.022719991207122803,-0.02375999093055725,-0.021719998121261595,0,0.001953125
serial_minus_grouped,local_ratio,bp,1.0,10,0.0,0.0,0.0,0,1.0
serial_minus_grouped,local_ratio,local3f,0.0,10,0.06359999775886535,0.059199994802474974,0.06769999861717224,10,0.001953125
serial_minus_grouped,local_ratio,local3f,0.5,10,0.05364000201225281,0.0475600004196167,0.05929000973701477,10,0.001953125
serial_minus_grouped,local_ratio,local3f,1.0,10,-0.053189992904663086,-0.09018023565411568,-0.021929753273725497,0,0.001953125
serial_minus_grouped,nested_factor,bp,0.0,10,-0.000940006971359253,-0.002490001916885376,0.0005099833011627197,5,0.275390625
serial_minus_grouped,nested_factor,bp,0.5,10,0.008049994707107544,0.006409996747970581,0.009759998619556428,10,0.001953125
serial_minus_grouped,nested_factor,bp,1.0,10,0.30319998860359193,0.3002299785614014,0.3062199951708317,10,0.001953125
serial_minus_grouped,nested_factor,local3f,0.0,10,-0.0011099815368652345,-0.0020599842071533205,-0.00017997607588768005,3,0.060546875
serial_minus_grouped,nested_factor,local3f,0.5,10,0.007239997386932373,0.005789989233016967,0.008929991722106933,10,0.001953125
serial_minus_grouped,nested_factor,local3f,1.0,10,0.2758799910545349,0.2660999894142151,0.28451025396585466,10,0.001953125
