candidate_id,shape,restart,fit_seed,validation_mse,test_nmse,noisy_test_mse,exact_population_nmse,status,fit_seconds,training_curve,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,selected_by_validation,seed,family,family_index,oracle_cut_candidate,parameters,edges
balanced_p0,balanced,0,82091300,0.6131508550560394,0.5481934450033888,0.6399533185125725,0.5463685163854268,completed,0.08994969702325761,"{""0"": 1.0265143313777707, ""2"": 0.6342759852873723, ""8"": 0.5740895371613244, ""32"": 0.5736023911420419}",0,4,2.540866582685632,3.3483892703756686,False,820913,matching,0,balanced_p1,28,14
balanced_p0,balanced,1,82091301,0.613146476609473,0.5481878742909723,0.6399486737415429,0.5463616922865671,completed,0.0919164860388264,"{""0"": 1.0196473431939597, ""2"": 0.5846200777076539, ""8"": 0.5741807635449562, ""32"": 0.5736024244320436}",0,4,2.540878469255723,6.490015041093127,True,820913,matching,0,balanced_p1,28,14
balanced_p1,balanced,0,82091300,0.18981598185635107,0.0978352274940239,0.1920599099212507,0.09822953397424493,completed,0.09085425094235688,"{""0"": 1.0226828819245384, ""2"": 0.19062403210530243, ""8"": 0.16198408294266012, ""32"": 0.16183358597511904}",0,4,2.6194639899289442,4.929362824636465,True,820913,matching,0,balanced_p1,28,14
balanced_p1,balanced,1,82091301,0.18981995776941318,0.09783928255894156,0.19206356720414083,0.09823286641019485,completed,0.10332686500623822,"{""0"": 1.0418429704270669, ""2"": 0.30652514938284536, ""8"": 0.164668057868692, ""32"": 0.161833587001862}",0,4,2.619457110422578,7.180825768477682,False,820913,matching,0,balanced_p1,28,14
balanced_p2,balanced,0,82091300,0.3111769439910556,0.25113893991815905,0.3457824585200413,0.24664716044256374,completed,0.09638416208326817,"{""0"": 1.0656544583206848, ""2"": 0.8596015176340074, ""8"": 0.30754199676772304, ""32"": 0.3075419962452014}",0,4,2.598167688119849,3.1727671390891055,True,820913,matching,0,balanced_p1,28,14
balanced_p2,balanced,1,82091301,0.9406641010587786,0.8698749926194556,0.9579188087599093,0.8717294512099856,completed,0.09866863500792533,"{""0"": 1.0049670263557478, ""2"": 0.8548601937893758, ""8"": 0.8496052064135542, ""32"": 0.8495340382760141}",0,4,2.4750959927070713,3.4065103748216767,False,820913,matching,0,balanced_p1,28,14
balanced_p3,balanced,0,82091300,0.5370134205111312,0.45270451409889356,0.5398140076424793,0.454980966336135,completed,0.09594857902266085,"{""0"": 0.946194430093345, ""2"": 0.4889943580343795, ""8"": 0.4855556149617269, ""32"": 0.48555491651431293}",0,4,2.5609824426286742,5.961213680394072,False,820913,matching,0,balanced_p1,28,14
balanced_p3,balanced,1,82091301,0.5370134205107172,0.45270451409914725,0.5398140076426607,0.4549809663361034,completed,0.09874632302671671,"{""0"": 0.9991037504591006, ""2"": 0.5632359845663096, ""8"": 0.48555504050083886, ""32"": 0.4855549165143128}",0,4,2.5609824426291543,3.148605127972702,True,820913,matching,0,balanced_p1,28,14
comb_p0,comb,0,82091300,0.6138518678814883,0.5466290841355324,0.6392023887363285,0.5455443950035219,completed,0.09622309298720211,"{""0"": 1.0896360837321186, ""2"": 0.8037986161213425, ""8"": 0.5744825670563243, ""32"": 0.574482442237585}",0,4,2.5492385638912483,9.837216974583498,False,820913,matching,0,balanced_p1,28,14
comb_p0,comb,1,82091301,0.6138518678813986,0.5466290841355392,0.6392023887363366,0.5455443950035185,completed,0.09140987601131201,"{""0"": 1.1241182441660384, ""2"": 0.6277268246480798, ""8"": 0.5744824774814441, ""32"": 0.574482442237585}",0,4,2.549238563891225,212.3623308958053,True,820913,matching,0,balanced_p1,28,14
