seed,optimizer,rule,first_contact_step,parameters,compartments
2101,adam,unit_broadcast,910,17,5
2101,adam,calibrated_broadcast,910,17,5
2101,sgd,unit_broadcast,12019,17,5
2101,sgd,calibrated_broadcast,16385,,
2102,adam,unit_broadcast,803,16,4
2102,adam,calibrated_broadcast,803,16,4
2102,sgd,unit_broadcast,5758,16,4
2102,sgd,calibrated_broadcast,13137,16,4
2103,adam,unit_broadcast,2112,20,5
2103,adam,calibrated_broadcast,2112,20,5
2103,sgd,unit_broadcast,10846,20,5
2103,sgd,calibrated_broadcast,16385,,
2104,adam,unit_broadcast,384,18,4
2104,adam,calibrated_broadcast,384,18,4
2104,sgd,unit_broadcast,1301,18,4
2104,sgd,calibrated_broadcast,2614,18,4
2105,adam,unit_broadcast,944,17,5
2105,adam,calibrated_broadcast,944,17,5
2105,sgd,unit_broadcast,15060,20,5
2105,sgd,calibrated_broadcast,16385,,
2106,adam,unit_broadcast,468,16,4
2106,adam,calibrated_broadcast,468,16,4
2106,sgd,unit_broadcast,3223,17,5
2106,sgd,calibrated_broadcast,6841,16,4
2107,adam,unit_broadcast,1340,19,4
2107,adam,calibrated_broadcast,1341,19,4
2107,sgd,unit_broadcast,3369,16,4
2107,sgd,calibrated_broadcast,8489,16,4
2108,adam,unit_broadcast,1041,17,5
2108,adam,calibrated_broadcast,1041,17,5
2108,sgd,unit_broadcast,4027,17,5
2108,sgd,calibrated_broadcast,9208,17,5
2109,adam,unit_broadcast,744,18,4
2109,adam,calibrated_broadcast,744,18,4
2109,sgd,unit_broadcast,3655,18,4
2109,sgd,calibrated_broadcast,3229,18,4
2110,adam,unit_broadcast,1818,16,4
2110,adam,calibrated_broadcast,1818,16,4
2110,sgd,unit_broadcast,1096,18,4
2110,sgd,calibrated_broadcast,3756,18,4
2111,adam,unit_broadcast,601,17,5
2111,adam,calibrated_broadcast,601,17,5
2111,sgd,unit_broadcast,5347,16,4
2111,sgd,calibrated_broadcast,5590,16,4
2112,adam,unit_broadcast,8326,18,4
2112,adam,calibrated_broadcast,8326,18,4
2112,sgd,unit_broadcast,5620,18,4
2112,sgd,calibrated_broadcast,16385,,
2113,adam,unit_broadcast,670,20,5
2113,adam,calibrated_broadcast,670,20,5
2113,sgd,unit_broadcast,1633,20,5
2113,sgd,calibrated_broadcast,4520,20,5
2114,adam,unit_broadcast,2995,16,4
2114,adam,calibrated_broadcast,2995,16,4
2114,sgd,unit_broadcast,2588,20,5
2114,sgd,calibrated_broadcast,5697,20,5
2115,adam,unit_broadcast,544,16,4
2115,adam,calibrated_broadcast,544,16,4
2115,sgd,unit_broadcast,2925,16,4
2115,sgd,calibrated_broadcast,6884,16,4
2116,adam,unit_broadcast,6263,16,4
2116,adam,calibrated_broadcast,6263,16,4
2116,sgd,unit_broadcast,3066,20,5
2116,sgd,calibrated_broadcast,6149,20,5
2117,adam,unit_broadcast,1357,20,5
2117,adam,calibrated_broadcast,1357,20,5
2117,sgd,unit_broadcast,6078,18,4
2117,sgd,calibrated_broadcast,16385,,
2118,adam,unit_broadcast,1039,17,5
2118,adam,calibrated_broadcast,1039,17,5
2118,sgd,unit_broadcast,4272,17,5
2118,sgd,calibrated_broadcast,16385,,
2119,adam,unit_broadcast,571,16,4
2119,adam,calibrated_broadcast,571,16,4
2119,sgd,unit_broadcast,2857,17,5
2119,sgd,calibrated_broadcast,6991,17,5
2120,adam,unit_broadcast,757,16,4
2120,adam,calibrated_broadcast,757,16,4
2120,sgd,unit_broadcast,3065,16,4
2120,sgd,calibrated_broadcast,7186,17,5
