bound,task,optimizer,rule,test_nmse
7.0,aligned_strong,adam,ancestry_three_oracle,3.7959553729323947e-07
7.0,aligned_strong,adam,calibrated_broadcast,0.00046168974241095936
7.0,aligned_strong,adam,exact,3.789745716078419e-07
7.0,aligned_strong,adam,unit_broadcast,0.00046160800932004074
7.0,aligned_strong,sgd,ancestry_three_oracle,0.00012528161972748673
7.0,aligned_strong,sgd,calibrated_broadcast,0.0012364527193732275
7.0,aligned_strong,sgd,exact,0.00013074850035170948
7.0,aligned_strong,sgd,unit_broadcast,0.0008732313755901611
7.0,opposed_strong,adam,ancestry_three_oracle,9.025040124622714e-07
7.0,opposed_strong,adam,calibrated_broadcast,0.6282257114236832
7.0,opposed_strong,adam,exact,2.475047674831068e-07
7.0,opposed_strong,adam,unit_broadcast,0.6282258221457225
7.0,opposed_strong,sgd,ancestry_three_oracle,0.0001325263486767622
7.0,opposed_strong,sgd,calibrated_broadcast,0.7174317957349565
7.0,opposed_strong,sgd,exact,0.0001348744300502986
7.0,opposed_strong,sgd,unit_broadcast,0.6263588024142877
20.0,aligned_strong,adam,ancestry_three_oracle,3.7959553729323947e-07
20.0,aligned_strong,adam,calibrated_broadcast,0.0004502197814398994
20.0,aligned_strong,adam,exact,3.789745716078419e-07
20.0,aligned_strong,adam,unit_broadcast,0.00045020061890379073
20.0,aligned_strong,sgd,ancestry_three_oracle,0.00012528161972748673
20.0,aligned_strong,sgd,calibrated_broadcast,0.0012364527193732275
20.0,aligned_strong,sgd,exact,0.00013074850035170948
20.0,aligned_strong,sgd,unit_broadcast,0.0008732313755901611
20.0,opposed_strong,adam,ancestry_three_oracle,9.025040124622714e-07
20.0,opposed_strong,adam,calibrated_broadcast,0.6266299705705606
20.0,opposed_strong,adam,exact,2.475047674831068e-07
20.0,opposed_strong,adam,unit_broadcast,0.6266301956144136
20.0,opposed_strong,sgd,ancestry_three_oracle,0.0001325263486767622
20.0,opposed_strong,sgd,calibrated_broadcast,0.7162037952762019
20.0,opposed_strong,sgd,exact,0.0001348744300502986
20.0,opposed_strong,sgd,unit_broadcast,0.6256005053225497
