seed,optimizer,rule,first_contact_step,last_precontact_checkpoint,exact_nmse,broadcast_nmse,gap
2101,adam,unit_broadcast,910,256,0.0003128788890642,0.8958749532771425,0.8955620743880783
2101,adam,calibrated_broadcast,910,256,0.0003128788890642,0.8958733977194249,0.8955605188303607
2101,sgd,unit_broadcast,12019,8192,0.0001875554749302,0.8081121535618159,0.8079245980868857
2101,sgd,calibrated_broadcast,16385,16384,0.0001608793112843,0.8194072735194134,0.8192463942081292
2102,adam,unit_broadcast,803,256,0.0001926179246368,0.4948456050014717,0.49465298707683486
2102,adam,calibrated_broadcast,803,256,0.0001926179246368,0.494845899626944,0.49465328170230716
2102,sgd,unit_broadcast,5758,4096,0.0001339449680941,0.4563735649222866,0.4562396199541925
2102,sgd,calibrated_broadcast,13137,12288,0.0001221175353332,0.481037137283559,0.4809150197482258
2103,adam,unit_broadcast,2112,2048,2.571045150424001e-05,1.0097545285736165,1.0097288181221122
2103,adam,calibrated_broadcast,2112,2048,2.571045150424001e-05,1.0097545160097985,1.0097288055582943
2103,sgd,unit_broadcast,10846,8192,0.0001432778360815,1.020447699812385,1.0203044219763036
2103,sgd,calibrated_broadcast,16385,16384,0.000119060502428,0.8565127773190809,0.8563937168166529
2104,adam,unit_broadcast,384,256,0.0004699340938871,1.0039294749102792,1.003459540816392
2104,adam,calibrated_broadcast,384,256,0.0004699340938871,1.0039294714283051,1.003459537334418
2104,sgd,unit_broadcast,1301,1024,0.0002586842981878,0.9947068235723976,0.9944481392742098
2104,sgd,calibrated_broadcast,2614,2048,0.0002192348116967,0.9962659715755624,0.9960467367638657
2105,adam,unit_broadcast,944,256,0.0002120265102234,0.8214439967861554,0.821231970275932
2105,adam,calibrated_broadcast,944,256,0.0002120265102234,0.8214438977803877,0.8212318712701643
2105,sgd,unit_broadcast,15060,12288,0.000156867239002,1.037378703129027,1.037221835890025
2105,sgd,calibrated_broadcast,16385,16384,0.0001488486742743,0.7804792490121043,0.78033040033783
2106,adam,unit_broadcast,468,256,0.0002905414641462,0.1423246591861642,0.142034117722018
2106,adam,calibrated_broadcast,468,256,0.0002905414641462,0.1423246843548514,0.1420341428907052
2106,sgd,unit_broadcast,3223,2048,0.0002118141413733,0.1122444131270522,0.1120325989856789
2106,sgd,calibrated_broadcast,6841,4096,0.0001963335596196,0.131149388086657,0.1309530545270374
2107,adam,unit_broadcast,1340,1024,5.7709927531567766e-05,0.689332659508416,0.6892749495808845
2107,adam,calibrated_broadcast,1341,1024,5.7709927531567766e-05,0.6893327162006221,0.6892750062730906
2107,sgd,unit_broadcast,3369,2048,9.975140041527222e-05,0.3462428413332034,0.3461430899327881
2107,sgd,calibrated_broadcast,8489,8192,9.066171164711911e-05,0.4235469064261964,0.4234562447145493
2108,adam,unit_broadcast,1041,1024,0.0001056013184525,0.6100594014574479,0.6099538001389954
2108,adam,calibrated_broadcast,1041,1024,0.0001056013184525,0.6100594499949071,0.6099538486764546
2108,sgd,unit_broadcast,4027,2048,0.0001491947757138,0.5446832903708821,0.5445340955951683
2108,sgd,calibrated_broadcast,9208,8192,0.0001331329543572,0.7133692063512852,0.713236073396928
2109,adam,unit_broadcast,744,256,0.0002382086435474,1.004397743285954,1.0041595346424066
2109,adam,calibrated_broadcast,744,256,0.0002382086435474,1.0043977455571251,1.0041595369135776
2109,sgd,unit_broadcast,3655,2048,0.0001361557094339,1.000018378037916,0.999882222328482
2109,sgd,calibrated_broadcast,3229,2048,0.0001361557094339,0.9992381426952988,0.9991019869858648
2110,adam,unit_broadcast,1818,1024,0.0001542601258208,0.722101886327565,0.7219476262017442
2110,adam,calibrated_broadcast,1818,1024,0.0001542601258208,0.7221014782250905,0.7219472180992698
2110,sgd,unit_broadcast,1096,1024,0.0001800626539721,0.9982250285904366,0.9980449659364645
2110,sgd,calibrated_broadcast,3756,2048,0.0001536379761773,0.9580301827858332,0.9578765448096559
2111,adam,unit_broadcast,601,256,0.0005075125754816,0.6181488262644593,0.6176413136889777
2111,adam,calibrated_broadcast,601,256,0.0005075125754816,0.6181488327012061,0.6176413201257245
2111,sgd,unit_broadcast,5347,4096,0.0002827032606802,0.7587668922346865,0.7584841889740063
2111,sgd,calibrated_broadcast,5590,4096,0.0002827032606802,0.5521407544977971,0.5518580512371168
2112,adam,unit_broadcast,8326,8192,1.6773741871952929e-06,0.9957615255459582,0.995759848171771
2112,adam,calibrated_broadcast,8326,8192,1.6773741871952929e-06,0.9957614737145454,0.9957597963403582
2112,sgd,unit_broadcast,5620,4096,0.0001051779625833,1.0071546643910043,1.007049486428421
2112,sgd,calibrated_broadcast,16385,16384,8.073969222214725e-05,0.999395024953035,0.9993142852608129
2113,adam,unit_broadcast,670,256,0.0002422948482823,1.006593965160114,1.0063516703118316
2113,adam,calibrated_broadcast,670,256,0.0002422948482823,1.0065939320898427,1.0063516372415604
