bound,optimizer,rule,contrast,mean,ci_low,ci_high,n,n_positive
7.0,adam,unit_broadcast,target_gap,0.6282255746409551,0.46426320328519294,0.7749857454659882,20,20
7.0,adam,unit_broadcast,control_gap,0.00046122903474843277,0.00022946249982981365,0.0007577353611626542,20,20
7.0,adam,unit_broadcast,task_difference_in_gap,0.6277643456062068,0.463910931228323,0.7744938965730517,20,20
7.0,adam,calibrated_broadcast,target_gap,0.6282254639189156,0.46426319096166613,0.7749856101957201,20,20
7.0,adam,calibrated_broadcast,control_gap,0.0004613107678393515,0.00022956034761028476,0.0007578223912000121,20,20
7.0,adam,calibrated_broadcast,task_difference_in_gap,0.6277641531510765,0.4639109828810445,0.7744937655173034,20,20
7.0,adam,ancestry_three_oracle,target_gap,6.549992449791645e-07,-2.897480263907616e-07,2.3977933271575703e-06,20,4
7.0,adam,ancestry_three_oracle,control_gap,6.2096568539761e-10,-2.442413028994137e-07,2.9511275746048003e-07,20,6
7.0,adam,ancestry_three_oracle,task_difference_in_gap,6.543782792937666e-07,-4.654836280051504e-07,2.56112790070075e-06,20,10
7.0,sgd,unit_broadcast,target_gap,0.6262239279842373,0.4639783074285234,0.7803245770378113,20,20
7.0,sgd,unit_broadcast,control_gap,0.0007424828752384517,0.0004144129483832062,0.0011004969927832064,20,16
7.0,sgd,unit_broadcast,task_difference_in_gap,0.625481445108999,0.4632149836265178,0.7795024946364792,20,20
7.0,sgd,calibrated_broadcast,target_gap,0.7172969213049062,0.5875043483415175,0.839315753092881,20,20
7.0,sgd,calibrated_broadcast,control_gap,0.0011057042190215178,0.0006243375728147702,0.0016751396116377762,20,20
7.0,sgd,calibrated_broadcast,task_difference_in_gap,0.7161912170858845,0.5863317475997804,0.8383458043164381,20,20
7.0,sgd,ancestry_three_oracle,target_gap,-2.3480813735364104e-06,-4.332803543436652e-06,-5.114063810470569e-07,20,8
7.0,sgd,ancestry_three_oracle,control_gap,-5.466880624222741e-06,-7.463183752541365e-06,-3.6138373317390646e-06,20,0
7.0,sgd,ancestry_three_oracle,task_difference_in_gap,3.1187992506863315e-06,1.860177018651283e-06,4.462523369273908e-06,20,17
20.0,adam,unit_broadcast,target_gap,0.626629948109646,0.4628566146265827,0.7734575597016312,20,20
20.0,adam,unit_broadcast,control_gap,0.0004498216443321828,0.00021804323332518243,0.0007471688491039321,20,20
20.0,adam,unit_broadcast,task_difference_in_gap,0.6261801264653137,0.46245902952410234,0.7730655623583174,20,20
20.0,adam,calibrated_broadcast,target_gap,0.6266297230657931,0.4628562738470966,0.7734573102836452,20,20
20.0,adam,calibrated_broadcast,control_gap,0.0004498408068682915,0.00021808878750931204,0.0007472792960349289,20,20
20.0,adam,calibrated_broadcast,task_difference_in_gap,0.6261798822589248,0.462458709777704,0.7730655059494558,20,20
20.0,adam,ancestry_three_oracle,target_gap,6.549992449791645e-07,-2.897480263907616e-07,2.3977933271575703e-06,20,4
20.0,adam,ancestry_three_oracle,control_gap,6.2096568539761e-10,-2.442413028994137e-07,2.9511275746048003e-07,20,6
20.0,adam,ancestry_three_oracle,task_difference_in_gap,6.543782792937666e-07,-4.654836280051504e-07,2.56112790070075e-06,20,10
20.0,sgd,unit_broadcast,target_gap,0.6254656308924995,0.4627574270301784,0.7798921302021898,20,20
20.0,sgd,unit_broadcast,control_gap,0.0007424828752384517,0.0004144129483832062,0.0011004969927832064,20,16
20.0,sgd,unit_broadcast,task_difference_in_gap,0.6247231480172609,0.4619837145432564,0.779264514488371,20,20
20.0,sgd,calibrated_broadcast,target_gap,0.7160689208461516,0.5856626585675048,0.8386596149218566,20,20
20.0,sgd,calibrated_broadcast,control_gap,0.0011057042190215178,0.0006243375728147702,0.0016751396116377762,20,20
20.0,sgd,calibrated_broadcast,task_difference_in_gap,0.7149632166271301,0.5845175141603138,0.8378298249015373,20,20
20.0,sgd,ancestry_three_oracle,target_gap,-2.3480813735364104e-06,-4.332803543436652e-06,-5.114063810470569e-07,20,8
20.0,sgd,ancestry_three_oracle,control_gap,-5.466880624222741e-06,-7.463183752541365e-06,-3.6138373317390646e-06,20,0
20.0,sgd,ancestry_three_oracle,task_difference_in_gap,3.1187992506863315e-06,1.860177018651283e-06,4.462523369273908e-06,20,17
