segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction
0,-1,0.0,5.997,623.936,441.664,801.4,1,0,0.0,14,False,True,0,0.0,0,0.0,864691135740320660,233.95225931615155,0.0,0.0,-5.45511707452634,
8,0,16.548297400953782,1.474587344561361,613.066,430.088,797.38,8,1,16.548297400953782,2,False,True,0,0.0,0,0.0,864691135740320660,16.435688937819716,0.0,-2.4593848009723493,-5.258839926152441,
14,8,8.965004981002545,0.5776464988334847,605.482,426.04,795.37,6,2,25.51330238195633,2,False,True,0,0.0,0,0.0,864691135740320660,19.017190057079823,0.0,-2.7900048083025757,-5.73534811828492,
20,14,9.028993288392112,0.6374851940566614,597.06,423.923,797.041,6,3,34.54229567034844,2,False,True,0,0.0,0,0.0,864691135740320660,10.676622966584974,0.0,-3.076487285969238,-5.44454386786839,
29,20,13.516580565094383,0.6297260599968401,584.383,419.648,798.296,9,4,48.058876235442824,2,False,True,0,0.0,1,4156.0,864691135740320660,7.704572124099398,0.3467957276368491,-3.213651586077581,-5.255465521068804,0.033171135728336264
41,29,18.083847759849238,0.4977219609961748,567.884,416.548,792.317,12,5,66.14272399529206,2,False,True,0,0.0,0,0.0,864691135740320660,9.665836354499069,0.0,-3.7861618474551415,-6.054759490722208,
49,41,12.023674512837232,0.538860747739378,556.491,419.773,792.651,8,6,78.16639850812929,2,False,True,1,3244.0,0,0.0,864691135740320660,11.97207251709059,0.0,-4.0184830991376375,-6.5010597463341515,
54,49,7.468311842967277,0.5032282809752668,550.491,423.713,794.375,5,7,85.63471035109657,2,False,True,0,0.0,0,0.0,864691135740320660,1.4879191942554555,0.0,-4.125401311447907,-4.52277994144839,
101,54,70.40084078250376,0.42776334392797494,488.084,427.276,779.24,47,8,156.03555113360034,2,False,True,0,0.0,0,0.0,864691135740320660,2.9731386192938314,0.0,-4.715605326861491,-5.80522349585636,
144,101,64.30393191732675,0.34200435398210277,431.952,409.212,792.534,43,9,220.33948305092707,2,False,True,0,0.0,0,0.0,864691135740320660,2.6418315255777087,0.0,-6.354957734158916,-7.326430170465659,
175,144,46.053004393208376,0.30425770106487227,411.735,399.055,825.458,31,10,266.39248744413544,0,True,False,1,584.0,0,0.0,864691135740320660,0.9993684101663929,0.0,-7.776233481861039,-7.775601692490551,
206,144,45.128161471877796,0.2698705924649126,414.432,403.648,764.84,31,10,265.46764452280485,0,True,False,0,0.0,0,0.0,864691135740320660,0.8262629199154063,0.0,-7.995811926315755,-7.804969675188645,
264,101,85.0411312387358,0.3075590284163172,419.488,421.752,744.2,58,9,241.07668237233614,0,True,False,0,0.0,2,5160.0,864691135740320660,2.2050600658315047,0.43057409879839786,-6.8467848651310135,-7.637539614398712,0.0
267,0,14.676332795323077,2.664902035433564,635.876,434.121,802.776,3,1,14.676332795323077,3,False,True,0,0.0,0,0.0,864691135740320660,12.081778290475018,0.0,-2.4593848009723493,-4.951083192121175,
278,267,16.54315240315304,0.4205933876424333,633.416,422.913,791.268,11,2,31.219485198476118,2,False,True,0,0.0,0,0.0,864691135740320660,13.455030074831347,0.0,-3.7294827676646785,-6.328835787057054,
282,278,6.011464794842253,0.4890720742729969,636.502,418.979,788.159,4,3,37.23094999331837,2,False,True,0,0.0,0,0.0,864691135740320660,2.7400675779040986,0.0,-3.7932448878463414,-4.801227471410831,
298,282,24.01792458553537,0.3914458051971959,658.844,419.438,782.141,16,4,61.24887457885374,2,False,True,0,0.0,0,0.0,864691135740320660,2.553642116036677,0.0,-4.096094121468359,-5.033614742414556,
327,298,43.64752128958975,0.38815677363252404,694.899,419.815,760.737,29,5,104.89639586844348,2,False,True,0,0.0,1,4880.0,864691135740320660,2.2733322797556452,0.40720961281708945,-4.942703004721559,-5.763949724458117,0.14030437933533493
394,327,99.3320067397457,0.3026687588688926,747.656,367.493,716.359,67,6,204.22840260818919,0,True,False,1,12108.0,0,0.0,864691135740320660,3.0500732877068426,0.0,-6.992899957499499,-8.108065576586474,
471,54,112.9025582815677,0.3811850701332934,481.008,377.248,832.76,77,8,198.53726863266428,0,True,False,0,0.0,2,6428.0,864691135740320660,3.4561927415564084,0.5363818424566088,-5.41849545612472,-6.658663075637709,0.0
482,267,15.166602943263452,0.4752349698293715,648.038,431.101,810.372,11,2,29.84293573858653,2,False,True,0,0.0,1,1116.0,864691135740320660,6.510838945651219,0.0931241655540721,-3.398320712965531,-5.271789031182672,0.1777616730510405
494,482,18.01289516137863,0.5069706592860781,660.28,422.592,819.966,12,3,47.855830899965156,2,False,True,0,0.0,0,0.0,864691135740320660,23.925846025168116,0.0,-3.7617310642765203,-6.936690362543859,
511,494,25.622546990866425,0.5167347725965429,670.371,406.576,837.061,17,4,73.47837789083158,2,False,True,0,0.0,0,0.0,864691135740320660,4.998584213111456,0.0,-5.7408640024667745,-7.350018717426547,
526,511,22.60263829242981,0.5189331860513848,674.929,390.766,852.285,15,5,96.0810161832614,2,False,True,1,2292.0,0,0.0,864691135740320660,8.026438079198257,0.0,-6.020295472806377,-8.103036325668167,
543,526,25.56758713585224,0.44039084269796525,681.29,376.711,871.75,17,6,121.64860331911363,2,False,True,1,6644.0,0,0.0,864691135740320660,3.0302667499606053,0.0,-7.224796919666712,-8.333447571603651,
569,543,39.16583965380453,0.32399591706553704,662.851,360.917,899.745,26,7,160.81444297291816,2,False,True,0,0.0,2,5092.0,864691135740320660,3.052163078087009,0.4248998664886515,-8.495551068153807,-9.611401613335609,0.0
593,569,35.39570932465036,0.3228727658043897,643.152,351.056,926.16,24,8,196.21015229756853,0,True,False,0,0.0,0,0.0,864691135740320660,0.7753487556154375,0.0,-9.679235952416917,-9.424793608810958,
675,511,121.9137284918428,0.3508367739569001,780.109,378.504,834.105,82,5,195.3921063826744,0,True,False,0,0.0,4,11516.0,864691135740320660,3.862783385686944,0.9609479305740988,-8.48845059602535,-9.83983860402052,0.0
691,569,22.04450963191256,0.24042499514623739,667.808,344.256,910.32,16,8,182.85895260483073,0,True,False,0,0.0,0,0.0,864691135740320660,0.359579661173685,0.0,-9.795409242323723,-8.772589704755752,
699,526,11.115351791542846,0.4028724283208012,682.807,385.335,848.865,8,6,107.19636797480425,2,False,True,0,0.0,0,0.0,864691135740320660,1.6065859723335199,0.0,-6.569884004355806,-7.0439954178002235,
746,699,69.20156609413793,0.32170442691056556,723.016,353.864,825.68,47,7,176.39793406894216,0,True,False,0,0.0,1,7024.0,864691135740320660,2.096501059981581,0.5861148197596796,-7.789512916510521,-8.529782709734867,0.0
782,543,52.26950969342158,0.3767577753215219,706.72,352.08,878.64,36,7,173.91811301253523,0,True,False,0,0.0,2,2980.0,864691135740320660,1.5847241125637614,0.24866488651535382,-8.48241622887423,-8.94282655957905,0.0
792,8,14.136079006162003,0.3638615940621141,612.956,419.33,789.882,10,2,30.684376407115785,3,False,True,1,1172.0,0,0.0,864691135740320660,1.8098446345118728,0.0,-4.169783526892866,-4.763024531200111,
884,792,136.04877113682159,0.3370055477107719,682.262,379.686,745.958,92,3,166.73314754393738,0,True,False,2,30468.0,2,2744.0,864691135740320660,5.881980195745599,0.22897196261682243,-6.091599574623088,-7.86349304782396,0.15771819028884979
924,327,58.87179219523478,0.28052484805995065,751.8,411.408,762.96,40,6,163.76818806367825,0,True,False,1,14996.0,2,4060.0,864691135740320660,2.710573184156088,0.338785046728972,-6.6217475736628,-7.61890769325861,0.07762708354902163
970,49,67.32915040431632,0.3269484925791356,519.696,427.376,741.48,46,7,145.4955489124456,0,True,False,1,204.0,1,268.0,864691135740320660,1.5328593925933838,0.022363150867823766,-7.186808138751191,-7.613943014012495,0.0010560099389170722
991,29,30.480362690203588,0.4835760787412306,586.56,403.848,822.891,21,5,78.53923892564642,2,False,True,0,0.0,0,0.0,864691135740320660,2.983224091112671,0.0,-4.365891241209643,-5.4588958666537275,
1036,991,66.65746609499536,0.35821283958341926,539.128,405.496,858.36,45,6,145.1967050206418,0,True,False,1,2376.0,1,2760.0,864691135740320660,2.0485341069110032,0.23030707610146864,-5.951968654205483,-6.669093121771937,0.01229940987679884
1061,699,36.038293846113405,0.30673127717236315,675.626,356.013,853.021,25,7,143.23466182091767,0,True,False,1,5912.0,1,2924.0,864691135740320660,1.4872751179401291,0.24399198931909213,-7.232393812831911,-7.629339478623807,0.030603582151361424
1088,991,38.90004861404407,0.4102171351620592,578.431,385.053,854.725,27,6,117.43928753969048,2,False,True,0,0.0,0,0.0,864691135740320660,3.5862747898045324,0.0,-5.142278527267216,-6.419392528015329,
1105,1088,25.336954888578322,0.2808440919465482,567.324,366.438,862.891,17,7,142.7762424282688,0,True,False,0,0.0,0,0.0,864691135740320660,0.4827638816989541,0.0,-6.431817555896952,-5.703589953271333,
1122,1088,23.62261111417718,0.3359688872756814,588.096,375.504,873.16,17,7,141.06189865386767,0,True,False,0,0.0,0,0.0,864691135740320660,0.5384458347364821,0.0,-6.003320158063958,-5.384251785171636,
1188,278,96.65448923092748,0.3307462336592122,667.496,424.184,710.4,66,3,127.8739744294036,0,True,False,0,0.0,2,10268.0,864691135740320660,3.0256714690547146,0.8568090787716955,-7.35303600385368,-8.460169043945298,0.0
1191,0,18.760850291175608,2.632715363973709,623.81,431.617,817.096,3,1,18.760850291175608,2,False,True,0,0.0,0,0.0,864691135740320660,15.390310598045794,0.0,-2.4593848009723493,-5.193122930428831,
1192,1191,1.5095813989315012,0.23450000000000001,623.878,430.683,818.28,1,2,20.27043169010711,2,False,True,0,0.0,0,0.0,864691135740320660,2.616409640446015,0.0,-2.7458045430056686,-3.7076075547261884,
1206,1192,21.05141586172182,0.3703993710613178,636.295,427.992,834.368,14,3,41.32184755182893,2,False,True,1,380.0,0,0.0,864691135740320660,1.5563013529660799,0.0,-2.981172160093852,-3.4234842386701647,
1256,1206,74.29947249444668,0.31970748449392816,670.592,439.216,889.32,50,4,115.6213200462756,0,True,False,0,0.0,1,1792.0,864691135740320660,1.7611191114866511,0.14953271028037382,-4.252535552337211,-4.818485018113954,0.0
1319,1192,93.01452222168562,0.3626984572590526,553.261,412.146,863.767,63,3,113.28495391179274,0,True,False,1,5596.0,8,16900.0,864691135740320660,4.165988971582357,1.4102136181575433,-4.508979998236956,-5.9359336938284395,0.028967802049901646
1327,14,10.673807976997603,0.3841245828723682,603.646,433.215,788.388,8,3,36.18711035895393,2,False,True,0,0.0,1,4032.0,864691135740320660,1.4565981234904375,0.3364485981308411,-4.256967532384707,-4.633071196904927,0.0
1378,1327,76.33004803835556,0.29977086964290656,563.328,460.416,742.6,51,4,112.51715839730949,0,True,False,0,0.0,0,0.0,864691135740320660,1.5523870950257064,0.0,-5.6178614373118085,-6.0576552448716185,
1404,267,37.66992791677023,0.3945635571283564,635.435,407.777,828.314,26,2,52.346260712093304,2,False,True,0,0.0,0,0.0,864691135740320660,2.2317941905080256,0.0,-4.680145224752083,-5.482951056465925,
1445,1404,59.895205419759634,0.34460504112116414,610.432,363.6,824.6,41,3,112.24146613185295,0,True,False,0,0.0,1,1988.0,864691135740320660,1.5662125376580383,0.1658878504672897,-5.946510004727042,-6.3951703131746624,0.0
1447,494,1.7406212726993429,0.5255852885452668,660.081,423.878,818.867,2,4,49.5964521726645,2,False,True,0,0.0,0,0.0,864691135740320660,3.6606005332600886,0.0,-3.9409580889898685,-5.238585303069179,
1457,1447,14.75530181618706,0.3438433939852339,670.364,428.711,827.344,10,5,64.35175398885156,2,False,True,0,0.0,4,6028.0,864691135740320660,2.842842214084079,0.503004005340454,-4.305575554295566,-5.350379885629703,0.07002795320426546
1488,1457,46.07624884348175,0.3778881321089028,712.888,429.936,826.92,31,6,110.4280028323333,0,True,False,1,13528.0,3,5912.0,864691135740320660,2.803449893433243,0.493324432576769,-5.367241478569362,-6.398092242129894,0.07002795320426546
1541,792,78.1076318430066,0.3458683022060928,563.336,413.536,742.76,53,3,108.7920082501224,0,True,False,0,0.0,3,6428.0,864691135740320660,2.3691996378055427,0.5363818424566088,-5.484756551062221,-6.347308743606613,0.0
1602,1191,89.66685508682949,0.36909216326552163,548.128,424.92,835.48,61,2,108.4277053780051,0,True,False,0,0.0,0,0.0,864691135740320660,2.24533849585488,0.0,-5.9228917623028146,-6.7317480497948665,
1651,1327,71.9698842920894,0.32598665501403196,644.647,451.412,742.034,49,4,108.15699465104333,0,True,False,0,0.0,2,24236.0,864691135740320660,3.614079533919689,2.022363150867824,-5.391366459926751,-6.676203659026656,0.0
1689,1404,54.703910551050704,0.3201273344253629,644.324,363.547,845.321,38,3,107.05017126314401,0,True,False,0,0.0,1,8048.0,864691135740320660,1.859670826526024,0.671562082777036,-6.00320897597498,-6.62360847305216,0.0
1696,0,20.98793370106094,1.8904923457553091,605.671,449.956,806.378,7,1,20.98793370106094,2,False,True,0,0.0,3,2628.0,864691135740320660,4.317816242508854,0.2192923898531375,-2.4593848009723493,-3.922134576001217,0.008116782275597888
1754,1696,85.86261127043336,0.32415686372894315,535.832,474.76,798.08,58,2,106.8505449714943,0,True,False,0,0.0,1,6612.0,864691135740320660,2.440050348775294,0.55173564753004,-4.868188354775501,-5.760207028611691,0.0
1766,0,27.964765401001166,1.4540305437624272,646.465,438.124,795.887,12,1,27.964765401001166,2,False,True,0,0.0,2,11648.0,864691135740320660,4.901269642226103,0.9719626168224299,-2.4593848009723493,-4.04887908318395,0.0
1817,1766,75.9461658716901,0.32254688616559707,707.968,408.992,786.0,51,2,103.91093127269127,0,True,False,0,0.0,2,5168.0,864691135740320660,2.093175634919475,0.43124165554072097,-4.882167205632641,-5.620849560969724,0.0
1818,0,14.767586126378292,3.1229999999999998,620.0,449.912,789.8,1,1,14.767586126378292,2,False,True,0,0.0,0,0.0,864691135740320660,13.13961098385565,0.0,-2.4593848009723493,-5.035016208100124,
1820,1818,3.0194268659680015,0.28698510333281924,619.243,452.729,790.58,2,2,17.787012992346295,2,False,True,0,0.0,0,0.0,864691135740320660,2.6347905780005427,0.0,-2.876983017903746,-3.845786719698962,
1877,1820,84.5540142225734,0.3236623270545352,666.744,489.552,739.52,57,3,102.34102721491969,0,True,False,2,12792.0,7,19284.0,864691135740320660,4.53326750057781,1.6091455273698265,-4.779536122871932,-6.290979104909019,0.06621803499327053
1920,282,63.54031310653246,0.32161759337831475,674.186,417.655,746.442,43,4,100.77126309985083,0,True,False,1,8396.0,0,0.0,864691135740320660,2.087050790178274,0.0,-5.4619359399795275,-6.197687904231878,
1961,1206,59.118163653914564,0.3227732556497188,665.728,396.88,859.84,41,4,100.4400112057435,0,True,False,0,0.0,2,8028.0,864691135740320660,1.9644870376101937,0.6698931909212283,-4.004882685066352,-4.680113846745966,0.0
