run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues,family
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,16,mnist,dendritic_additive,local_ca,per_soma_shuffled,2,2x2,6,20,standard,shuffled,48,occupancy_quantile,176.0,0.9641000032424928,0.9592499732971193,44,0.1287530500888824,180,1208074,46080,724458496,838860800,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,17,mnist,dendritic_additive,local_ca,per_soma_shuffled,2,2x2,6,20,standard,shuffled,49,occupancy_quantile,176.0,0.964299976825714,0.9632499814033508,48,0.1213685014247894,180,1208074,46080,724458496,838860800,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,18,mnist,dendritic_additive,local_ca,per_soma_shuffled,2,2x2,6,20,standard,shuffled,50,occupancy_quantile,175.0,0.9641000032424928,0.9608333110809326,52,0.1321594667037328,180,1208074,46080,724458496,838860800,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,19,mnist,dendritic_additive,local_ca,per_soma_shuffled,2,2x2,6,20,standard,shuffled,51,occupancy_quantile,177.0,0.9659000039100648,0.9628333449363708,44,0.1248670096397399,180,1208074,46080,724458496,838860800,4842834,23,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,20,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,42,occupancy_quantile,252.0,0.973099946975708,0.9722499847412108,34,0.095598721285661,180,6034186,230400,2461674496,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,21,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,43,occupancy_quantile,251.0,0.9734999537467957,0.9702500104904176,27,0.102955948472023,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,22,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,44,occupancy_quantile,251.0,0.9751999974250792,0.971833348274231,34,0.0950017267763614,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,23,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,45,occupancy_quantile,252.0,0.9718999862670898,0.9731666445732116,37,0.096658570031325,180,6034186,230400,2461674496,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,24,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,46,occupancy_quantile,251.0,0.9718999862670898,0.969249963760376,27,0.1012626592318216,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,25,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,47,occupancy_quantile,264.0,0.9756999611854552,0.9699166417121888,32,0.0933902229468027,180,6034186,230400,2461707264,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,26,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,48,occupancy_quantile,251.0,0.973699986934662,0.96916663646698,32,0.0949862845738728,180,6034186,230400,2462297088,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,27,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,49,occupancy_quantile,249.0,0.973800003528595,0.972083330154419,32,0.0925683089892069,180,6034186,230400,2462034944,3214934016,24154082,39,pass,,routing
prospective_runs/journal_confirmatory_ancestry_routing_mnist_additive_local3f_20260803232858,28,mnist,dendritic_additive,local_ca,per_soma_shared,4,2x2x2x2,30,20,standard,correct,50,occupancy_quantile,260.0,0.973800003528595,0.9724166393280028,34,0.0997588982284069,180,6034186,230400,2461674496,3214934016,24154082,39,pass,,routing
