root_id,inherited_qc_included,n_e_sites,n_i_sites,focus_budget_eligible
864691135060651419,True,128,138,True
864691135196576298,True,21,22,True
864691135277186789,True,95,101,True
864691135324623260,True,34,40,True
864691135409937097,True,70,76,True
864691135739661169,True,32,34,True
864691135810666525,True,116,123,True
864691136043380566,True,55,59,True
