cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
original8,864691135060651419,1,common + ancestry,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,1,common + depth bins,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,1,common + random routes,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,1,common + shuffled routes,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,1,common + surrogate ancestry,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,1,common-constrained SVD,0.2920861360109001,1.677890363273359e-32,1.0,128.0,1.0,1.0,5.551115123125783e-17
original8,864691135060651419,2,common + ancestry,0.3182015023944428,0.0368905988595595,2.0,131.0,0.51171875,1.0,0.0261153663835426
original8,864691135060651419,2,common + depth bins,0.3045694729439738,0.0176339771942452,2.0,191.0,0.74609375,1.0,0.0124833369330737
original8,864691135060651419,2,common + random routes,0.3090609873725105,0.023978696032250196,1.995,133.835,0.52279296875,1.0,0.016974851361610362
original8,864691135060651419,2,common + shuffled routes,0.3000087667698827,0.011191518010875598,2.0,131.0,0.51171875,1.0,0.00792263075898258
original8,864691135060651419,2,common + surrogate ancestry,0.3201616886902612,0.039659560445892514,2.0,163.545,0.63884765625,1.0,0.028075552679361057
original8,864691135060651419,2,common-constrained SVD,0.3641279887202404,0.1017664102570103,2.0,256.0,1.0,1.0,0.0720418527093403
original8,864691135060651419,4,common + ancestry,0.3517670418208683,0.0843053213757755,4.0,133.0,0.259765625,1.0,0.0596809058099682
original8,864691135060651419,4,common + depth bins,0.3353198779822147,0.0610720373912331,4.0,223.0,0.435546875,1.0,0.0432337419713146
original8,864691135060651419,4,common + random routes,0.3374503352730847,0.06408152399581063,3.96,147.295,0.287685546875,1.0,0.04536419926218455
original8,864691135060651419,4,common + shuffled routes,0.31103516100491846,0.026767416147552806,4.0,133.0,0.259765625,1.0,0.018949024994018356
original8,864691135060651419,4,common + surrogate ancestry,0.3487904958186299,0.08010064881085993,4.0,227.885,0.445087890625,1.0,0.056704359807729796
original8,864691135060651419,4,common-constrained SVD,0.4935367608901569,0.2845694019101151,4.0,512.0,1.0,1.0,0.2014506248792568
original8,864691135060651419,8,common + ancestry,0.4738202291723115,0.2567178048150353,8.0,151.0,0.1474609375,1.0,0.1817340931614113
original8,864691135060651419,8,common + depth bins,0.3673970380689207,0.1063842734109528,8.0,239.0,0.2333984375,1.0,0.0753109020580206
original8,864691135060651419,8,common + random routes,0.3951903170048942,0.14564509361774788,7.975,167.45,0.163525390625,1.0,0.1031041809939941
original8,864691135060651419,8,common + shuffled routes,0.33875329258732606,0.06592208310973897,7.965,151.0,0.1474609375,1.0,0.04666715657642592
original8,864691135060651419,8,common + surrogate ancestry,0.39155213506097264,0.14050579330312984,8.0,306.015,0.2988427734375,1.0,0.09946599905007247
original8,864691135060651419,8,common-constrained SVD,0.6232742816017569,0.4678367841598823,8.0,1024.0,1.0,1.0,0.3311881455908568
original8,864691135060651419,16,common + ancestry,0.6351491063331842,0.4846111762653182,16.0,182.0,0.0888671875,1.0,0.3430629703222841
original8,864691135060651419,16,common + depth bins,0.4195571757038157,0.1800657483590099,16.0,247.0,0.12060546875,1.0,0.1274710396929156
original8,864691135060651419,16,common + random routes,0.49802278397135674,0.2909063636640792,15.93,212.355,0.10368896484375,1.0,0.20593664796045658
original8,864691135060651419,16,common + shuffled routes,0.3930205580795058,0.14258008947563117,15.81,182.0,0.0888671875,1.0,0.10093442206860567
original8,864691135060651419,16,common + surrogate ancestry,0.47742773530355365,0.2618137724387148,15.95,362.27,0.1768896484375,1.0,0.18534159929265354
original8,864691135060651419,16,common-constrained SVD,0.7496054619604205,0.6462923658132581,16.0,2048.0,1.0,1.0,0.4575193259495204
original8,864691135196576298,1,common + ancestry,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,1,common + depth bins,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,1,common + random routes,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,1,common + shuffled routes,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,1,common + surrogate ancestry,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,1,common-constrained SVD,0.3452719646012971,3.965931194383249e-33,1.0,21.0,1.0,1.0,2.7755575615628914e-16
original8,864691135196576298,2,common + ancestry,0.5159612315644945,0.2607025478285107,2.0,22.0,0.5238095238095238,1.0,0.1706892669631976
original8,864691135196576298,2,common + depth bins,0.3713084724938096,0.0397669054703869,2.0,31.0,0.7380952380952381,1.0,0.0260365078925128
original8,864691135196576298,2,common + random routes,0.4009500994881309,0.08504009585129196,1.965,24.025,0.5720238095238096,1.0,0.05567813488683404
original8,864691135196576298,2,common + shuffled routes,0.37858423564684573,0.05087955493652073,2.0,22.0,0.5238095238095238,1.0,0.03331227104554886
