scan,target_root_id,partner_index,pre_pt_root_id,recording_id,repeat_reliability,segment_id,path_um
target256456_ses4_scan10_automatic_conservative,864691135810666525,0,864691135720773937,ses4_scan10_field2_unit1686,0.1393588092171175,8680,94.8924722018108
target256456_ses4_scan10_automatic_conservative,864691135810666525,1,864691136389679223,ses4_scan10_field2_unit1650,0.2436715805543628,10176,103.28002863995384
target256456_ses4_scan10_automatic_conservative,864691135810666525,2,864691135662408944,ses4_scan10_field8_unit9657,0.4194694909594007,9723,87.55830204692654
target256456_ses4_scan10_automatic_conservative,864691135810666525,3,864691135739587697,ses4_scan10_field4_unit4913,0.19198988597872238,10052,106.7757753694168
target256456_ses4_scan10_automatic_conservative,864691135810666525,4,864691135456920938,ses4_scan10_field4_unit4530,0.24097132770383087,8900,76.11993603789986
target256456_ses4_scan10_automatic_conservative,864691135810666525,5,864691135135044512,ses4_scan10_field4_unit4308,0.19031057678545868,8971,71.73278046991771
target256456_ses4_scan10_automatic_conservative,864691135810666525,6,864691135463493438,ses4_scan10_field2_unit1639,0.08559229044415818,10368,96.37938425230952
target256456_ses4_scan10_automatic_conservative,864691135810666525,7,864691135892048777,ses4_scan10_field2_unit1722,0.03859071609178951,9105,144.46371659089817
target256456_ses4_scan10_automatic_conservative,864691135810666525,8,864691135912195497,ses4_scan10_field4_unit4652,-0.09791517580268116,9358,133.76936381425276
target256456_ses6_scan4_automatic_conservative,864691135810666525,0,864691136033227451,ses6_scan4_field4_unit4391,0.20597776823624825,8781,61.43086351021584
target256456_ses6_scan4_automatic_conservative,864691135810666525,1,864691135839950227,ses6_scan4_field2_unit2014,0.07941415008825914,9964,107.83768858022748
target256456_ses6_scan4_automatic_conservative,864691135810666525,2,864691135892048777,ses6_scan4_field2_unit1862,0.2798244358570679,9105,144.46371659089817
target256456_ses6_scan4_automatic_conservative,864691135810666525,3,864691135212576960,ses6_scan4_field6_unit6859,0.2512952626305997,9584,122.67726511457316
target256456_ses6_scan4_automatic_conservative,864691135810666525,4,864691135503287618,ses6_scan4_field4_unit5108,0.13390582510376411,8471,104.6946901856247
target256456_ses6_scan4_automatic_conservative,864691135810666525,5,864691135387753601,ses6_scan4_field8_unit8721,0.05938647965268832,9266,137.85891657202896
target256456_ses6_scan6_automatic_conservative,864691135810666525,0,864691135456920938,ses6_scan6_field4_unit4464,0.0549115023138209,8900,76.11993603789986
target256456_ses6_scan6_automatic_conservative,864691135810666525,1,864691135662408944,ses6_scan6_field8_unit8369,0.1995992557606984,9723,87.55830204692654
target256456_ses6_scan6_automatic_conservative,864691135810666525,2,864691135502842205,ses6_scan6_field8_unit8542,0.14871427889890748,9696,120.43128431032504
target256456_ses6_scan6_automatic_conservative,864691135810666525,3,864691135463493438,ses6_scan6_field2_unit1421,0.26442440723247934,10368,96.37938425230952
target256456_ses6_scan6_automatic_conservative,864691135810666525,4,864691136034433723,ses6_scan6_field4_unit4067,0.15354706359429415,8325,212.5093482464413
target256456_ses6_scan6_automatic_conservative,864691135810666525,5,864691136389679223,ses6_scan6_field2_unit2060,0.03674443013215018,10176,103.28002863995384
target256456_ses6_scan6_automatic_conservative,864691135810666525,6,864691136197033548,ses6_scan6_field2_unit1458,0.21771862029483324,10391,94.47345187790248
target256456_ses6_scan6_automatic_conservative,864691135810666525,7,864691135892048777,ses6_scan6_field2_unit1682,0.13723104813701634,9105,144.46371659089817
target256456_ses6_scan6_automatic_conservative,864691135810666525,8,864691135720773937,ses6_scan6_field2_unit1461,0.2311912599589714,8680,94.8924722018108
target256456_ses6_scan6_automatic_conservative,864691135810666525,9,864691136446104451,ses6_scan6_field2_unit1457,0.2886694337102237,10391,94.47345187790248
target256456_ses7_scan4_automatic_conservative,864691135810666525,0,864691136524348561,ses7_scan4_field8_unit12427,0.29084490243786076,9964,107.83768858022748
target256456_ses7_scan4_automatic_conservative,864691135810666525,1,864691136275334078,ses7_scan4_field2_unit2244,0.15278374123371977,9584,122.67726511457316
target256456_ses7_scan4_automatic_conservative,864691135810666525,2,864691136380816597,ses7_scan4_field6_unit9000,0.3240637374171079,9389,131.931739537483
target256456_ses7_scan4_automatic_conservative,864691135810666525,3,864691135738969220,ses7_scan4_field2_unit2197,0.12102953103382473,10596,31.69192876748972
target256456_ses7_scan4_automatic_conservative,864691135810666525,4,864691135295414796,ses7_scan4_field4_unit5940,0.08709508134153904,9916,109.40297113502452
target256456_ses7_scan4_automatic_conservative,864691135810666525,5,864691136335276211,ses7_scan4_field6_unit9030,0.12813319975192022,9179,142.6593677166857
target256456_ses7_scan4_automatic_conservative,864691135810666525,6,864691135464671550,ses7_scan4_field2_unit2678,0.10799103096226324,8589,178.78822403380167
target256456_ses7_scan4_automatic_conservative,864691135810666525,7,864691135469339474,ses7_scan4_field2_unit2153,0.05751156910452745,10586,77.14315201226943
target256456_ses7_scan4_automatic_conservative,864691135810666525,8,864691135839950227,ses7_scan4_field2_unit2757,0.14848051142598157,9964,107.83768858022748
target256456_ses7_scan4_automatic_conservative,864691135810666525,9,864691136034487739,ses7_scan4_field2_unit2279,0.1842946424311817,9105,144.46371659089817
target256456_ses7_scan4_automatic_conservative,864691135810666525,10,864691135591111179,ses7_scan4_field2_unit2340,0.21126854634797956,10235,98.80638971404564
target256550_ses5_scan6_automatic_conservative,864691135060651419,0,864691135336055529,ses5_scan6_field4_unit5132,0.3545632364868088,7959,111.1351917536694
target256550_ses5_scan6_automatic_conservative,864691135060651419,1,864691135469501522,ses5_scan6_field2_unit1852,0.22146367062640138,7787,111.92806395486006
target256550_ses5_scan6_automatic_conservative,864691135060651419,2,864691135641008443,ses5_scan6_field2_unit1944,0.21560517150899292,6679,134.75541664152215
target256550_ses5_scan6_automatic_conservative,864691135060651419,3,864691135774179147,ses5_scan6_field2_unit1917,0.33299460903582845,7558,116.15718175902497
target256550_ses5_scan6_automatic_conservative,864691135060651419,4,864691136312150874,ses5_scan6_field2_unit2218,0.3524879538189971,6507,45.09888611901749
target256550_ses5_scan6_automatic_conservative,864691135060651419,5,864691135694415551,ses5_scan6_field4_unit4778,0.24095701540957012,7910,111.20443930092284
target256550_ses5_scan6_automatic_conservative,864691135060651419,6,864691136904656818,ses5_scan6_field2_unit1859,0.40415533610037685,7070,127.05247050849589
target256550_ses5_scan6_automatic_conservative,864691135060651419,7,864691136005322698,ses5_scan6_field2_unit1885,0.3418586899479987,6618,17.096535180380066
target256550_ses5_scan6_automatic_conservative,864691135060651419,8,864691136108586969,ses5_scan6_field2_unit1888,0.3048041601068651,6853,130.00528151888597
target256550_ses5_scan6_automatic_conservative,864691135060651419,9,864691135997141418,ses5_scan6_field2_unit2640,0.26127570249510995,6498,151.51979311870122
target256550_ses5_scan7_automatic_conservative,864691135060651419,0,864691135698428826,ses5_scan7_field4_unit5175,0.2456466771623491,6764,131.3390328227532
target256550_ses5_scan7_automatic_conservative,864691135060651419,1,864691135595986219,ses5_scan7_field2_unit1899,0.3627975764515051,6886,73.02478650189465
target256550_ses5_scan7_automatic_conservative,864691135060651419,2,864691136425794351,ses5_scan7_field2_unit1900,0.3535041267115118,7959,111.1351917536694
target256550_ses5_scan7_automatic_conservative,864691135060651419,3,864691135853034439,ses5_scan7_field2_unit1928,0.20075378083106718,7300,121.56490955714062
target256550_ses5_scan7_automatic_conservative,864691135060651419,4,864691135742189460,ses5_scan7_field8_unit8540,0.17066933829492864,8058,109.6091252019804
