condition,feedback,seed,config_index,validation_accuracy,test_accuracy,n_epochs_recorded,best_epoch,best_validation_loss,final10_validation_slope,right_censored,active_group_learning_rates,sparse_active_weight_maintenance_rate,adam_weight_decay,calibration_converged,calibration_reverted,pairing_projection_sha256,calibration_signature_sha256,generated_config_sha256,resolved_config_sha256,result_sha256,checkpoint_sha256,training_summary_sha256,calibration_sha256
cifar10_shunting_matched_bp_confirmatory,backpropagation,22000,60,0.48739999532699585,0.48989999294281006,149,99,1.4694136590957643,-0.002043468323909896,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,d060f78eb49fc0ed091a4e75a0c105cf2f3050a29fa9a00b4a551bfb945a27e1,ed71bfe0d8b612ce2fb61b74ddd2c57effdfb37d5500297b6de098ee940f8621,c1f022d94a3ed634fd6f25ea60f5d6ea02a9ed5a321592949e095ae7a3d01e10,3683a2b63a89c843e03971bc5cefa872ef1c5284989ecbe65c46ac7e7367010a,6bfbf7dbb6d22507d0fab1d32039f9f06af3ef96e3ebd1c7cb82b5bb11ee6b82,22d44c322d643cce61ce496b3939db38a746feb44b1127e0b99c5f7775a60a34,ff64a289c73bb486cc8ab73244930733b5f58d9d57ef84a4fa2f9bd54359cf59,26154b09c9adf56a29ff61e3caf41fc15a218fad96b09eaec7ed6dbda58c6da1
cifar10_shunting_exact_path_confirmatory,exact path,22000,40,0.4819999933242798,0.4910999834537506,154,104,1.4751467058181762,0.0015330008084846593,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,d060f78eb49fc0ed091a4e75a0c105cf2f3050a29fa9a00b4a551bfb945a27e1,ed71bfe0d8b612ce2fb61b74ddd2c57effdfb37d5500297b6de098ee940f8621,471b36adcb3bf99de3905565e27364b4f5887084380839a58a785278140b53f7,5be3e224e64c2a3ecf7e32dda13ccceee0aa58c22cbf4c0dc95abb632accd948,1ebee54a4563c0f54b75c90afff251499ae73637580445d73569dd9db9a9455b,308b4ef99e7f8fab1c0d230f9338e55bda72daf95cc97bccbe7cee84044be0ec,01112d037cebec80b7a8418245323c7115ad11877cca32d50deb7b7f49c2ab62,26154b09c9adf56a29ff61e3caf41fc15a218fad96b09eaec7ed6dbda58c6da1
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22000,20,0.49539998173713684,0.5012999773025513,217,167,1.440652123069763,0.0006134279574770112,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,d060f78eb49fc0ed091a4e75a0c105cf2f3050a29fa9a00b4a551bfb945a27e1,ed71bfe0d8b612ce2fb61b74ddd2c57effdfb37d5500297b6de098ee940f8621,ad4fa5ff3460013f0cbf197a5fd9c13d06a4b6e24edb3c8db4024482b01d214d,069ba916688a3ad409049558f9f5c4c2bb3c48c6b666acc04614ef096621c596,2f5cb316b3fa4b50d96ef3edd9ab446fb769101a346cd1cfbacfeba1ae08b614,ce6949c89bb042de7e26100786ff657efda93cca6867232434e961925ff3a805,c0425a3febeadb75aa3c2768cf0676fbc7d7787f352c7d33a6bff088b7250403,26154b09c9adf56a29ff61e3caf41fc15a218fad96b09eaec7ed6dbda58c6da1
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22000,0,0.31039997935295105,0.3199000060558319,131,81,1.8633075559616088,-0.0016648188827976783,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,d060f78eb49fc0ed091a4e75a0c105cf2f3050a29fa9a00b4a551bfb945a27e1,ed71bfe0d8b612ce2fb61b74ddd2c57effdfb37d5500297b6de098ee940f8621,eca4fb3fd139a635794c7acc0e114ee864e5778dd3c5a23abbdade2d1edbc3ea,bf0ba65029f463f32050e512322e7b122b9464cc948400a739c1ffc7e83090aa,b557a4398c35d3daef52315881b935280b9352155ad534deabdba397ffe8075d,343ce92e20cd48bf5ace0cea84d5dc190dee13e2ac24858b47d363a68c286db8,d1b29c33a25e90da15f0fa396008f1c4af9af58c3b4cb57131dcb52ea067e7ab,26154b09c9adf56a29ff61e3caf41fc15a218fad96b09eaec7ed6dbda58c6da1
cifar10_shunting_matched_bp_confirmatory,backpropagation,22001,61,0.47119998931884766,0.482699990272522,122,72,1.4822344242095948,0.0006146199810143446,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,0a0e1f1420252796442abb1d3621dc2c169daf17813fe5b95f307b8f0020457c,8ad81eafc9b96e58824836c14296d6fb74f46478da6cacb1f35b68ea8df68b15,6e0c49100eef746a71d990720caac1375160d9fa7d2abd317340abe31f471a8b,94840d85df25fad426ff5bb68c167ddf945073605fb1770132a74c2199f5ada8,26aba17d2079bf2b4b685379c7232b3ad403186822b01fc9df650e21c3ea472f,4dc081e487152106310024d5b4c1d4ea8138939dca00c3b3ef60a16ba4021d65,c5a94bf9f295b6218841cb5b7becf33be3fcbc9e4d922248d11a8ec4ac570fdb,09a9866c959a7d04a6deafde3d76e116468b40477827d2851262efb88f273203
cifar10_shunting_exact_path_confirmatory,exact path,22001,41,0.48799997568130493,0.49619999527931213,166,116,1.4609486209869385,-0.0010813424751974757,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,0a0e1f1420252796442abb1d3621dc2c169daf17813fe5b95f307b8f0020457c,8ad81eafc9b96e58824836c14296d6fb74f46478da6cacb1f35b68ea8df68b15,2b7d6688a2e7a84160ed96c6ceae1bc5cecc91c9deed8bc7b8ddb46be1be6c5f,305be1304a43e420eceaa05076d206ec9fde90535b2c68e716b457a961607197,d92c00292bd27c3c9946e79a77ccce73a80479960ebbbb2a50c616ec9a7d5d86,c631fdff7e19ebf380c342f6d3212b8012f6a4d42e9ad661176866cd30ce94cf,2bb2516d4085f3bc99f0baab81e34be63c3568743d17d99db92acebcc15fb605,09a9866c959a7d04a6deafde3d76e116468b40477827d2851262efb88f273203
cifar10_shunting_neuron_specific_confirmatory,neuron specific,22001,21,0.48240000009536743,0.49059998989105225,238,188,1.4747387443542481,0.00012412531881619032,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,0a0e1f1420252796442abb1d3621dc2c169daf17813fe5b95f307b8f0020457c,8ad81eafc9b96e58824836c14296d6fb74f46478da6cacb1f35b68ea8df68b15,27f281bdc53548490c82aeb7fb1bf64706fc00cecd9edfceb13a5b191e55deeb,aabefdc854c98ba89a987b6113e76b067bac2a37ab2f3c9475a7e0fdfcc6c147,7ca7dd53815865024815c9c07b36935f31e7855b716224dd585a1c42194b5c92,43b6a76d9d560ea324bf9ef1f8aeafd7c0958ab257ce4cce993034ac862822ac,9a8686a934b87be516fa890d28967d71885f7226f703ab915e1ddb28cf3c5532,09a9866c959a7d04a6deafde3d76e116468b40477827d2851262efb88f273203
cifar10_shunting_strict_scalar_confirmatory,strict scalar,22001,1,0.3659999966621399,0.3726999759674072,400,373,1.7144081661224366,0.00026978760228023877,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,0a0e1f1420252796442abb1d3621dc2c169daf17813fe5b95f307b8f0020457c,8ad81eafc9b96e58824836c14296d6fb74f46478da6cacb1f35b68ea8df68b15,0e340d94436c4d6bfc01fa92199d0be378930b31cd4a3fed028e5819ce0b8711,8b137c999db8c4c97944aa130c6633fef818a1a743dc0e4d9593a74fd64c4498,b36e64a8954d47cd8473ce72062eabbf9a971fac427b290540dafc2ad3688460,523fa6fdd1d35e97f2ffc46e2b2cf76363e7c662f4b5314b1fe96cbfc45260d6,c6ed61499ee316fbb3fd92def776e33680ce638aaa14050e199f16762e8ba6cd,09a9866c959a7d04a6deafde3d76e116468b40477827d2851262efb88f273203
cifar10_shunting_matched_bp_confirmatory,backpropagation,22002,62,0.48420000076293945,0.4916999936103821,142,92,1.4786536653518676,0.0006024158431544237,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,5048b8cd4ce72a1e32376b9e7ff6ff42e40b3205c7787fc468ffc4dbbf3730ed,9f0c9862bfc9dcbcbbd8090b15207dfd9c2e23f6cacc16e3af8d2c1d0f5a9dfa,0f18fca2707b18f98b3a481315ca580d04d63ffd0c93bb4c98c45d43444fafc9,c336bddb7fddd89ec4642c13c4e45657f9e9c08799b3d12b8e6f3729b27b8b0d,bfb5a28fd73905cc94905585c76d84b63cbe47ea6e064d9177317f17ddd4cd3d,2f2198d63e9aef480cf126816e265c4dd2322aff7b535dc9f6fde0eff548f69e,774729ab24e11c19ebb92ba7ddec449db7782a54b6e7451d86371d91dfb61b21,bf4d2f91cc076c816757b2420c72a808d1d915296fe9b2aba506986ae0170870
cifar10_shunting_exact_path_confirmatory,exact path,22002,42,0.4843999743461609,0.491599977016449,147,97,1.4842104063034058,0.0016582301434603943,False,"{""blocklinear"": 0.0001, ""decoder"": 0.001, ""reactivation"": 0.0001, ""topk"": 0.001}",0,0.0,True,False,5048b8cd4ce72a1e32376b9e7ff6ff42e40b3205c7787fc468ffc4dbbf3730ed,9f0c9862bfc9dcbcbbd8090b15207dfd9c2e23f6cacc16e3af8d2c1d0f5a9dfa,c3786e032792077142cf570bcff101db3d83e49757e72f8537d494fa9746dd59,bc2a2f6486d5a83b5ceb8cfc03b8aaff8daa7640df3d10c5ca79ed1b425841d7,e1d6e8ff71909b9570c082e6d6aeced2b3a186d5e199f76de8048dbe5d5b754e,dec8b2614495d68671bfb0bef98cd0dde1f90795be68cf256ab8ad2808d44ed6,42ac41a080bd0a1528beffbe3a45b553183784f5497b2757f0f1a09ffccd234a,bf4d2f91cc076c816757b2420c72a808d1d915296fe9b2aba506986ae0170870
