dataset,network_type,x_metric,y_metric,pearson_r,n_runs
mnist,dendritic_additive,path_gain_cv_mean,per_soma_weighted_cosine,-0.4068153969646207,25
mnist,dendritic_additive,path_gain_cv_mean,path_transport_weighted_cosine,-0.9330503676413946,25
mnist,dendritic_additive,per_soma_weighted_cosine,test_accuracy,-0.3948031352264779,25
mnist,dendritic_additive,path_transport_weighted_cosine,test_accuracy,-0.9334155101115993,25
mnist,dendritic_additive,path_factor_scalar_weighted_scale_mismatch,test_accuracy,-0.47769307565781877,25
mnist,dendritic_shunting,path_gain_cv_mean,per_soma_weighted_cosine,0.2162904154799149,25
mnist,dendritic_shunting,path_gain_cv_mean,path_transport_weighted_cosine,-0.3534762068303864,25
mnist,dendritic_shunting,per_soma_weighted_cosine,test_accuracy,0.7361762259069509,25
mnist,dendritic_shunting,path_transport_weighted_cosine,test_accuracy,0.02587023812565034,25
mnist,dendritic_shunting,path_factor_scalar_weighted_scale_mismatch,test_accuracy,0.7184500805871861,25
noise_resilience,dendritic_additive,path_gain_cv_mean,per_soma_weighted_cosine,-0.6701564056203242,25
noise_resilience,dendritic_additive,path_gain_cv_mean,path_transport_weighted_cosine,-0.9614544526396278,25
noise_resilience,dendritic_additive,per_soma_weighted_cosine,test_accuracy,-0.4621016800744642,25
noise_resilience,dendritic_additive,path_transport_weighted_cosine,test_accuracy,-0.6861938734880891,25
noise_resilience,dendritic_additive,path_factor_scalar_weighted_scale_mismatch,test_accuracy,0.08554384772366301,25
noise_resilience,dendritic_shunting,path_gain_cv_mean,per_soma_weighted_cosine,0.43056928111731513,25
noise_resilience,dendritic_shunting,path_gain_cv_mean,path_transport_weighted_cosine,-0.46320000666097777,25
noise_resilience,dendritic_shunting,per_soma_weighted_cosine,test_accuracy,0.8766757674480564,25
noise_resilience,dendritic_shunting,path_transport_weighted_cosine,test_accuracy,-0.9213380062220342,25
noise_resilience,dendritic_shunting,path_factor_scalar_weighted_scale_mismatch,test_accuracy,0.8544792369958195,25
