seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps
2101,aligned_strong,fresh,4096,sgd,calibrated_broadcast,0.3,True,True,0.0006584803952350489,0.0006591030893894454,0,0
2101,aligned_strong,fresh,4096,sgd,ancestry_three_oracle,0.3,True,True,0.0003809407901207318,0.0003768782587374682,0,0
2101,opposed_strong,fresh,0,adam,exact,0.03,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,adam,unit_broadcast,0.03,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,adam,calibrated_broadcast,0.03,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,adam,ancestry_three_oracle,0.03,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,sgd,exact,0.3,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,sgd,unit_broadcast,0.3,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,sgd,calibrated_broadcast,0.3,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,0,sgd,ancestry_three_oracle,0.3,True,True,1.0757724534142932,1.0537063356033565,0,0
2101,opposed_strong,fresh,64,adam,exact,0.03,True,True,0.015454785317994709,0.015356990118590697,0,0
2101,opposed_strong,fresh,64,adam,unit_broadcast,0.03,True,True,0.8861664819967182,0.8759831956417351,0,0
2101,opposed_strong,fresh,64,adam,calibrated_broadcast,0.03,True,True,0.8861664751129517,0.8759831856059026,0,0
2101,opposed_strong,fresh,64,adam,ancestry_three_oracle,0.03,True,True,0.01536037289507447,0.015259600389109852,0,0
2101,opposed_strong,fresh,64,sgd,exact,0.3,True,True,0.09384769046873383,0.09393297430908233,0,0
2101,opposed_strong,fresh,64,sgd,unit_broadcast,0.3,True,True,0.8740059872044482,0.8674691991560023,0,0
2101,opposed_strong,fresh,64,sgd,calibrated_broadcast,0.3,True,True,0.8435762386699851,0.8369164857633569,0,0
2101,opposed_strong,fresh,64,sgd,ancestry_three_oracle,0.3,True,True,0.09374264371200006,0.09372091193644304,0,0
2101,opposed_strong,fresh,256,adam,exact,0.03,True,True,0.0003309270890322951,0.0003128788890642513,0,0
2101,opposed_strong,fresh,256,adam,unit_broadcast,0.03,True,True,0.901644016419297,0.8958749532771425,0,0
2101,opposed_strong,fresh,256,adam,calibrated_broadcast,0.03,True,True,0.9016423265636082,0.8958733977194249,0,0
2101,opposed_strong,fresh,256,adam,ancestry_three_oracle,0.03,True,True,0.00031747296462166104,0.000299681542019505,0,0
2101,opposed_strong,fresh,256,sgd,exact,0.3,True,True,0.005247723580766316,0.005185293779995931,0,0
2101,opposed_strong,fresh,256,sgd,unit_broadcast,0.3,True,True,0.957334586516414,0.9481068860824565,0,0
2101,opposed_strong,fresh,256,sgd,calibrated_broadcast,0.3,True,True,0.8534729507619585,0.8448655852005745,0,0
2101,opposed_strong,fresh,256,sgd,ancestry_three_oracle,0.3,True,True,0.0056577519727596315,0.005574898487823972,0,0
2101,opposed_strong,fresh,1024,adam,exact,0.03,True,True,0.00013167105251568866,0.00012380456124852686,0,0
2101,opposed_strong,fresh,1024,adam,unit_broadcast,0.03,True,True,0.8283189782728008,0.8299466942190781,0,110
2101,opposed_strong,fresh,1024,adam,calibrated_broadcast,0.03,True,True,0.8283187132912261,0.8299463302828569,0,110
2101,opposed_strong,fresh,1024,adam,ancestry_three_oracle,0.03,True,True,0.00010497959821230094,0.00010194578907376134,0,0
2101,opposed_strong,fresh,1024,sgd,exact,0.3,True,True,0.00024861078249767985,0.00022830429509387235,0,0
2101,opposed_strong,fresh,1024,sgd,unit_broadcast,0.3,True,True,0.9872028482683461,0.9808718287336348,0,0
2101,opposed_strong,fresh,1024,sgd,calibrated_broadcast,0.3,True,True,0.8768927522279687,0.8690477269747039,0,0
2101,opposed_strong,fresh,1024,sgd,ancestry_three_oracle,0.3,True,True,0.00023591960818942248,0.00021699160791496285,0,0
2101,opposed_strong,fresh,2048,adam,exact,0.03,True,True,4.596224926049639e-05,4.449656099119692e-05,0,0
2101,opposed_strong,fresh,2048,adam,unit_broadcast,0.03,True,True,0.7905552620149338,0.7842227162777192,0,1052
2101,opposed_strong,fresh,2048,adam,calibrated_broadcast,0.03,True,True,0.7905549167737767,0.7842225509244358,0,1052
2101,opposed_strong,fresh,2048,adam,ancestry_three_oracle,0.03,True,True,4.6270641302111955e-05,4.4708171656409315e-05,0,0
2101,opposed_strong,fresh,2048,sgd,exact,0.3,True,True,0.0002271153292910829,0.00021057620324231452,0,0
