seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
2102,aligned_strong,fresh,adam,exact,0.03,True,True,4096,2.8533545746393924e-06,3.0269718092083376e-06,0.995601861658405,0.8938117046328589,1.234300747639128,0.5542449381035588,0.8873366507713784,0.9956259572711038,0.8966495882999382,1.2275032535822634,0.5559179486272833,0.8847028815126323,0.7538455670040407,0.7661572559516598
2102,aligned_strong,fresh,adam,unit_broadcast,0.03,True,True,4096,0.0013610856470841935,0.0013885556571216185,0.8899664914342245,0.9495026669261405,1.106065859106529,0.6357619590250094,0.8189629800443183,0.9000340537182752,0.9488894348251744,1.107415481823045,0.622223185009871,0.8244520827023235,0.7737890611147207,0.7485600002362999
2102,aligned_strong,fresh,adam,calibrated_broadcast,0.03,True,True,4096,0.001361086349978892,0.0013885575186452592,0.8899661625318774,0.9495025569846286,1.106066100939765,0.6357620060288355,0.8189629615808569,0.9000355135517498,0.9488893338203365,1.107415704237378,0.6222208139137666,0.8244530352003138,0.7737910294953034,0.7485586903856964
2102,aligned_strong,fresh,adam,ancestry_three_oracle,0.03,True,True,4096,7.753030247659019e-06,8.414091371706499e-06,0.9962015502494584,0.8939271725547505,1.2340236593931613,0.5537463777079619,0.8882336795215616,0.9961887796525828,0.8940138610081655,1.2338156615970186,0.5525595438554662,0.889858202464216,0.7590654830220984,0.8204149412646318
2102,aligned_strong,fresh,sgd,exact,0.3,True,True,4096,8.493304095844858e-05,9.11771583191267e-05,0.9947041768266465,0.8957191187301232,1.2297290814797854,0.5540127252113228,0.8869260931384271,0.9946615829228487,0.8971978100029073,1.2261931525636196,0.5525549561971187,0.8916138097083222,0.7650482661751707,0.7891824642888208
2102,aligned_strong,fresh,sgd,unit_broadcast,0.3,True,True,4096,0.002616474702013944,0.002742075311341912,0.9943840015204735,0.902063148576907,1.2146099834776083,0.5607970918902909,0.8954672246911538,0.9943712617679821,0.9018807858791261,1.2150427166213909,0.5592835799852792,0.8957800337691084,0.7793943583873689,0.7662053304712886
2102,aligned_strong,fresh,sgd,calibrated_broadcast,0.3,True,True,4096,0.0037393076058233536,0.003929622441810244,0.9948099803616921,0.9059255647123035,1.2054712073036233,0.5658506453048752,0.8993104313106309,0.994813422570664,0.906065917064808,1.2051400795848264,0.5662805885338219,0.8992625848231683,0.7917336746540432,0.7898662767466934
2102,aligned_strong,fresh,sgd,ancestry_three_oracle,0.3,True,True,4096,8.179862697321056e-05,8.815325189250362e-05,0.9959822953086886,0.8960145315226333,1.2290221008195186,0.555441272242562,0.8896315435786526,0.9959594284458534,0.8969650240492522,1.226749327022185,0.553689793186781,0.8926278166930475,0.7680781888306802,0.788761763428067
2102,opposed_strong,fresh,adam,exact,0.03,True,True,4096,2.2343136932054724e-05,2.4209604084269404e-05,0.974193871378264,0.8789997605766856,1.2701934770978824,0.5144868637148403,0.831365603278029,0.9756408629554694,0.9207598215443252,1.1708537207582808,0.5088035950080773,0.798396149856345,0.6187022375869353,0.5588012221665266
2102,opposed_strong,fresh,adam,unit_broadcast,0.03,True,True,4096,0.45242835633871237,0.46074052436678514,0.7785702697434549,0.8415885133088588,1.3635766919414651,0.4952263936613787,0.6322659783302476,0.778571779565602,0.841588223514445,1.3635774281696635,0.49522639002518676,0.6322673635944566,0.1859431824412371,0.27737049278062154
2102,opposed_strong,fresh,adam,calibrated_broadcast,0.03,True,True,4096,0.4524276119635105,0.46074004804057767,0.7785711044526356,0.8415884413888096,1.363576874655696,0.49522658503900013,0.632266527668428,0.7785723246351146,0.8415882071880185,1.3635774696472638,0.49522658210053155,0.632267647187144,0.1859446242803282,0.27737122044703943
2102,opposed_strong,fresh,adam,ancestry_three_oracle,0.03,True,True,4096,2.3382350994278168e-05,2.538818046925426e-05,0.9739268137800052,0.8789322518203728,1.270358603517666,0.5138251884069244,0.831046997249839,0.9752947215968626,0.9166352440067264,1.1804008326597009,0.5084476880473223,0.8001625483234803,0.6193589492058471,0.5637649748407474
2102,opposed_strong,fresh,sgd,exact,0.3,True,True,4096,0.0001243448333926035,0.00013394496809415724,0.9807300552232878,0.874660093001467,1.2808355218810794,0.5169031083283295,0.8417611187147661,0.9815382579347419,0.9106102726334585,1.1944554448706988,0.5153580996821737,0.8175579435616049,0.615116677868948,0.5714488693034463
