JobID|JobName|State|ElapsedRaw|TotalCPU|MaxRSS|AllocCPUS
44636894_0|morph-dynamics|COMPLETED|53|00:31.775||1
44636894_0.batch|batch|COMPLETED|53|00:31.775|124476K|1
44636894_0.extern|extern|COMPLETED|53|00:00:00||1
44636894_1|morph-dynamics|COMPLETED|37|00:29.243||1
44636894_1.batch|batch|COMPLETED|37|00:29.243|124472K|1
44636894_1.extern|extern|COMPLETED|37|00:00:00||1
44636894_2|morph-dynamics|COMPLETED|34|00:28.846||1
44636894_2.batch|batch|COMPLETED|34|00:28.846|123176K|1
44636894_2.extern|extern|COMPLETED|34|00:00:00||1
44636894_3|morph-dynamics|COMPLETED|50|00:30.768||1
44636894_3.batch|batch|COMPLETED|50|00:30.768|128416K|1
44636894_3.extern|extern|COMPLETED|50|00:00:00||1
44636894_4|morph-dynamics|COMPLETED|33|00:28.913||1
44636894_4.batch|batch|COMPLETED|33|00:28.913|125068K|1
44636894_4.extern|extern|COMPLETED|33|00:00:00||1
44637438_0|morph-dynamics|COMPLETED|26|00:19.826||1
44637438_0.batch|batch|COMPLETED|26|00:19.826|116K|1
44637438_0.extern|extern|COMPLETED|27|00:00:00||1
44637438_1|morph-dynamics|COMPLETED|28|00:20.944||1
44637438_1.batch|batch|COMPLETED|28|00:20.944|112K|1
44637438_1.extern|extern|COMPLETED|28|00:00:00||1
44637438_2|morph-dynamics|COMPLETED|27|00:17.576||1
44637438_2.batch|batch|COMPLETED|27|00:17.576|112K|1
44637438_2.extern|extern|COMPLETED|27|00:00:00||1
44637438_3|morph-dynamics|COMPLETED|41|00:20.861||1
44637438_3.batch|batch|COMPLETED|41|00:20.861|123012K|1
44637438_3.extern|extern|COMPLETED|41|00:00:00||1
44637438_4|morph-dynamics|COMPLETED|23|00:19.717||1
44637438_4.batch|batch|COMPLETED|23|00:19.717|112K|1
44637438_4.extern|extern|COMPLETED|23|00:00:00||1
44637438_5|morph-dynamics|COMPLETED|26|00:20.564||1
44637438_5.batch|batch|COMPLETED|26|00:20.564|112K|1
44637438_5.extern|extern|COMPLETED|26|00:00:00||1
44637438_6|morph-dynamics|COMPLETED|26|00:20.550||1
44637438_6.batch|batch|COMPLETED|26|00:20.550|112K|1
44637438_6.extern|extern|COMPLETED|26|00:00:00||1
44637438_7|morph-dynamics|COMPLETED|41|00:21.381||1
44637438_7.batch|batch|COMPLETED|41|00:21.381|122832K|1
44637438_7.extern|extern|COMPLETED|41|00:00:00||1
44637438_8|morph-dynamics|COMPLETED|22|00:19.664||1
44637438_8.batch|batch|COMPLETED|22|00:19.664|112K|1
44637438_8.extern|extern|COMPLETED|23|00:00:00||1
44637438_9|morph-dynamics|COMPLETED|26|00:20.911||1
44637438_9.batch|batch|COMPLETED|26|00:20.911|112K|1
44637438_9.extern|extern|COMPLETED|26|00:00:00||1
44637438_10|morph-dynamics|COMPLETED|23|00:17.374||1
44637438_10.batch|batch|COMPLETED|23|00:17.374|100K|1
44637438_10.extern|extern|COMPLETED|23|00:00:00||1
44637438_11|morph-dynamics|COMPLETED|25|00:19.803||1
44637438_11.batch|batch|COMPLETED|25|00:19.803|112K|1
44637438_11.extern|extern|COMPLETED|25|00:00:00||1
44637438_12|morph-dynamics|COMPLETED|25|00:17.295||1
44637438_12.batch|batch|COMPLETED|25|00:17.295|112K|1
44637438_12.extern|extern|COMPLETED|25|00:00:00||1
44637438_13|morph-dynamics|COMPLETED|28|00:20.453||1
44637438_13.batch|batch|COMPLETED|28|00:20.453|112K|1
44637438_13.extern|extern|COMPLETED|28|00:00:00||1
44637438_14|morph-dynamics|COMPLETED|28|00:20.278||1
44637438_14.batch|batch|COMPLETED|28|00:20.278|112K|1
44637438_14.extern|extern|COMPLETED|28|00:00:00||1
44637438_15|morph-dynamics|COMPLETED|23|00:19.740||1
44637438_15.batch|batch|COMPLETED|23|00:19.740|112K|1
44637438_15.extern|extern|COMPLETED|23|00:00:00||1
44637438_16|morph-dynamics|COMPLETED|23|00:17.140||1
44637438_16.batch|batch|COMPLETED|23|00:17.140|112K|1
44637438_16.extern|extern|COMPLETED|23|00:00:00||1
44637438_17|morph-dynamics|COMPLETED|24|00:20.538||1
44637438_17.batch|batch|COMPLETED|24|00:20.538|100K|1
44637438_17.extern|extern|COMPLETED|24|00:00:00||1
44637438_18|morph-dynamics|COMPLETED|42|00:19.819||1
44637438_18.batch|batch|COMPLETED|42|00:19.819|120904K|1
44637438_18.extern|extern|COMPLETED|42|00:00:00||1
44637438_19|morph-dynamics|COMPLETED|23|00:19.735||1
44637438_19.batch|batch|COMPLETED|23|00:19.735|112K|1
44637438_19.extern|extern|COMPLETED|23|00:00:00||1
44638030|morph-dynamics-summary|COMPLETED|93|01:10.593||1
44638030.batch|batch|COMPLETED|93|01:10.593|389148K|1
44638030.extern|extern|COMPLETED|93|00:00:00||1
