root_id,ancestry_capture,surrogate_mean,n_surrogates,fraction_surrogates_match_or_exceed,fraction_surrogates_strictly_exceed
864691134941194851,0.4641658273389228,0.38713374059630423,200,0.0,0.0
864691135082534135,0.5800693788549806,0.7122625961626887,200,0.91,0.87
864691135334986985,0.397418256063054,0.3429995839726796,200,0.0,0.0
864691135342193329,0.5638309846782007,0.6525042490365506,200,0.975,0.975
864691135367232761,0.6182371474483366,0.5849482017443566,200,0.035,0.035
864691135404231406,0.5740609058345305,0.6109593066273068,200,0.74,0.74
864691135404277230,0.5711818699575073,0.5340971334139687,200,0.15,0.15
864691135416557754,0.5154813484078096,0.7037681879073696,200,0.975,0.975
864691135455195242,0.6772307355722389,0.6691207063470381,200,0.415,0.415
864691135468547212,0.55003186823893,0.5068427097480679,200,0.185,0.185
864691135495249040,0.5213845436612797,0.47326767393686586,200,0.005,0.005
864691135502788957,0.5146333783276639,0.4688608017810315,200,0.08,0.08
864691135516884435,0.8431320755571288,0.809935658657762,200,0.085,0.085
864691135572379429,0.6533671674673134,0.46690388842904634,200,0.02,0.02
864691135573814980,0.4558898355060073,0.4344377336223081,200,0.29,0.29
864691135658994050,0.4907241410052922,0.4820920524686241,200,0.37,0.37
864691135687601120,0.4356419228058983,0.41316532532673816,200,0.145,0.145
864691135716106266,0.475515986198144,0.4972580656494647,200,0.935,0.935
864691135716174106,0.5752271430507144,0.5148158726651485,200,0.005,0.005
864691135740320660,0.7507747405426156,0.6660330623831561,200,0.075,0.065
864691135762339894,0.5901634400345047,0.5561835398995799,200,0.005,0.005
864691135856802606,0.6583856029081061,0.5881646275444702,200,0.02,0.02
864691135856845358,0.5273623160299203,0.548724974590441,200,0.715,0.715
864691135867632406,0.4133155171506919,0.36431137322031404,200,0.01,0.01
864691135919106224,0.925708599418492,0.9146635247433565,200,0.34,0.34
864691135938349828,0.4407437910756978,0.44873812336415936,200,0.58,0.58
864691135947212897,0.4637930598074651,0.463288347166622,200,0.53,0.53
864691135952698659,0.769839202567788,0.6145021741914456,200,0.01,0.01
864691135992368833,0.7778605725807038,0.7181743655191006,200,0.03,0.03
864691136024229689,0.5467946151438262,0.46504898507052617,200,0.0,0.0
864691136066506392,0.6471344799394353,0.6204002842067751,200,0.18,0.115
864691136066697624,0.5004837619976309,0.44302277685449143,200,0.015,0.015
864691136066733720,0.725147990298648,0.5992426220659101,200,0.0,0.0
864691136100511093,0.6263973205754364,0.5270642264029529,200,0.015,0.015
864691136109892792,0.6047689271328719,0.5459598667365995,200,0.06,0.06
864691136137737085,0.7508393500770171,0.7793741517251493,200,0.785,0.78
864691136195348812,0.5133177766207953,0.29893046511940696,200,0.0,0.0
864691136275165965,0.6286351638176954,0.627472842344702,200,0.51,0.51
864691136371808392,0.6844559367945038,0.5142548421657341,200,0.135,0.135
864691136389026167,0.6188562855298301,0.5255861726245006,200,0.015,0.015
864691136419314071,0.9686485097977452,0.9643562112652976,200,0.115,0.115
864691136486753554,0.8423449912388195,0.6756330723635773,200,0.0,0.0
864691136619341965,0.6842755323357402,0.6583691604479001,200,0.305,0.21
864691136663284190,0.831098195228449,0.8467243909977508,200,0.66,0.66
864691136673975943,0.6024122474386393,0.5497290355431113,200,0.01,0.01
864691136953057759,0.6302472752479714,0.5739336954360077,200,0.0,0.0
864691137197373249,0.8943973879917134,0.8143328776689086,200,0.01,0.01
