run_dir,run_name,dataset,network_type,ie_value,strategy,rule_variant,error_broadcast_mode,intervention,accuracy,scalar_weighted_cosine,scalar_scale_mismatch,per_soma_weighted_cosine,per_soma_scale_mismatch,path_factor_scalar_weighted_cosine,path_factor_scalar_scale_mismatch,path_transport_weighted_cosine,path_transport_scale_mismatch,path_gain_cv_mean,path_gain_no_i_cv_mean,inhibitory_conductance_mean,inhibitory_conductance_fraction
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,mnist,dendritic_shunting,5,local_ca,5f,per_soma,original,0.908203125,0.25837541830081207,1.4344877281918065,0.3380638968486052,1.487852426326009,0.6915508846823986,1.1568467072227782,1.0000008711448083,1.8061800641229515,0.23918148468878103,0.2256241420720753,2.9708486795425415,0.2279485879609218
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,mnist,dendritic_shunting,5,local_ca,5f,per_soma,zero_i,0.1953125,0.22472916543483734,1.5647824386142963,0.26432693348481107,1.6114911364672249,0.4333052658117734,1.2448395137157204,1.0000014305114746,1.806179973983887,0.2256241420720753,0.2256241420720753,0.0,0.0
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,mnist,dendritic_shunting,5,local_ca,5f,per_soma,shuffle_i,0.232421875,0.2456313669681549,1.5082180443271973,0.2843862886612232,1.5626574875192054,0.4400725456384512,1.2307773258800634,1.0000015588907094,1.8061799676515322,0.23877466246320328,0.2256241420720753,2.9708487070523777,0.22925373883201525
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,mnist,dendritic_shunting,5,local_ca,5f,per_soma,mean_clamp_i,0.220703125,0.24610861562765562,1.3719158476383226,0.2835411670116278,1.4251787306721506,0.5814598752902105,1.1953357823137125,1.000000999524043,1.806179991030312,0.2312559471377323,0.2256241420720753,2.9708485419933615,0.4117795701783437
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,mnist,dendritic_shunting,5,local_ca,5f,per_soma,uniform_matched_i,0.2265625,0.24271264328406408,1.4813034133155445,0.27978012080375964,1.5368443559305272,0.44117921590805054,1.2468244715627688,1.0000015313808734,1.806179916360759,0.22520824871196848,0.2256241420720753,2.970848954640902,0.46968601959256023
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,mnist,dendritic_shunting,5,local_ca,5f,per_soma,original,0.919921875,0.17540236218617514,1.2307387067252724,0.24836794688151434,1.2990365964524089,0.4658077869277734,0.9990652437322642,1.0000012746224036,1.80617993250852,0.2172912960998796,0.2010549666340847,3.05828123826247,0.23296673968434334
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,mnist,dendritic_shunting,5,local_ca,5f,per_soma,zero_i,0.125,0.27544434941731966,1.5086807659453128,0.3202922069109403,1.5518493623265024,0.5870277125101823,1.193126972843211,1.0000017422896166,1.8061799635328817,0.2010549666340847,0.2010549666340847,0.0,0.0
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,mnist,dendritic_shunting,5,local_ca,5f,per_soma,shuffle_i,0.267578125,0.2457595971914438,1.3802280783576923,0.29861278946583086,1.4259213231453194,0.6833558564002697,1.224624730304522,1.0000021732770479,1.8061799850537392,0.2167537230586566,0.2010549666340847,3.058281183242798,0.23420885434517494
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,mnist,dendritic_shunting,5,local_ca,5f,per_soma,mean_clamp_i,0.21875,0.22104532099687135,1.5110714806420162,0.2682485156334363,1.547614283301699,0.5615136921405792,1.2415479964126217,1.0000015680606549,1.806179939709537,0.20746494338881608,0.2010549666340847,3.058281183242798,0.41904294146941257
local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,mnist,dendritic_shunting,5,local_ca,5f,per_soma,uniform_matched_i,0.19921875,0.2400893076108052,1.5130827664794813,0.2868470767369637,1.551174591943404,0.48058404601537263,1.2530263541940132,1.000001540550819,1.806180000690671,0.20056915404477818,0.2010549666340847,3.0582815683805027,0.47191430685611874
