run_dir,run_name,seed,dataset,network_type,ie_value,strategy,rule_variant,error_broadcast_mode,test_accuracy,split,batch_size,scope,scope_type,population,stage,stage_role,stage_names,n_samples,n_compartments,n_soma,exact_error_energy,population_error_energy_fraction,family,oracle_coefficients,residual,captured_energy,cosine,optimal_global_scale,rescaled_residual,rescaled_captured_energy
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,rank1_svd,True,0.844968084490739,0.2860289361920514,0.5348167314062373,1.0,0.844968084490739,0.2860289361920514
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,global_oracle,True,0.9992856383323669,0.0014282130226739298,0.03754914179444313,0.9999999206515964,0.9992856383323669,0.0014282130226739298
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,neuron_oracle,True,0.9380162954330444,0.1201254295020675,0.3465864062309265,1.000000119208238,0.9380162954330444,0.1201254295020675
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,template_oracle,True,0.9635026454925537,0.07166265212885037,0.2676970362663269,1.0000000999103504,0.9635026454925537,0.07166265212885037
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,neuron_x_template_oracle,True,0.19214320182800293,0.9630809899912833,0.981368899345398,1.0,0.19214320182800293,0.9630809899912833
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,scalar_available,False,79.9366455078125,-6388.86729504168,0.11317165195941925,0.0014138576613810982,0.9935747385025024,0.012809239009683893
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,neuron_available,False,599.0322265625,-358838.60846042633,0.39420512318611145,0.0006576332086647192,0.9190222024917603,0.155398191327194
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_0,stage,0,0.0,distal,core_network.layers.0.excitatory_cells.branch_layers.0,256,1152,128,0.2601568102836609,0.03447289525470186,submitted_mw,False,79.9366455078125,-6388.86729504168,0.11317165195941925,0.0014138576613810982,0.9935747385025024,0.012809239009683893
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_1,stage,0,1.0,proximal,core_network.layers.0.excitatory_cells.branch_layers.1,256,384,128,0.24982476234436035,0.033103814791308604,rank1_svd,True,0.9275642279162646,0.13962460309010402,0.3736637567253533,1.0,0.9275642279162646,0.13962460309010402
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,5,local_ca,5f,per_soma,,train,256,population_0/stage_1,stage,0,1.0,proximal,core_network.layers.0.excitatory_cells.branch_layers.1,256,384,128,0.24982476234436035,0.033103814791308604,global_oracle,True,0.9944062829017639,0.01115614452549707,0.10560590028762817,1.0,0.9944062829017639,0.01115614452549707
