dataset,network_type,rule_variant,error_broadcast_mode,decoder_update_mode,dynamics_mode,hsic_enabled,hsic_weight,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_shunting,5f,per_soma,local,,False,1.0,0.9090999960899353,0.0022572542001847804,0.9138999700546264,0.0033037972062109197,-0.30338656306266787,0.011033975735236394
mnist,dendritic_shunting,5f,per_soma,local,,False,0.1,0.9090999960899353,0.0022572542001847804,0.9138999700546264,0.0033037972062109197,-0.30338656306266787,0.011033975735236394
mnist,dendritic_shunting,5f,per_soma,local,,False,0.01,0.9090999960899353,0.0022572542001847804,0.9138999700546264,0.0033037972062109197,-0.30338656306266787,0.011033975735236394
mnist,dendritic_shunting,5f,per_soma,local,,True,0.0,0.9090999960899353,0.0022572542001847804,0.9138999700546264,0.0033037972062109197,-0.30338656306266787,0.011033975735236394
mnist,dendritic_shunting,5f,per_soma,local,,False,0.0,0.9090999960899353,0.0022572542001847804,0.9138999700546264,0.0033037972062109197,-0.30338656306266787,0.011033975735236394
mnist,dendritic_shunting,5f,per_soma,local,,True,0.01,0.9059833288192749,0.006788564084924588,0.9079599738121032,0.0068017002656752664,-0.3145195722579956,0.021953281783838784
mnist,dendritic_shunting,5f,per_soma,local,,True,0.1,0.9049499988555908,0.009126921697511491,0.909499979019165,0.009594020526835556,-0.3171315729618073,0.028668312290286026
mnist,dendritic_shunting,5f,per_soma,local,,True,1.0,0.8824666619300843,0.006091205235244354,0.8884799957275391,0.007219207004963351,-0.38684592247009275,0.02301804174737721
mnist,dendritic_shunting,5f,scalar,local,,True,0.1,0.8671833276748657,0.01350325446819754,0.870259964466095,0.01589947891707767,-0.4483322322368622,0.04331039935028533
mnist,dendritic_shunting,5f,scalar,local,,True,0.01,0.8633666515350342,0.010084295772785431,0.8693999767303466,0.010821954205096723,-0.4639267325401306,0.03534534685357706
mnist,dendritic_shunting,5f,scalar,local,,False,0.01,0.8605166673660278,0.00985438039924511,0.8686199903488159,0.007579378486275638,-0.4609699368476868,0.035020286635073054
mnist,dendritic_shunting,5f,scalar,local,,True,0.0,0.8605166673660278,0.00985438039924511,0.8686199903488159,0.007579378486275638,-0.4609699368476868,0.035020286635073054
mnist,dendritic_shunting,5f,scalar,local,,False,0.1,0.8605166673660278,0.00985438039924511,0.8686199903488159,0.007579378486275638,-0.4609699368476868,0.035020286635073054
mnist,dendritic_shunting,5f,scalar,local,,False,0.0,0.8605166673660278,0.00985438039924511,0.8686199903488159,0.007579378486275638,-0.4609699368476868,0.035020286635073054
mnist,dendritic_shunting,5f,scalar,local,,False,1.0,0.8605166673660278,0.00985438039924511,0.8686199903488159,0.007579378486275638,-0.4609699368476868,0.035020286635073054
mnist,dendritic_shunting,5f,scalar,local,,True,1.0,0.8354333162307739,0.014555382967931262,0.8444399833679199,0.011836092677637189,-0.5504855990409852,0.04735776738309172
context_gating,dendritic_shunting,5f,per_soma,local,,True,0.1,0.7972000479698181,0.01622344956419058,0.7986000299453735,0.01829754630144756,-0.6234417796134949,0.043202849294058196
context_gating,dendritic_shunting,5f,per_soma,local,,True,0.01,0.7962000370025635,0.009984996581704946,0.8026000380516052,0.006066315596624623,-0.6131728291511536,0.02404789790705516
context_gating,dendritic_shunting,5f,per_soma,local,,False,0.01,0.782800042629242,0.018212633969223256,0.7708000421524048,0.020849468728956287,-0.6751013278961182,0.052954077578450554
context_gating,dendritic_shunting,5f,per_soma,local,,True,0.0,0.782800042629242,0.018212633969223256,0.7708000421524048,0.020849468728956287,-0.6751013278961182,0.052954077578450554
context_gating,dendritic_shunting,5f,per_soma,local,,False,0.1,0.782800042629242,0.018212633969223256,0.7708000421524048,0.020849468728956287,-0.6751013278961182,0.052954077578450554
context_gating,dendritic_shunting,5f,per_soma,local,,False,0.0,0.782800042629242,0.018212633969223256,0.7708000421524048,0.020849468728956287,-0.6751013278961182,0.052954077578450554
context_gating,dendritic_shunting,5f,per_soma,local,,False,1.0,0.782800042629242,0.018212633969223256,0.7708000421524048,0.020849468728956287,-0.6751013278961182,0.052954077578450554
context_gating,dendritic_shunting,5f,per_soma,local,,True,1.0,0.7818000316619873,0.009705686887698245,0.7848000407218934,0.012377398559019839,-0.6751366496086121,0.02554757607278631
