dataset,network_type,ie_value,error_broadcast_mode,n_runs,train_accuracy_mean,train_accuracy_std,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std
mnist,dendritic_additive,0,path_transport,5,0.9797458171844482,0.0010188477447468888,0.9544666409492493,0.0015225203515651501,0.9535399794578552,0.0016133731096403113
mnist,dendritic_additive,5,path_transport,5,0.986062490940094,0.0014413274746495712,0.9620166540145874,0.0021322646842015496,0.9634599685668945,0.0008877056460223317
mnist,dendritic_additive,10,path_transport,5,0.9889666557312011,0.0018486294198676303,0.9628166556358337,0.0016387285358743235,0.9646399736404419,0.0014993335204721533
mnist,dendritic_additive,20,path_transport,5,0.9903124809265137,0.0008438072207248783,0.9634999752044677,0.0006871814473521984,0.9651999831199646,0.0010999915275205629
mnist,dendritic_additive,40,path_transport,5,0.9918499946594238,0.0010317761129320484,0.9653166651725769,0.001684700906595889,0.966379976272583,0.0013026817220501972
mnist,dendritic_shunting,0,path_transport,5,0.9804708123207092,0.002835685883137603,0.9648333191871643,0.0018095185617169425,0.9653599739074707,0.0026670197503770427
mnist,dendritic_shunting,5,path_transport,5,0.9901791572570801,0.0010753647181114567,0.9700999975204467,0.0012739332487852236,0.9715399742126465,0.0006348305045885832
mnist,dendritic_shunting,10,path_transport,5,0.9919708251953125,0.0015733469397350049,0.9704666614532471,0.0006987153567289553,0.9716999769210816,0.0003391244374273134
mnist,dendritic_shunting,20,path_transport,5,0.9934083342552185,0.0010008287001096487,0.9718166589736938,0.0012435930348246554,0.9721599817276001,0.0008203736650201368
mnist,dendritic_shunting,40,path_transport,5,0.9942041516304017,0.0015560543400292238,0.9716999888420105,0.0016473989047211075,0.973039972782135,0.000618873431388237
noise_resilience,dendritic_additive,0,path_transport,5,0.9606124997138977,0.0038143926503517683,0.9201833248138428,0.002129813895107447,0.9241599678993225,0.002475463868509529
noise_resilience,dendritic_additive,5,path_transport,5,0.9616874933242798,0.0039602824404953016,0.9182999849319458,0.002230324289007988,0.9211399912834167,0.0013939138229486134
noise_resilience,dendritic_additive,10,path_transport,5,0.9724125027656555,0.00253051085278551,0.9266666650772095,0.003228021605376547,0.9301599740982056,0.0012033265486002984
noise_resilience,dendritic_additive,20,path_transport,5,0.9744374990463257,0.0037044935575125146,0.9303999781608582,0.0019115749445514029,0.9348399639129639,0.0025461802403701217
noise_resilience,dendritic_additive,40,path_transport,5,0.980383324623108,0.003597821863135908,0.9359499931335449,0.0015440360330704252,0.9402999758720398,0.000812402918989885
noise_resilience,dendritic_shunting,0,path_transport,5,0.9741666436195373,0.003244241742911181,0.9398499846458435,0.003407701493976869,0.9427399873733521,0.0017756619380792826
noise_resilience,dendritic_shunting,5,path_transport,5,0.9818958163261413,0.005327893048251406,0.944683313369751,0.001530262632736796,0.947059965133667,0.0017343540066619865
noise_resilience,dendritic_shunting,10,path_transport,5,0.9857499837875366,0.00224733676483716,0.947683322429657,0.0008567526984101799,0.9509799718856812,0.0012194097106325717
noise_resilience,dendritic_shunting,20,path_transport,5,0.986691665649414,0.002646845711902025,0.9512499928474426,0.0012774726474126797,0.9522599935531616,0.001755845611024907
noise_resilience,dendritic_shunting,40,path_transport,5,0.9871958136558533,0.0025742730237835252,0.949316656589508,0.0016163196944920767,0.9521799802780151,0.000944460881926348
