cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture
fresh,additive,50302,trained,cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50302,trained,cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53,0.0,activation,subtrees_k3,262144,0.8576212255284277,0.9433982541730948
fresh,additive,50302,trained,cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53,0.0,voltage,broadcast_k1,262144,0.5178858689582585,0.5610149665892735
fresh,additive,50302,trained,cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50302,trained,cbcef333f65ee9cbf847ee385e8349503084ece5142055569b06dbade3fa2f53,0.0,voltage,subtrees_k3,262144,0.7140874514048666,0.7236074441058331
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,activation,broadcast_k1,262144,0.8521655346368374,0.8866935875652475
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,activation,subtrees_k3,262144,0.8938574081729189,0.9208314144383216
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,voltage,broadcast_k1,262144,0.6466592365171749,0.6880977694247348
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50303,initial,784155a94cfacaee650e95a3fb77edfca324a2a82ec44187d81f32b66d39dc8d,0.0,voltage,subtrees_k3,262144,0.7679160701863897,0.7791947083041599
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,activation,broadcast_k1,262144,0.7634976976138278,0.8414440341653477
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,activation,subtrees_k3,262144,0.8581044315350937,0.9411346611528868
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,voltage,broadcast_k1,262144,0.5124609461494724,0.5609184783549078
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50303,trained,1a8555a7123e4546cd3f45afd7c6dc8cbf617249f05bdf4456d9d9e75899034f,0.0,voltage,subtrees_k3,262144,0.7106946377303252,0.7287506398734955
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,activation,broadcast_k1,262144,0.8529062599083946,0.8877936860195746
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,activation,subtrees_k3,262144,0.8948522822566986,0.9218798885986998
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,voltage,broadcast_k1,262144,0.6479883490097242,0.6910097841935157
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50304,initial,e6a0b27916fe38109ef7b15d0d236769ca5807d07def781a3cdd01957598f3b9,0.0,voltage,subtrees_k3,262144,0.7689063732134513,0.7814563896626109
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,activation,broadcast_k1,262142,0.7589353197879903,0.8436342470531993
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,activation,exact_k12,262142,1.0,1.0
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,activation,subtrees_k3,262142,0.8596145450720698,0.9413153949657784
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,voltage,broadcast_k1,262142,0.5093622121227069,0.5693206509237793
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,voltage,exact_k12,262142,1.0,1.0
fresh,additive,50304,trained,15bfcbf20c1c062553af3c7ae2179968b0d79497aee9e48a1b0619cd6c493031,0.0,voltage,subtrees_k3,262142,0.7132175333969738,0.7322305992559061
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,activation,broadcast_k1,262144,0.851671713964488,0.8872613461731432
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,activation,subtrees_k3,262144,0.8944349529887611,0.922310482695105
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,voltage,broadcast_k1,262144,0.6415663023770859,0.6842704582763637
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50305,initial,7052ec7964e5f2caba276979e0b61a62ce91140d7de46d1501b58716520927d0,0.0,voltage,subtrees_k3,262144,0.7634185982356186,0.776052571090559
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,broadcast_k1,262144,0.7599429941529693,0.8365798729081837
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,activation,subtrees_k3,262144,0.8561699795114214,0.9377600856803217
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,voltage,broadcast_k1,262144,0.5096703139017811,0.5611113192128462
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50305,trained,e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f,0.0,voltage,subtrees_k3,262144,0.7098810761181934,0.7347743559285711
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,broadcast_k1,262144,0.8521227811459331,0.889517084507483
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,activation,subtrees_k3,262144,0.8930206570558515,0.9222745295970652
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,voltage,broadcast_k1,262144,0.6478227494722868,0.6936964582294141
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50306,initial,2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f,0.0,voltage,subtrees_k3,262144,0.7678751461189226,0.7816308573470674
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,broadcast_k1,262144,0.7723533443869518,0.8443391524158332
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,activation,subtrees_k3,262144,0.8640853387086753,0.9406417495622372
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,voltage,broadcast_k1,262144,0.5219196230509874,0.5665009566345718
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50306,trained,168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992,0.0,voltage,subtrees_k3,262144,0.7132830620930268,0.7299326279831804
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,broadcast_k1,262144,0.8502632698881064,0.8877583288423104
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,activation,subtrees_k3,262144,0.8918046278985436,0.9212293901395258
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,voltage,broadcast_k1,262144,0.6452395232000281,0.6899337205454134
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50307,initial,39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2,0.0,voltage,subtrees_k3,262144,0.7663786582518285,0.7790049772658819
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,broadcast_k1,262144,0.7624254108587237,0.8479375735137562
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,activation,subtrees_k3,262144,0.855890299756358,0.9408560654030468
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,voltage,broadcast_k1,262144,0.5189218785552372,0.5718207143671808
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50307,trained,41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812,0.0,voltage,subtrees_k3,262144,0.7186030392797693,0.7376277835114201
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,broadcast_k1,262144,0.8518775054861735,0.8860428588860044
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,activation,subtrees_k3,262144,0.8935670363771258,0.9204130685123344
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,voltage,broadcast_k1,262144,0.6469605894836234,0.6890227412433753
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,voltage,exact_k12,262144,1.0,1.0
fresh,additive,50308,initial,745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120,0.0,voltage,subtrees_k3,262144,0.7676846820887513,0.7796469889331492
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,broadcast_k1,262134,0.7577064488754551,0.8279693462303919
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,exact_k12,262134,1.0,1.0
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,activation,subtrees_k3,262134,0.8585452105575384,0.9360969850252356
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,voltage,broadcast_k1,262134,0.5098147442470119,0.5529365180006894
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,voltage,exact_k12,262134,1.0,1.0
fresh,additive,50308,trained,8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e,0.0,voltage,subtrees_k3,262134,0.7153531955686954,0.7285672230325647
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,broadcast_k1,262144,0.84903358766288,0.8827771316036889
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,exact_k12,262144,1.0,1.0
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,activation,subtrees_k3,262144,0.8914016671318752,0.9181835392413052
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,voltage,broadcast_k1,262144,0.6424835594272738,0.6836094258049956
fresh,additive,50309,initial,ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89,0.0,voltage,exact_k12,262144,1.0,1.0
