architecture,arm,multiplier,metric,mean,ci_low,ci_high,n,positive
additive,decoder_only,0.3,test_accuracy,0.8929333090782166,0.8913999795913696,0.8941999673843384,3,3
additive,decoder_only,0.3,test_cross_entropy,0.35878172516822815,0.35429054498672485,0.3673112690448761,3,3
additive,decoder_only,0.3,selection_validation_loss,0.3686976211071014,0.3596646529833476,0.3756818228562673,3,3
additive,decoder_only,0.3,best_epoch,179.33333333333334,178.0,180.0,3,3
additive,decoder_only,1.0,test_accuracy,0.8949666420618693,0.8937999606132507,0.8967999815940857,3,3
additive,decoder_only,1.0,test_cross_entropy,0.35335009296735126,0.34805920720100403,0.3614427149295807,3,3
additive,decoder_only,1.0,selection_validation_loss,0.3635470197465685,0.35261379965146383,0.3726076057751973,3,3
additive,decoder_only,1.0,best_epoch,136.33333333333334,112.0,149.0,3,3
additive,decoder_only,3.0,test_accuracy,0.8936333060264587,0.8930999636650085,0.894599974155426,3,3
additive,decoder_only,3.0,test_cross_entropy,0.3551901876926422,0.3510672450065613,0.3631206750869751,3,3
additive,decoder_only,3.0,selection_validation_loss,0.36423590106434295,0.35308498962720236,0.37303719846407574,3,3
additive,decoder_only,3.0,best_epoch,70.0,47.0,101.0,3,3
additive,exact_path,0.3,test_accuracy,0.9735999902089437,0.972000002861023,0.976099967956543,3,3
additive,exact_path,0.3,test_cross_entropy,0.0905417948961258,0.08746759593486786,0.0957304984331131,3,3
additive,exact_path,0.3,selection_validation_loss,0.09239124133189519,0.08850418202082316,0.09880591036876042,3,3
additive,exact_path,0.3,best_epoch,60.0,54.0,65.0,3,3
additive,exact_path,1.0,test_accuracy,0.9731333057085673,0.972000002861023,0.9741999506950378,3,3
additive,exact_path,1.0,test_cross_entropy,0.09090998768806458,0.08948229253292084,0.09292437881231308,3,3
additive,exact_path,1.0,selection_validation_loss,0.09045413968960443,0.08611513529221217,0.0934235091606776,3,3
additive,exact_path,1.0,best_epoch,22.666666666666668,20.0,25.0,3,3
additive,exact_path,3.0,test_accuracy,0.973966638247172,0.9718999862670898,0.9753999710083008,3,3
additive,exact_path,3.0,test_cross_entropy,0.09096151093641917,0.08745142817497253,0.09369780123233795,3,3
additive,exact_path,3.0,selection_validation_loss,0.09089187239607176,0.08868860081831614,0.09317426826556524,3,3
additive,exact_path,3.0,best_epoch,13.333333333333334,10.0,16.0,3,3
additive,neuron_shared,0.3,test_accuracy,0.9725999633471171,0.9711999893188477,0.9734999537467957,3,3
additive,neuron_shared,0.3,test_cross_entropy,0.09473247329394023,0.09202492982149124,0.09651586413383484,3,3
additive,neuron_shared,0.3,selection_validation_loss,0.0961145440671179,0.09424191832542421,0.09754269123077393,3,3
additive,neuron_shared,0.3,best_epoch,97.33333333333333,88.0,108.0,3,3
additive,neuron_shared,1.0,test_accuracy,0.9714666207631429,0.9709999561309814,0.9720999598503113,3,3
additive,neuron_shared,1.0,test_cross_entropy,0.09705317517121632,0.09565837681293488,0.09776846319437027,3,3
additive,neuron_shared,1.0,selection_validation_loss,0.09738304224941464,0.09488621483246486,0.0999471021493276,3,3
additive,neuron_shared,1.0,best_epoch,39.0,36.0,42.0,3,3
additive,neuron_shared,3.0,test_accuracy,0.9717666308085123,0.9706999659538269,0.9724999666213989,3,3
additive,neuron_shared,3.0,test_cross_entropy,0.09738826503356297,0.09498684108257294,0.10051563382148743,3,3
additive,neuron_shared,3.0,selection_validation_loss,0.09736013846596081,0.09566141619284947,0.0987531528075536,3,3
additive,neuron_shared,3.0,best_epoch,16.0,15.0,18.0,3,3
additive,projected_k1,0.3,test_accuracy,0.9722999533017477,0.9716999530792236,0.973099946975708,3,3
additive,projected_k1,0.3,test_cross_entropy,0.09324710071086884,0.08993236720561981,0.09553792327642441,3,3
additive,projected_k1,0.3,selection_validation_loss,0.09543087891737621,0.09173222029209137,0.0980712567170461,3,3
additive,projected_k1,0.3,best_epoch,57.666666666666664,57.0,58.0,3,3
additive,projected_k1,1.0,test_accuracy,0.9727999766667684,0.9721999764442444,0.9734999537467957,3,3
additive,projected_k1,1.0,test_cross_entropy,0.0902203693985939,0.08869840204715729,0.09227446466684341,3,3
additive,projected_k1,1.0,selection_validation_loss,0.09489437848991818,0.09197767599423727,0.09903266125917436,3,3
additive,projected_k1,1.0,best_epoch,24.666666666666668,24.0,25.0,3,3
additive,projected_k1,3.0,test_accuracy,0.9743666450182596,0.9736999869346619,0.9753999710083008,3,3
additive,projected_k1,3.0,test_cross_entropy,0.09105885773897171,0.0868590772151947,0.0957193598151207,3,3
additive,projected_k1,3.0,selection_validation_loss,0.0920265082385805,0.08761854670445124,0.09500656187534333,3,3
