stage,index,architecture,arm,multiplier,seed,test_accuracy,test_cross_entropy,validation_cross_entropy,selection_validation_loss,best_epoch,final_epoch_valid_loss,epochs,initialized_model_sha256,initialized_core_sha256,final_core_sha256,final_model_sha256,decoder_only_core_unchanged,total_parameters,active_synapses,runtime_commit,elapsed_seconds
development,10,shunting,neuron_shared,0.3,50201,0.9675999879837036,0.1103726327419281,0.10343621671199799,0.1034362154006958,180,0.1034362154006958,180,69c6e9f848a28d75fb833ab5c5eeb283e3f95f99926d559f6c0926c335e3b6fd,c1782cce71112ef351292e3f4627aeeb8f72186633e43ffbc160f8db9b7396ba,9a37f526b385a7542a9ce06f3f9b79c8a177ebc9bd391ab249fa1c3eb7b6d196,a1f5dc3ac9c9087ebe207f23afdcc7e8a95b00e2a34fba44ccb96edb0943fc5e,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,241.46012087597046
development,11,shunting,neuron_shared,0.3,50202,0.9706999659538269,0.10075501352548599,0.1066184714436531,0.10661846508582433,180,0.10661846508582433,180,c343c2775ae35123f4f7436e04fa64c45fa3445a5ebd72a953c34e5d1282b75f,2221b0d44bce0387bdcd2bf234269ccd5b87775f60273ca067ccff8ed14b8422,77837e90b80f07543ce0c237fe65b661b0857f36a4f5b27db54d990457594fde,6e83519a881bf5b35e914fe74f6d462a53a27d40778e31062059b232f0ba850e,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,236.99688606197014
development,12,shunting,neuron_shared,1.0,50200,0.97079998254776,0.09348559379577637,0.10201191902160645,0.10201192732652029,92,0.1402078977227211,180,610ff1d2c86d06375e0803b3b20820442aa4b28a2e696683739e9148c8e64c47,1b6de14b4d131742766663f5d2d2ef31a0936422d01344fb5490847ab3e83bb1,cc88c533b2edb05b2b3f76d7002f45b6c0fbfbc12e6d75fcdd8666651856a80d,b09c70391f12f20164dbd6a634c7e47aab2aa61e0e748612d39502e222978611,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,236.31366801506374
development,13,shunting,neuron_shared,1.0,50201,0.971299946308136,0.09951087087392807,0.09442149102687836,0.09442149347066879,89,0.12247285944223404,180,69c6e9f848a28d75fb833ab5c5eeb283e3f95f99926d559f6c0926c335e3b6fd,c1782cce71112ef351292e3f4627aeeb8f72186633e43ffbc160f8db9b7396ba,088379c2dda5a57a37d9a07ccc7edfa40759ed9d4a78c257b3509ea90c603b8f,f1f3813b6bfe4191b4e0336b4c04d45bbf36cfc631fed78c0c1c4c92a540e615,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,233.5067550750682
development,14,shunting,neuron_shared,1.0,50202,0.972599983215332,0.09070352464914322,0.09803317487239838,0.09803317513068517,93,0.1387529953122139,180,c343c2775ae35123f4f7436e04fa64c45fa3445a5ebd72a953c34e5d1282b75f,2221b0d44bce0387bdcd2bf234269ccd5b87775f60273ca067ccff8ed14b8422,040f44df9d066beb9a93877f1b892416f3eb85b6984f52385327d227436bc281,a797c57f2b6188bf4ef0e6cf528377da8eb1ce0e6fc754313701a487b13be392,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,234.89577799709514
development,15,shunting,neuron_shared,3.0,50200,0.9714999794960022,0.09735860675573349,0.10303452610969543,0.10303452173868816,36,0.19782177430391312,180,610ff1d2c86d06375e0803b3b20820442aa4b28a2e696683739e9148c8e64c47,1b6de14b4d131742766663f5d2d2ef31a0936422d01344fb5490847ab3e83bb1,4d9cbc001bac6a0ab58ebcdf706ab3af9bdecaa7e37683de80073841bd863c29,abb35c47b973356c2c0e8f61a83cda12060d1452c55fa663092f8134da9a58b3,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,232.83617281692568
development,16,shunting,neuron_shared,3.0,50201,0.9723999500274658,0.09665635228157043,0.094996877014637,0.0949968800743421,35,0.18884175924460092,180,69c6e9f848a28d75fb833ab5c5eeb283e3f95f99926d559f6c0926c335e3b6fd,c1782cce71112ef351292e3f4627aeeb8f72186633e43ffbc160f8db9b7396ba,f57c65cbe8e369e41e7fd1a42686002997be3a641a9bf59fd60aa60f9d578306,e0066c3e18b718a4c4a88c0c68be3c5c3cb57b2762379834e8934d185d9335b4,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,231.08284082403407
development,17,shunting,neuron_shared,3.0,50202,0.971299946308136,0.09641062468290329,0.10184648633003235,0.1018464918533961,30,0.207546026746432,180,c343c2775ae35123f4f7436e04fa64c45fa3445a5ebd72a953c34e5d1282b75f,2221b0d44bce0387bdcd2bf234269ccd5b87775f60273ca067ccff8ed14b8422,84cd9620b6c1c5284916cfa6c7b2004d48dc9ab783c00e6ff26d52c0ea9533bc,0fce73e03c40687af6b7e2ff1c8d647242b1e5aadc14d484d343c528d966d918,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,232.74813544598874
development,18,shunting,subtree_k3,0.3,50200,0.9695000052452087,0.09523479640483856,0.10037839412689209,0.10037840217351914,180,0.10037840217351914,180,610ff1d2c86d06375e0803b3b20820442aa4b28a2e696683739e9148c8e64c47,1b6de14b4d131742766663f5d2d2ef31a0936422d01344fb5490847ab3e83bb1,c07c869857d0e36ce269ba25177c3620bcce5b3f3dd53b013e48249789bc259d,9f9acca9d5551b30f8ca41fe39ed71cd39a7aaa16c565a74c232aa8f1b72279a,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,246.46131656703074
development,19,shunting,subtree_k3,0.3,50201,0.9700999855995178,0.09915497153997421,0.0926005020737648,0.09260051198800405,180,0.09260051198800405,180,69c6e9f848a28d75fb833ab5c5eeb283e3f95f99926d559f6c0926c335e3b6fd,c1782cce71112ef351292e3f4627aeeb8f72186633e43ffbc160f8db9b7396ba,0ff007a1247e2865b80e1149351a5028ef96f16a8574877f46258078aa58bffe,c7929a98e7fb49154338b918f6bc28f1e0bee6eeda05df55ba9620dd8dbb2277,False,2414602,92160,6c1aaa25abd056c417842e1c46378b65d036f6a7,394.66206568700727
