stage,index,python,cuda,device_name,PyYAML,numpy,omegaconf,pandas,scipy,torch,torchvision,wandb
development,0,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,1,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,2,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,3,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,4,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,5,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,6,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,7,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,8,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,9,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,10,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,11,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,12,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,13,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,14,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,15,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,16,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,17,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,18,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,19,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,20,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,21,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,22,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,23,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,24,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,25,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,26,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,27,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,28,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,29,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,30,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,31,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,32,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,33,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
development,34,"3.10.13 | packaged by conda-forge | (main, Oct 26 2023, 18:07:37) [GCC 12.3.0]",12.8,NVIDIA H100 80GB HBM3,6.0.2,2.2.6,2.3.0,2.3.3,1.15.3,2.9.1,0.24.1,0.23.1
