rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive
common_original,additive,decoder_only,test_accuracy,0.8956799805164337,0.8933799862861633,0.8979299783706665,10,10
common_original,additive,decoder_only,test_cross_entropy,0.3480820894241333,0.34149797834455964,0.3543913821876049,10,10
common_original,additive,decoder_only,selection_validation_loss,0.36765994892120357,0.3603824212491512,0.3747185640970866,10,10
common_original,additive,decoder_only,best_epoch,161.1,150.9,169.6,10,10
common_original,additive,exact_path,test_accuracy,0.9729599773883819,0.9723699748516083,0.9735799789428711,10,10
common_original,additive,exact_path,test_cross_entropy,0.09007259085774422,0.08862836604937911,0.09154880791902542,10,10
common_original,additive,exact_path,selection_validation_loss,0.09513325612346331,0.09123127333124478,0.09916070633446177,10,10
common_original,additive,exact_path,best_epoch,23.4,21.6,25.4,10,10
common_original,additive,neuron_shared,test_accuracy,0.9710499763488769,0.9703499794006347,0.9717399716377259,10,10
common_original,additive,neuron_shared,test_cross_entropy,0.09502542912960052,0.09339287916198373,0.09673235351219774,10,10
common_original,additive,neuron_shared,selection_validation_loss,0.10188725749502581,0.09835376984336724,0.10530179362744092,10,10
common_original,additive,neuron_shared,best_epoch,33.9,31.9,36.0,10,10
common_original,additive,strict_scalar,test_accuracy,0.8926399767398834,0.8852199792861939,0.8986199736595154,10,10
common_original,additive,strict_scalar,test_cross_entropy,0.3851184070110321,0.3656935773789882,0.40661636292934417,10,10
common_original,additive,strict_scalar,selection_validation_loss,0.38907506289084753,0.36858269497732327,0.4147166989574831,10,10
common_original,additive,strict_scalar,best_epoch,69.2,53.9,86.5,10,10
common_original,additive,subtree_k3,test_accuracy,0.9723099768161774,0.9718799769878388,0.9727699816226959,10,10
common_original,additive,subtree_k3,test_cross_entropy,0.09122648164629936,0.08934838864952327,0.09290940232574939,10,10
common_original,additive,subtree_k3,selection_validation_loss,0.0976034063026309,0.09479792045208314,0.10041057379455615,10,10
common_original,additive,subtree_k3,best_epoch,23.4,21.9,24.7,10,10
common_original,shunting,decoder_only,test_accuracy,0.7592699706554413,0.754749977439642,0.7639502279460431,10,10
common_original,shunting,decoder_only,test_cross_entropy,1.4079039454460145,1.3950459718704225,1.422224760055542,10,10
common_original,shunting,decoder_only,selection_validation_loss,1.420693190161387,1.4056149382368723,1.4364921218029656,10,10
common_original,shunting,decoder_only,best_epoch,179.9,179.7,180.0,10,10
common_original,shunting,exact_path,test_accuracy,0.9713399767875671,0.9705999791622162,0.9720299780368805,10,10
common_original,shunting,exact_path,test_cross_entropy,0.09508853629231453,0.09282850027084351,0.09728071706369519,10,10
common_original,shunting,exact_path,selection_validation_loss,0.09924163523316383,0.09671917149523894,0.10173702240203818,10,10
common_original,shunting,exact_path,best_epoch,71.1,68.9,73.2,10,10
common_original,shunting,neuron_shared,test_accuracy,0.971239972114563,0.9705399692058563,0.9717899799346924,10,10
common_original,shunting,neuron_shared,test_cross_entropy,0.0966188944876194,0.09503588683903218,0.09807529151439667,10,10
common_original,shunting,neuron_shared,selection_validation_loss,0.10144614324967065,0.09888756528797249,0.10390789003654073,10,10
common_original,shunting,neuron_shared,best_epoch,91.9,88.2,95.9,10,10
common_original,shunting,strict_scalar,test_accuracy,0.8583699762821198,0.8518597193062305,0.8656999708712101,10,10
common_original,shunting,strict_scalar,test_cross_entropy,0.5021835505962372,0.474500971660018,0.5294805228710174,10,10
common_original,shunting,strict_scalar,selection_validation_loss,0.5047704215129216,0.47591316642959913,0.5344651842912038,10,10
common_original,shunting,strict_scalar,best_epoch,173.3,169.5,176.6,10,10
common_original,shunting,subtree_k3,test_accuracy,0.9718399763107299,0.9712599635124206,0.9724999845027924,10,10
common_original,shunting,subtree_k3,test_cross_entropy,0.0950322687625885,0.09295546798035503,0.09718676222488284,10,10
common_original,shunting,subtree_k3,selection_validation_loss,0.09933680129150549,0.0966790690814207,0.10231564392050108,10,10
common_original,shunting,subtree_k3,best_epoch,74.1,72.2,76.2,10,10
selected,additive,decoder_only,test_accuracy,0.8956799805164337,0.8933799862861633,0.8979299783706665,10,10
selected,additive,decoder_only,test_cross_entropy,0.3480820894241333,0.34149797834455964,0.3543913821876049,10,10
selected,additive,decoder_only,selection_validation_loss,0.36765994892120357,0.3603824212491512,0.3747185640970866,10,10
selected,additive,decoder_only,best_epoch,161.1,150.9,169.6,10,10
selected,additive,exact_path,test_accuracy,0.9729599773883819,0.9723699748516083,0.9735799789428711,10,10
selected,additive,exact_path,test_cross_entropy,0.09007259085774422,0.08862836604937911,0.09154880791902542,10,10
selected,additive,exact_path,selection_validation_loss,0.09513325612346331,0.09123127333124478,0.09916070633446177,10,10
selected,additive,exact_path,best_epoch,23.4,21.6,25.4,10,10
selected,additive,neuron_shared,test_accuracy,0.9711399734020233,0.970489711612463,0.9718099713325501,10,10
selected,additive,neuron_shared,test_cross_entropy,0.09784193411469459,0.0961313914321363,0.09963018447160721,10,10
selected,additive,neuron_shared,selection_validation_loss,0.10207037395785253,0.09933228551944097,0.10456051431007683,10,10
selected,additive,neuron_shared,best_epoch,95.0,91.0,99.0,10,10
selected,additive,strict_scalar,test_accuracy,0.8965799808502197,0.8903799889981747,0.9019799828529358,10,10
selected,additive,strict_scalar,test_cross_entropy,0.3763283371925354,0.3560405015945435,0.39990125514566904,10,10
selected,additive,strict_scalar,selection_validation_loss,0.37511264727512994,0.35443949673970543,0.4029478902556499,10,10
selected,additive,strict_scalar,best_epoch,29.1,23.1,35.5,10,10
selected,additive,subtree_k3,test_accuracy,0.9733999788761138,0.9727899849414825,0.973999971151352,10,10
selected,additive,subtree_k3,test_cross_entropy,0.09006604328751563,0.0882338490895927,0.09174657762050628,10,10
selected,additive,subtree_k3,selection_validation_loss,0.09519916461855174,0.09145642221542696,0.09898594435000171,10,10
selected,additive,subtree_k3,best_epoch,12.0,10.4,13.7,10,10
selected,shunting,decoder_only,test_accuracy,0.8095599770545959,0.8048499763011933,0.8146699728071689,10,10
selected,shunting,decoder_only,test_cross_entropy,0.9143774807453156,0.9017918522655963,0.9275602281093598,10,10
selected,shunting,decoder_only,selection_validation_loss,0.9322134608268738,0.9177615700085958,0.9472227535804111,10,10
selected,shunting,decoder_only,best_epoch,179.7,179.4,180.0,10,10
selected,shunting,exact_path,test_accuracy,0.9713399767875671,0.9705999791622162,0.9720299780368805,10,10
