stage,index,source,canonical,sha256,size
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/run_audit.json,canonical/development/condition_000/run_audit.json,96cade3b37635d88766a1979af99c214d6b2d675c279859beea94d4feb0e1fc2,3585
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/progress.json,canonical/development/condition_000/progress.json,2bfb21ace0bebf7f3fb660549e59eff8bda5f98f3a86f01fb053ae3631aafe45,36460
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/initial_state_identity.json,canonical/development/condition_000/initial_state_identity.json,4f374b6f9d9cb791cd86df680ab5469040a45214cfc4e953c8632a4ec86e2fa2,292
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/optimizer.json,canonical/development/condition_000/optimizer.json,def2d0592d4ce10ae682bace3b10cf405872409eb51feae0a96dac0f85399e7b,1506
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/config.json,canonical/development/condition_000/mnist_development_000_20260906_215732/config.json,3e9be9ce34646369c47dc8bbff57553a41d68f8096a4970f910e144a712cc798,77071
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/resolved_seeds.json,canonical/development/condition_000/mnist_development_000_20260906_215732/resolved_seeds.json,9ad5e87a4beb4170c6f77ad49a1827e6c9c95a7c4403aa8fce8b3f3ef2228cdc,242
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/training_summary.json,canonical/development/condition_000/mnist_development_000_20260906_215732/training_summary.json,1f7895d17560d91a41bb868c907011e13054fad75fdb81505c552ded9244d6d2,10105
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/performance/final.json,canonical/development/condition_000/mnist_development_000_20260906_215732/performance/final.json,35b7d6ea62c21b114d74c4514106125c7ec7046fcfe6753306635ef53dca76fc,289
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/mnist_development_000_20260906_215732/model_resources.json,canonical/development/condition_000/mnist_development_000_20260906_215732/model_resources.json,d37e6dfa4ad114145c69bb5e49848fb1d5a33ed0aed85b2ff1ac5439ac879d51,2851
development,0,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/image_ladder_controls_20260906/development/condition_000/initial_model.pt,,fe1e2708f2f904f3be75a5150f5ee812a4708e5d7c7a128b376f52831fe85039,9669068
