seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11012,2,0.5714285714,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5714285714,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6,neuron_shared_k1,0.453382313251,0.820068359375,0.466700166464,0.795000016689,0.997302830219,0.994612932205,0.414833128452,0.4,-0.2,1,2,100,1,2,0.4533823133,0.8200683594,0.4667001665,0.7950000167,0.9973028302,0.9946129322,0.4148331285,0.4,-0.2,1,2,100,1,2,1.06994413329e-11,3.61480845257e-11
11012,2,0.6,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.4,-0.2,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4,-0.2,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6,within_neuron_deranged,5.50694513321,0.474365234375,5.42535972595,0.454000025988,-0.941346526146,0.886133253574,-0.170333728194,0.4,-0.2,2,1,100,1,2,5.506945133,0.4743652344,5.425359726,0.454000026,-0.9413465261,0.8861332536,-0.1703337282,0.4,-0.2,2,1,100,1,2,1.23748788994e-11,4.78515005398e-11
11012,2,0.6,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.4,-0.2,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4,-0.2,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.4,-0.2,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4,-0.2,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6666666667,neuron_shared_k1,0.46959644556,0.818481445312,0.481490314007,0.796000063419,0.996611595154,0.993234694004,0.344597101212,0.333333333333,-0.333333333333,1,2,100,1,2,0.4695964456,0.8184814453,0.481490314,0.7960000634,0.9966115952,0.993234694,0.3445971012,0.3333333333,-0.3333333333,1,2,100,1,2,1.93420834904e-11,6.80544509635e-12
11012,2,0.6666666667,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.333333333333,-0.333333333333,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.3333333333,-0.3333333333,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.6666666667,within_neuron_deranged,4.40470314026,0.388671875,4.33430576324,0.377500027418,-0.983662843704,0.967592597008,-0.310805857182,0.333333333333,-0.333333333333,2,1,100,1,2,4.40470314,0.388671875,4.334305763,0.3775000274,-0.9836628437,0.967592597,-0.3108058572,0.3333333333,-0.3333333333,2,1,100,1,2,1.81366033303e-11,2.44629205781e-10
