seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11019,2,0,neuron_shared_k1,0.404541254044,0.820922851562,0.439440816641,0.791500031948,0.999116837978,0.998234450817,0.998234510422,1,1,1,2,100,1,2,0.404541254,0.8209228516,0.4394408166,0.7915000319,0.999116838,0.9982344508,0.9982345104,1,1,1,2,100,1,2,4.80896433785e-11,4.08538758379e-11
11019,2,0,correct_path,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,1,1,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,1,1,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
11019,2,0,within_neuron_deranged,11.0225715637,0.54541015625,11.114818573,0.544500052929,0.996469199657,0.992950856686,0.996469199657,1,1,2,1,100,1,2,11.02257156,0.5454101562,11.11481857,0.5445000529,0.9964691997,0.9929508567,0.9964691997,1,1,2,1,100,1,2,2.89245294383e-11,2.9980462557e-09
11019,2,0,backpropagation,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,1,1,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,1,1,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
11019,2,0,gated_point_emulation,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,1,1,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,1,1,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
11019,2,0.25,neuron_shared_k1,0.416106671095,0.820190429688,0.444756180048,0.794000029564,0.99888241291,0.997766077518,0.749114096165,0.75,0.5,1,2,100,1,2,0.4161066711,0.8201904297,0.44475618,0.7940000296,0.9988824129,0.9977660775,0.7491140962,0.75,0.5,1,2,100,1,2,3.60962371104e-11,4.79888906391e-11
11019,2,0.25,correct_path,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,0.75,0.5,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,0.75,0.5,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
11019,2,0.25,within_neuron_deranged,7.91738176346,0.536865234375,7.34421920776,0.546000003815,0.990028142929,0.980155706406,0.498228162527,0.75,0.5,2,1,100,1,2,7.917381763,0.5368652344,7.344219208,0.5460000038,0.9900281429,0.9801557064,0.4982281625,0.75,0.5,2,1,100,1,2,1.46972434223e-11,2.36328290271e-10
11019,2,0.25,backpropagation,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,0.75,0.5,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,0.75,0.5,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
11019,2,0.25,gated_point_emulation,0.403992265463,0.8212890625,0.438995212317,0.793500065804,1,1,1,0.75,0.5,2,1,100,1,2,0.4039922655,0.8212890625,0.4389952123,0.7935000658,1,1,1,0.75,0.5,2,1,100,1,2,3.52784468305e-12,1.65130686902e-11
