seed,branches,conflict_probability,epoch,condition,state_comparison,gradient_cosine,signed_signal_ratio,gradient_inner_product
11002,2,0.25,1,neuron_shared_k1,common_exact_state,0.999199688435,0.753499448299,0.303875535727
11002,2,0.25,1,correct_path,own_state,1,1,0.403285682201
11002,2,0.25,1,correct_path,common_exact_state,1,1,0.403285682201
11002,2,0.25,1,within_neuron_deranged,own_state,0.992507874966,0.509701967239,0.214042305946
11002,2,0.25,1,within_neuron_deranged,common_exact_state,0.992994129658,0.506998717785,0.204465329647
11002,2,0.25,1,backpropagation,own_state,1,1,0.403285682201
11002,2,0.25,1,backpropagation,common_exact_state,1,1,0.403285682201
11002,2,0.25,1,gated_point_emulation,own_state,1,1,0.403285682201
11002,2,0.25,1,gated_point_emulation,common_exact_state,1,1,0.403285682201
11002,2,0.25,10,neuron_shared_k1,own_state,0.999144911766,0.731910943985,0.176988810301
11002,2,0.25,10,neuron_shared_k1,common_exact_state,0.999203205109,0.723406910896,0.144561976194
11002,2,0.25,10,correct_path,own_state,1,1,0.199834942818
11002,2,0.25,10,correct_path,common_exact_state,1,1,0.199834942818
11002,2,0.25,10,within_neuron_deranged,own_state,0.986478686333,0.477724701166,0.140117108822
11002,2,0.25,10,within_neuron_deranged,common_exact_state,0.991738557816,0.44681379199,0.0892890095711
11002,2,0.25,10,backpropagation,own_state,1,1,0.199834942818
11002,2,0.25,10,backpropagation,common_exact_state,1,1,0.199834942818
11002,2,0.25,10,gated_point_emulation,own_state,1,1,0.199834942818
11002,2,0.25,10,gated_point_emulation,common_exact_state,1,1,0.199834942818
11002,2,0.25,50,neuron_shared_k1,own_state,0.993295788765,0.633555591106,0.0318353325129
11002,2,0.25,50,neuron_shared_k1,common_exact_state,0.978179633617,0.580654144287,0.0158000458032
11002,2,0.25,50,correct_path,own_state,1,1,0.0272107701749
11002,2,0.25,50,correct_path,common_exact_state,1,1,0.0272107701749
11002,2,0.25,50,within_neuron_deranged,own_state,-0.182969897985,-0.101896725595,-0.017923809588
11002,2,0.25,50,within_neuron_deranged,common_exact_state,0.547326624393,0.16130822897,0.00438932096586
11002,2,0.25,50,backpropagation,own_state,1,1,0.0272107701749
11002,2,0.25,50,backpropagation,common_exact_state,1,1,0.0272107701749
11002,2,0.25,50,gated_point_emulation,own_state,1,1,0.0272107701749
11002,2,0.25,50,gated_point_emulation,common_exact_state,1,1,0.0272107701749
11002,2,0.25,100,neuron_shared_k1,own_state,0.959028065205,0.523011922836,0.0096377376467
11002,2,0.25,100,neuron_shared_k1,common_exact_state,0.79997587204,0.442190140486,0.00333446823061
11002,2,0.25,100,correct_path,own_state,1,1,0.00754080200568
11002,2,0.25,100,correct_path,common_exact_state,1,1,0.00754080200568
11002,2,0.25,100,within_neuron_deranged,own_state,-0.837635099888,-0.604201257229,-0.975129723549
11002,2,0.25,100,within_neuron_deranged,common_exact_state,-0.171710327268,-0.115619674325,-0.000871865078807
11002,2,0.25,100,backpropagation,own_state,1,1,0.00754080200568
11002,2,0.25,100,backpropagation,common_exact_state,1,1,0.00754080200568
11002,2,0.25,100,gated_point_emulation,own_state,1,1,0.00754080200568
11002,2,0.25,100,gated_point_emulation,common_exact_state,1,1,0.00754080200568
11002,2,0.25,250,neuron_shared_k1,own_state,0.714174211025,0.28620415926,0.00187032052781
11002,2,0.25,250,neuron_shared_k1,common_exact_state,0.38749936223,0.403065770864,0.000669431639835
11002,2,0.25,250,correct_path,own_state,1,1,0.00166084966622
11002,2,0.25,250,correct_path,common_exact_state,1,1,0.00166084966622
11002,2,0.25,250,within_neuron_deranged,own_state,-0.810162305832,-0.582040548325,-1.16755568981
11002,2,0.25,250,within_neuron_deranged,common_exact_state,-0.100576095283,-0.19386844337,-0.000321986328345
