seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11013,2,0,neuron_shared_k1,0.407468855381,0.819946289062,0.431512534618,0.790000021458,0.999377310276,0.998755037785,0.998755037785,1,1,1,2,100,1,2,0.4074688554,0.8199462891,0.4315125346,0.7900000215,0.9993773103,0.9987550378,0.9987550378,1,1,1,2,100,1,2,4.23279189476e-11,1.83776882601e-11
11013,2,0,correct_path,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,1,1,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,1,1,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0,within_neuron_deranged,10.9026403427,0.542236328125,10.7789888382,0.543000042439,0.997510135174,0.995026469231,0.997510135174,1,1,2,1,100,1,2,10.90264034,0.5422363281,10.77898884,0.5430000424,0.9975101352,0.9950264692,0.9975101352,1,1,2,1,100,1,2,3.85070864084e-11,1.8041994565e-09
11013,2,0,backpropagation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,1,1,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,1,1,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0,gated_point_emulation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,1,1,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,1,1,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.25,neuron_shared_k1,0.418438136578,0.819580078125,0.439200669527,0.792000055313,0.999574959278,0.99915009737,0.752517402172,0.75,0.5,1,2,100,1,2,0.4184381366,0.8195800781,0.4392006695,0.7920000553,0.9995749593,0.9991500974,0.7525174022,0.75,0.5,1,2,100,1,2,1.31104016532e-11,2.70538591529e-11
11013,2,0.25,correct_path,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.75,0.5,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.75,0.5,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.25,within_neuron_deranged,7.82327079773,0.527221679688,7.70456886292,0.534500002861,0.996243834496,0.992501795292,0.50503474474,0.75,0.5,2,1,100,1,2,7.823270798,0.5272216797,7.704568863,0.5345000029,0.9962438345,0.9925017953,0.5050347447,0.75,0.5,2,1,100,1,2,3.89770438147e-11,8.49613712717e-11
11013,2,0.25,backpropagation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.75,0.5,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.75,0.5,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.25,gated_point_emulation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.75,0.5,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.75,0.5,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.5,neuron_shared_k1,0.4434068501,0.8193359375,0.459979295731,0.786500036716,0.999009490013,0.998019933701,0.501360476017,0.5,0,1,2,100,1,2,0.4434068501,0.8193359375,0.4599792957,0.7865000367,0.99900949,0.9980199337,0.501360476,0.5,0,1,2,100,1,2,1.64611657638e-11,3.05908076648e-11
11013,2,0.5,correct_path,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.5,0,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.5,0,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.5,within_neuron_deranged,3.70910072327,0.505981445312,3.54825162888,0.502000033855,0.0608118325472,0.00369807891548,0.00272101419978,0.5,0,2,1,100,1,2,3.709100723,0.5059814453,3.548251629,0.5020000339,0.06081183255,0.003698078915,0.0027210142,0.5,0,2,1,100,1,2,4.45617986955e-11,1.24267707236e-10
11013,2,0.5,backpropagation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.5,0,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.5,0,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.5,gated_point_emulation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.5,0,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.5,0,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.5714285714,neuron_shared_k1,0.455919325352,0.81640625,0.471940636635,0.785000026226,0.997521162033,0.995048463345,0.432780981064,0.428571428571,-0.142857142857,1,2,100,1,2,0.4559193254,0.81640625,0.4719406366,0.7850000262,0.997521162,0.9950484633,0.4327809811,0.4285714286,-0.1428571429,1,2,100,1,2,2.6043722734e-11,3.48266415706e-11
11013,2,0.5714285714,correct_path,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
11013,2,0.5714285714,within_neuron_deranged,4.26423358917,0.46875,4.18066310883,0.471500009298,-0.910495400429,0.829001903534,-0.134438082576,0.428571428571,-0.142857142857,2,1,100,1,2,4.264233589,0.46875,4.180663109,0.4715000093,-0.9104954004,0.8290019035,-0.1344380826,0.4285714286,-0.1428571429,2,1,100,1,2,1.67543756646e-12,1.74316561186e-10
11013,2,0.5714285714,backpropagation,0.406811892986,0.820678710938,0.431656867266,0.794500052929,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.406811893,0.8206787109,0.4316568673,0.7945000529,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,2.89245294383e-11,3.42987305224e-11
