root_id,draw,dose_relative_to_local_input_conductance,perturbation,localization_index,signed_localization,descendant_attenuated_fraction,descendant_enhanced_fraction,descendant_sign_flip_fraction,descendant_gradient_energy_ratio,transport_selectivity
864691135060651419,9,0.25,focal shunt,0.1605944521,-0.1605944521,1,0,0,0.722320573,74.72095777
864691135060651419,9,0.25,matched additive,0.0553695592,0.0553695592,0,1,0,1.160607324,74.72095777
864691135060651419,9,1,focal shunt,0.5375036272,-0.5375036272,1,0,0,0.3357317567,74.72095777
864691135060651419,9,1,matched additive,0.203095205,0.203095205,0,1,0,1.721454739,74.72095777
864691135060651419,9,4,focal shunt,1.360183185,-1.360183185,1,0,0,0.06342148878,74.72095777
864691135060651419,9,4,matched additive,0.6281554068,0.6281554068,0,1,0,5.150226064,74.72095777
864691135060651419,10,0.25,focal shunt,0.1602832674,-0.1602832674,1,0,0,0.7230605367,75.10231804
864691135060651419,10,0.25,matched additive,0.05579772247,0.05579772247,0,1,0,1.162064366,75.10231804
864691135060651419,10,1,focal shunt,0.5367893135,-0.5367893135,1,0,0,0.3365361521,75.10231804
864691135060651419,10,1,matched additive,0.2045371386,0.2045371386,0,1,0,1.728679908,75.10231804
864691135060651419,10,4,focal shunt,1.35913502,-1.35913502,1,0,0,0.06364956526,75.10231804
864691135060651419,10,4,matched additive,0.6317235106,0.6317235106,0,1,0,5.201478765,75.10231804
864691135060651419,11,0.25,focal shunt,0.1602380431,-0.1602380431,1,0,0,0.7228918084,74.49057889
864691135060651419,11,0.25,matched additive,0.05580689104,0.05580689104,0,1,0,1.161727637,74.49057889
864691135060651419,11,1,focal shunt,0.5366577728,-0.5366577728,1,0,0,0.3363561035,74.49057889
864691135060651419,11,1,matched additive,0.2045950367,0.2045950367,0,1,0,1.726997907,74.49057889
864691135060651419,11,4,focal shunt,1.358892737,-1.358892737,1,0,0,0.06359974797,74.49057889
864691135060651419,11,4,matched additive,0.6320113153,0.6320113153,0,1,0,5.189389367,74.49057889
864691135060651419,12,0.25,focal shunt,0.1609816627,-0.1609816627,1,0,0,0.7217884867,75.14804463
864691135060651419,12,0.25,matched additive,0.05493082225,0.05493082225,0,1,0,1.159562409,75.14804463
864691135060651419,12,1,focal shunt,0.5384256487,-0.5384256487,1,0,0,0.3351525169,75.14804463
864691135060651419,12,1,matched additive,0.2016097379,0.2016097379,0,1,0,1.716296631,75.14804463
864691135060651419,12,4,focal shunt,1.361599988,-1.361599988,1,0,0,0.06325685411,75.14804463
864691135060651419,12,4,matched additive,0.6244459763,0.6244459763,0,1,0,5.11393845,75.14804463
864691135060651419,13,0.25,focal shunt,0.1594848351,-0.1594848351,1,0,0,0.7241230334,74.13475881
864691135060651419,13,0.25,matched additive,0.05667472484,0.05667472484,0,1,0,1.164143181,74.13475881
864691135060651419,13,1,focal shunt,0.5348691216,-0.5348691216,1,0,0,0.3377021594,74.13475881
864691135060651419,13,1,matched additive,0.2075136168,0.2075136168,0,1,0,1.738972133,74.13475881
864691135060651419,13,4,focal shunt,1.356152655,-1.356152655,1,0,0,0.06398393504,74.13475881
864691135060651419,13,4,matched additive,0.6392169526,0.6392169526,0,1,0,5.274279089,74.13475881
864691135060651419,14,0.25,focal shunt,0.1612175653,-0.1612175653,1,0,0,0.7213822562,75.13071734
864691135060651419,14,0.25,matched additive,0.05465219769,0.05465219769,0,1,0,1.158766679,75.13071734
864691135060651419,14,1,focal shunt,0.5389856245,-0.5389856245,1,0,0,0.3347093513,75.13071734
864691135060651419,14,1,matched additive,0.2006649388,0.2006649388,0,1,0,1.712384606,75.13071734
864691135060651419,14,4,focal shunt,1.36245623,-1.36245623,1,0,0,0.06313048354,75.13071734
864691135060651419,14,4,matched additive,0.6220775377,0.6220775377,0,1,0,5.086624657,75.13071734
864691135060651419,15,0.25,focal shunt,0.1599343646,-0.1599343646,1,0,0,0.7234375508,74.18772581
864691135060651419,15,0.25,matched additive,0.05616123902,0.05616123902,0,1,0,1.162801564,74.18772581
864691135060651419,15,1,focal shunt,0.53594614,-0.53594614,1,0,0,0.3369496051,74.18772581
864691135060651419,15,1,matched additive,0.2057665346,0.2057665346,0,1,0,1.732321211,74.18772581
864691135060651419,15,4,focal shunt,1.357816991,-1.357816991,1,0,0,0.06376806091,74.18772581
864691135060651419,15,4,matched additive,0.63478658,0.63478658,0,1,0,5.227124127,74.18772581
864691135060651419,16,0.25,focal shunt,0.1599836316,-0.1599836316,1,0,0,0.7233720455,74.04429265
864691135060651419,16,0.25,matched additive,0.05610070776,0.05610070776,0,1,0,1.162671018,74.04429265
864691135060651419,16,1,focal shunt,0.5360591213,-0.5360591213,1,0,0,0.3368798543,74.04429265
864691135060651419,16,1,matched additive,0.2055730884,0.2055730884,0,1,0,1.73167253,74.04429265
864691135060651419,16,4,focal shunt,1.357983741,-1.357983741,1,0,0,0.06374881271,74.04429265
864691135060651419,16,4,matched additive,0.634368975,0.634368975,0,1,0,5.222505411,74.04429265
864691135060651419,17,0.25,focal shunt,0.16041488,-0.16041488,1,0,0,0.7226929627,74.45324391
864691135060651419,17,0.25,matched additive,0.05558991725,0.05558991725,0,1,0,1.161336245,74.45324391
864691135060651419,17,1,focal shunt,0.5370761831,-0.5370761831,1,0,0,0.3361393524,74.45324391
864691135060651419,17,1,matched additive,0.2038485629,0.2038485629,0,1,0,1.725049407,74.45324391
864691135060651419,17,4,focal shunt,1.35952851,-1.35952851,1,0,0,0.0635381316,74.45324391
864691135060651419,17,4,matched additive,0.6300836731,0.6300836731,0,1,0,5.175468468,74.45324391
864691135060651419,18,0.25,focal shunt,0.1593151239,-0.1593151239,1,0,0,0.7243277149,74.00197039
864691135060651419,18,0.25,matched additive,0.05687406212,0.05687406212,0,1,0,1.164544406,74.00197039
864691135060651419,18,1,focal shunt,0.5344707017,-0.5344707017,1,0,0,0.3379258515,74.00197039
864691135060651419,18,1,matched additive,0.2081854459,0.2081854459,0,1,0,1.740954214,74.00197039
864691135060651419,18,4,focal shunt,1.355549976,-1.355549976,1,0,0,0.06404784742,74.00197039
864691135060651419,18,4,matched additive,0.6408583129,0.6408583129,0,1,0,5.288242263,74.00197039
864691135060651419,19,0.25,focal shunt,0.1602402182,-0.1602402182,1,0,0,0.7229309143,74.470686
864691135060651419,19,0.25,matched additive,0.05578364257,0.05578364257,0,1,0,1.16180425,74.470686
864691135060651419,19,1,focal shunt,0.5366645386,-0.5366645386,1,0,0,0.3364016654,74.470686
864691135060651419,19,1,matched additive,0.2044928741,0.2044928741,0,1,0,1.727418953,74.470686
864691135060651419,19,4,focal shunt,1.358901269,-1.358901269,1,0,0,0.06361344517,74.470686
864691135060651419,19,4,matched additive,0.6316326269,0.6316326269,0,1,0,5.192907062,74.470686
864691135060651419,20,0.25,focal shunt,0.1599491058,-0.1599491058,1,0,0,0.7234020863,74.14981044
864691135060651419,20,0.25,matched additive,0.05612735746,0.05612735746,0,1,0,1.162729567,74.14981044
864691135060651419,20,1,focal shunt,0.5359723217,-0.5359723217,1,0,0,0.3369130008,74.14981044
864691135060651419,20,1,matched additive,0.2056558088,0.2056558088,0,1,0,1.731961981,74.14981044
864691135060651419,20,4,focal shunt,1.357841265,-1.357841265,1,0,0,0.0637584069,74.14981044
864691135060651419,20,4,matched additive,0.6345437626,0.6345437626,0,1,0,5.224547341,74.14981044
