root_id,attempts,accepted_draws,acceptance_fraction,n_focal_sites
864691135060651419,64,64,1.0,16
864691135196576298,64,64,1.0,4
864691135277186789,64,64,1.0,16
864691135324623260,64,64,1.0,10
864691135409937097,64,64,1.0,15
864691135739661169,64,64,1.0,8
864691135810666525,64,64,1.0,16
864691136043380566,64,64,1.0,16
