root_id,focal_shunt_localization,matched_additive_localization,shunt_minus_additive,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,n_focal_sites
864691134941194851,0.17513785513426414,0.011276294204041068,0.16386156093022305,0.012013938017383678,0.16312391711688043,14
864691135334986985,0.1662163648242985,0.010397692712242671,0.15581867211205583,-0.017516764650465217,0.18373312947476372,14
864691135342193329,0.10230389085697511,0.019832382111741584,0.08247150874523353,-0.011686637904632874,0.11399052876160798,3
864691135367232761,0.2031169036486161,0.035138161810582276,0.16797874183803385,0.007895975529019798,0.19522092811959632,3
864691135404231406,0.16653276785797375,0.011298113927274492,0.15523465393069927,0.07034535934878076,0.096187408509193,8
864691135404277230,0.1500568715946391,0.01029647234370817,0.13976039925093092,0.038449400497729866,0.1116074710969092,5
864691135416557754,0.1345992986654882,0.0016274375764866369,0.13297186108900158,0.13459929866548817,2.544261098099317e-17,3
864691135455195242,0.13707534993478335,0.006083175700177257,0.13099217423460607,-0.001170464429733093,0.1382458143645164,3
864691135468547212,0.23094087014270578,0.006798048681468793,0.22414282146123699,0.051948594377144185,0.17899227576556162,3
864691135495249040,0.1663331635698204,0.021317061901477103,0.14501610166834328,0.05794707845109753,0.10838608511872284,3
864691135502788957,0.15028605131656536,0.07324275428174949,0.07704329703481586,-3.3398847923415964e-16,0.1502860513165657,2
864691135572379429,0.12487745278205409,0.008732673970786031,0.11614477881126806,0.0421873424352519,0.08269011034680218,4
864691135573814980,0.14713649464500375,0.013091507598870698,0.13404498704613305,0.03428582439216099,0.11285067025284275,13
864691135658994050,0.1128243121342527,0.010484810759063302,0.10233950137518938,0.004475532136533885,0.1083487799977188,11
864691135687601120,0.184532378017035,0.019611330871046245,0.16492104714598876,0.024115546381689543,0.16041683163534545,3
864691135716106266,0.04067691722244836,0.008343712374151357,0.032333204848297006,0.0032368799715958192,0.03744003725085254,5
864691135716174106,0.16833047764376552,0.010334544016121237,0.15799593362764427,0.047459677829785704,0.12087079981397982,5
864691135740320660,0.08612866688434367,0.002492312786448743,0.08363635409789492,-0.019598549046378453,0.10572721593072212,2
864691135762339894,0.21823652391567233,0.0242287340925142,0.19400778982315814,-0.011062475000391767,0.2292989989160641,5
864691135856802606,0.12114107890356174,0.004085087588917427,0.11705599131464432,0.06138943371824756,0.059751645185314194,6
864691135856845358,0.1486788119476097,0.007502859145398373,0.14117595280221135,0.06291582541872995,0.08576298652887974,7
864691135867632406,0.16118361546258564,0.0155472619832157,0.14563635347936993,0.017218906608525163,0.14396470885406049,10
864691135919106224,0.2626987913289785,0.0007404435976670244,0.26195834773131144,0.2621621206769375,0.0005366706520409659,2
864691135938349828,0.11612745828970916,0.0025263635179971046,0.11360109477171206,0.11595210498288475,0.00017535330682440925,2
864691135947212897,0.12995501712771546,0.004462624978018439,0.125492392149697,0.03783689884740318,0.09211811828031227,8
864691135952698659,0.20849690514166952,0.012514987614376813,0.1959819175272927,0.1452528145400248,0.06324409060164471,3
864691136024229689,0.20862916354976152,0.004725083831573594,0.20390407971818791,-0.07308022108170062,0.2817093846314621,4
864691136066506392,0.015932657324466436,0.00120788128694016,0.014724776037526276,-3.918306651362613e-16,0.015932657324466828,2
864691136066697624,0.24819994854975302,0.045062032316892965,0.20313791623286004,0.02142058336760533,0.22677936518214767,11
864691136066733720,0.09909775749877268,0.004810913873495201,0.09428684362527748,0.09844681011027023,0.0006509473885024392,2
864691136100511093,0.19292273208833005,0.029512176039532108,0.16341055604879795,0.02282019725853132,0.17010253482979873,4
864691136109892792,0.10195291919506203,0.009004628168094903,0.09294829102696711,1.1145598333150986e-16,0.10195291919506191,2
864691136195348812,0.5117210649769278,0.022234521905466417,0.48948654307146144,0.07861200249303608,0.43310906248389175,16
864691136275165965,0.0914197907833743,0.007894649511668501,0.08352514127170578,0.001836123577161726,0.08958366720621258,6
864691136371808392,0.07830716016778207,0.013816376307056222,0.06449078386072585,-0.018977256259711528,0.0972844164274936,8
864691136389026167,0.1301525498901776,0.002136865715823047,0.12801568417435455,0.005695063313070149,0.12445748657710745,4
864691136486753554,0.06140438009146541,0.0009548244969040314,0.060449555594561374,-0.006189514466886465,0.06759389455835188,5
864691136673975943,0.14913648087041925,0.015969715480956995,0.13316676538946226,0.016652650850273145,0.1324838300201461,6
864691136953057759,0.20352580331030298,0.01076568453835619,0.19276011877194682,0.08776077035329885,0.11576503295700416,10
864691137197373249,0.17884207023673762,0.002501557405947387,0.17634051283079022,0.17553292139403967,0.0033091488426979696,3
