family,tree,optimizer,rule,n_seeds,n_nested_fits,mean_population_nmse,population_nmse_ci95_low,population_nmse_ci95_high,mean_test_noisy_nmse,test_noisy_nmse_ci95_low,test_noisy_nmse_ci95_high,mean_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mean_gradient_cosine,gradient_cosine_ci95_low,gradient_cosine_ci95_high,failed_fits,mean_gradient_clipped_steps,mean_parameter_clipped_steps
and4,balanced_ab_cd,adam,broadcast,20,20,0.0037654042240157703,0.0028182899904455852,0.004857712340594631,0.026393293262766765,0.02519747314495746,0.027722739455032185,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8525028057379425,0.7749273224456056,0.9017563124849323,0,0.0,181.35
and4,balanced_ab_cd,adam,exact,20,20,0.0012660829345119001,0.0006851363540918807,0.002281556146523776,0.02379119131154693,0.02294146657499384,0.025025172106414473,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
and4,balanced_ab_cd,sgd,broadcast,20,20,0.009515127541713237,0.0018989173687174645,0.022278255246198586,0.032056121382515027,0.02442388882953137,0.044695131521272934,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.7872524288302442,0.673534928100298,0.8737726084529894,0,0.0,46.35
and4,balanced_ab_cd,sgd,exact,20,20,0.00074737936651465,0.0005386331983997819,0.0010056306866047453,0.023327807200877695,0.022780747521471238,0.023875113219887407,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ac_bd,adam,broadcast,20,20,0.0033036684831080345,0.002342338591505959,0.004539623839852251,0.025908107076009417,0.024849491362895798,0.027260285945929635,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8837700539483672,0.8522002988000513,0.9101483255704866,0,0.0,189.8
and4,balanced_ac_bd,adam,exact,20,20,0.001461892105225015,0.0005643615158185463,0.0031541264294326046,0.024045347338805697,0.022795408160380202,0.026109621565473216,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ac_bd,sgd,broadcast,20,20,0.010927610896222604,0.0017050796545448673,0.024270902690949954,0.03364733965275734,0.024483389685384854,0.04680632320375806,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8053098398231638,0.6998604423722603,0.8851591038335513,0,0.0,45.9
and4,balanced_ac_bd,sgd,exact,20,20,0.0007092972216914499,0.0004983515153043795,0.0009728095519712323,0.023291335916092514,0.02274843746581971,0.023841379542901116,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
and4,balanced_ad_bc,adam,broadcast,20,20,0.00452463632605545,0.0031544596254652305,0.006197840180438699,0.027275693471869682,0.025691864583167624,0.029323407189518876,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8786435761423327,0.837285383089208,0.9097295234455913,0,0.0,184.4
and4,balanced_ad_bc,adam,exact,20,20,0.001117872357206475,0.000662020920050918,0.001869665442193408,0.023645895015356154,0.02293378029219545,0.024546120185006428,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
and4,balanced_ad_bc,sgd,broadcast,20,20,0.010886968507017676,0.0025268537937912852,0.02363362773875368,0.0336815446556893,0.025267165248889143,0.04623105915512375,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8044409552279694,0.6923059331932807,0.886901728097168,0,0.0,44.8
and4,balanced_ad_bc,sgd,exact,20,20,0.0007245065338610699,0.0005082461818524832,0.0010026389911039985,0.023334171816317435,0.022787302349065324,0.023896732864541664,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,comb_a_b_cd,adam,broadcast,20,20,0.002370238968351119,0.0019149272560108883,0.0028233608044634256,0.02502640973576577,0.024321701578757186,0.025742712223328298,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9025800066578566,0.873636100406829,0.9288239673927046,0,0.05,10.85
and4,comb_a_b_cd,adam,exact,20,20,0.0009291704362307749,0.0007078695490891918,0.0011961191498826072,0.02350423236158868,0.022919469091339583,0.02411581815091605,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,comb_a_b_cd,sgd,broadcast,20,20,0.0015550198438498398,0.0010960380404508876,0.0021288799618369493,0.024092348787592803,0.023364802895517758,0.02491120866981011,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8770194948153274,0.8313954549196814,0.9136323766959318,0,0.0,0.0
and4,comb_a_b_cd,sgd,exact,20,20,0.0007743646566108649,0.0005280359683337659,0.0010815673915414556,0.02339954027633298,0.0227885696724277,0.024033107358920596,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
