family,tree,optimizer,rule,n_seeds,n_nested_fits,mean_population_nmse,population_nmse_ci95_low,population_nmse_ci95_high,mean_test_noisy_nmse,test_noisy_nmse_ci95_low,test_noisy_nmse_ci95_high,mean_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mean_gradient_cosine,gradient_cosine_ci95_low,gradient_cosine_ci95_high,failed_fits,mean_gradient_clipped_steps,mean_parameter_clipped_steps
and_of_xors,balanced_ab_cd,adam,broadcast,20,20,0.002240083735102915,0.0018003054850282629,0.0026962586720561087,0.025017841525814793,0.024237431728235954,0.025828119780897146,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9278241208001632,0.9131034673079536,0.9419451737740161,0,0.0,5.55
and_of_xors,balanced_ab_cd,adam,exact,20,20,0.0008954604049891651,0.0006938193983134911,0.0011069605814611352,0.023571139981120624,0.02306333398036664,0.024093822389170058,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
and_of_xors,balanced_ab_cd,sgd,broadcast,20,20,0.0011145431844252001,0.0008767178725155812,0.0013806443720519074,0.023780165376608327,0.0232200035446429,0.024405414176107917,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.935291686858718,0.9214344273826686,0.9483452880869291,0,0.0,0.0
and_of_xors,balanced_ab_cd,sgd,exact,20,20,0.000718643089878075,0.0005546423471144275,0.000888339329827744,0.023360691422192388,0.022857345624488396,0.023903173993219493,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
and_of_xors,balanced_ac_bd,adam,broadcast,20,20,0.9258419491357882,0.8821072392513785,0.9672777257525569,0.9463682167498397,0.9008823776345639,0.9915166576465202,0.75625,0.7374999999999999,0.775,0.55,0.51875,0.5833333333333333,0.6222402711248453,0.5433992195724653,0.6995078617378928,0,0.0,48.45
and_of_xors,balanced_ac_bd,adam,exact,20,20,0.6827609507047645,0.6777875701200273,0.6882159053664583,0.7147332808977821,0.701577731894185,0.7280933100298433,0.803125,0.775,0.8312499999999999,0.6895833333333334,0.6625,0.7166666666666668,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and_of_xors,balanced_ac_bd,sgd,broadcast,20,20,0.9046324281647408,0.8546731548290873,0.9531717139938753,0.9322274119372164,0.8774094570514936,0.9863176158399711,0.765625,0.7468750000000001,0.7812500000000001,0.55625,0.5208333333333334,0.5916666666666668,0.38752432471978543,0.2651141710965534,0.5197018557119226,0,0.0,0.0
and_of_xors,balanced_ac_bd,sgd,exact,20,20,0.681934777152848,0.6776148129977838,0.6866086910234007,0.717472495525906,0.7056389209423853,0.7292719170450779,0.809375,0.78125,0.8374999999999999,0.6979166666666667,0.6708333333333333,0.725,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and_of_xors,balanced_ad_bc,adam,broadcast,20,20,0.9197979491466832,0.8796241098353429,0.9585957934880622,0.9470170865152184,0.9031769013167714,0.9887537791235157,0.746875,0.728125,0.765625,0.5479166666666668,0.5166666666666666,0.5791666666666667,0.5697624397786691,0.4744183296084165,0.6656218834627953,0,0.0,38.95
and_of_xors,balanced_ad_bc,adam,exact,20,20,0.6797734963332793,0.6757405519456525,0.684694173045626,0.7046708571745802,0.6940464812609335,0.7160324762624979,0.825,0.8031250000000001,0.8437500000000001,0.7,0.6708333333333333,0.7291666666666666,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
and_of_xors,balanced_ad_bc,sgd,broadcast,20,20,0.9170842711855555,0.8711769545973377,0.9608167877843806,0.9465666125281672,0.8939220479805776,0.9956812497977424,0.746875,0.728125,0.765625,0.5229166666666667,0.4937500000000001,0.5541666666666667,0.36045006230067506,0.22870969894365753,0.49409734420844825,0,0.0,0.0
and_of_xors,balanced_ad_bc,sgd,exact,20,20,0.6793897361974668,0.6755935490438845,0.6839139020318906,0.7048449430947901,0.6946119819284141,0.7156382228856462,0.828125,0.8125,0.8437500000000002,0.7020833333333332,0.6729166666666666,0.7333333333333332,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and_of_xors,comb_a_b_cd,adam,broadcast,20,20,0.68662851394129,0.6791522960510985,0.6947220985548803,0.7046825953302506,0.6929389892761201,0.7168632001491585,0.7625,0.734375,0.790625,0.6625,0.61875,0.70625,0.7272659219663082,0.5817793494877013,0.8486020005444075,0,0.0,41.2
and_of_xors,comb_a_b_cd,adam,exact,20,20,0.35253672215256215,0.34742391416944557,0.35959425036385667,0.3724490756275893,0.3671805565002277,0.3788274929838959,0.99375,0.9812500000000001,1.0000000000000002,0.9875,0.9625,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and_of_xors,comb_a_b_cd,sgd,broadcast,20,20,0.684560923157224,0.6778012414763703,0.6927053922800168,0.702190981161489,0.6908439682098491,0.7144376833684183,0.75,0.725,0.7781249999999998,0.6500000000000001,0.5979166666666667,0.70625,0.7119129793583865,0.5284973790109487,0.8613018578338568,0,0.0,15.05
and_of_xors,comb_a_b_cd,sgd,exact,20,20,0.3521091562123245,0.34679521022506704,0.3596344926938753,0.37160898692737265,0.3663613448647441,0.3779482396581447,0.99375,0.9812500000000001,1.0000000000000002,0.9875,0.9625,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
nested,balanced_ab_cd,adam,broadcast,20,20,0.17116615647791902,0.16873516499199542,0.17389701775272054,0.1944957400690608,0.18917108917888817,0.20032284760474017,0.95,0.940625,0.9624999999999999,0.9199999999999999,0.905,0.9400000000000001,0.8925356798654895,0.8696149814439539,0.9151347832050041,0,0.0,0.0
nested,balanced_ab_cd,adam,exact,20,20,0.17387492302699348,0.16820088839789618,0.18093291189965777,0.1984667669327607,0.19043378879108575,0.2077867830590152,0.946875,0.9375,0.95625,0.9149999999999998,0.9000000000000001,0.9300000000000002,1.0,1.0,1.0000000000000002,0,0.0,0.0
nested,balanced_ab_cd,sgd,broadcast,20,20,0.16847343280146967,0.1663924526687029,0.17108546967925653,0.1919504939246281,0.18684525922100295,0.1976242832215538,0.95,0.940625,0.9624999999999999,0.9199999999999999,0.905,0.9400000000000001,0.9021140889302046,0.8792495076613889,0.9230106057713429,0,0.0,0.0
nested,balanced_ab_cd,sgd,exact,20,20,0.17105422019416117,0.16739328182253074,0.17570138453068854,0.1949234617510372,0.18865616793539083,0.2020407408441321,0.95,0.940625,0.9624999999999999,0.9199999999999999,0.905,0.9400000000000001,1.0,1.0,1.0000000000000002,0,0.0,0.0
nested,balanced_ac_bd,adam,broadcast,20,20,0.15095013523120787,0.1445995062035428,0.15825970763852595,0.1743513394339019,0.16701216051270945,0.18256185165546562,0.990625,0.98125,1.0,0.985,0.9699999999999999,1.0,0.7504932358398355,0.6667717675322379,0.8230478683655562,0,0.0,23.25
nested,balanced_ac_bd,adam,exact,20,20,0.13475831424106194,0.13248306388861036,0.1371920382266123,0.15820580865515935,0.1534567710074538,0.1632580414204501,0.975,0.9625,0.9875000000000002,0.9709090909090907,0.9531818181818182,0.987727272727273,1.0,1.0,1.0000000000000004,0,0.0,0.0
nested,balanced_ac_bd,sgd,broadcast,20,20,0.1500353393122999,0.14379568552860833,0.15777576277665006,0.17355056552390455,0.16621821494490704,0.18199670353281222,0.984375,0.971875,0.9937500000000004,0.9777272727272726,0.9599999999999999,0.995,0.6961066615287337,0.5564490892154407,0.8010433835898565,0,0.0,0.35
nested,balanced_ac_bd,sgd,exact,20,20,0.13497330963907053,0.13247719857186852,0.13758067291814688,0.15855521482753612,0.1535311065475002,0.16392381424861385,0.96875,0.9562499999999999,0.9812500000000002,0.9663636363636361,0.9490909090909091,0.9831818181818183,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
nested,balanced_ad_bc,adam,broadcast,20,20,0.14736839834620213,0.142976451350404,0.15239795519566013,0.16870886150627515,0.16333919828725613,0.17441719193271346,0.975,0.9625,0.9875000000000002,0.9709090909090909,0.9531818181818184,0.987727272727273,0.7356296577249493,0.6500995641991318,0.8118422937488518,0,0.0,21.6
nested,balanced_ad_bc,adam,exact,20,20,0.13458531318817954,0.13253902309799978,0.13667763154350424,0.15628301424079377,0.15082747347333053,0.16139759551848595,0.96875,0.95625,0.9812500000000002,0.9663636363636364,0.9490909090909091,0.9827272727272728,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
nested,balanced_ad_bc,sgd,broadcast,20,20,0.14303014765594257,0.1396519066828295,0.14646352722427303,0.16491852524401998,0.15970894827386828,0.16992125033518637,0.990625,0.98125,1.0,0.9877272727272727,0.9727272727272729,1.0,0.6286709041265951,0.47913160456106185,0.7557061504863746,0,0.0,1.0
nested,balanced_ad_bc,sgd,exact,20,20,0.13426198837038272,0.13230749346147555,0.13627996311103335,0.15594483126909042,0.15056190579101686,0.16091814342200875,0.965625,0.953125,0.9781250000000001,0.9613636363636363,0.9436363636363637,0.9786363636363637,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
nested,comb_a_b_cd,adam,broadcast,20,20,0.0024732319797978503,0.0020502315347789893,0.0029154018527105074,0.024976226138268387,0.02446871481578482,0.025508354808755185,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8918122741778264,0.8706607147805446,0.9132115557724715,0,0.0,0.0
nested,comb_a_b_cd,adam,exact,20,20,0.0010154354349045948,0.0008598607626182159,0.0011849740988568783,0.023415125255195797,0.023077660326525105,0.023754651488672125,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0,0.0,0.0
nested,comb_a_b_cd,sgd,broadcast,20,20,0.00521318299367246,0.001968046285012079,0.010249405165889725,0.027670911328031407,0.0244183375208015,0.03252488442955822,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9213747221457874,0.8933723064320707,0.9449103193403404,0,0.0,0.0
nested,comb_a_b_cd,sgd,exact,20,20,0.00087607855817282,0.0007504088081647516,0.0010113540391539682,0.023276815811105356,0.022956093731891797,0.023595277535534233,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ab_cd,adam,broadcast,20,20,0.003401587043834485,0.0026595572511576497,0.004138459432492768,0.02630975052868447,0.025424312477254487,0.02716361278154006,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8726060449745081,0.8443270086837017,0.9013183551126114,0,0.0,0.0
or4,balanced_ab_cd,adam,exact,20,20,0.0009420305263856352,0.0007751726188098267,0.0011086357816549632,0.023891424070393463,0.023392190123248734,0.024385921260525,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ab_cd,sgd,broadcast,20,20,0.0026181746982673103,0.0017366830913951037,0.00363948985459642,0.02565161862688231,0.02457001470334714,0.026903372184864657,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8765656470553151,0.8539348336690451,0.9004640858352367,0,0.0,0.0
or4,balanced_ab_cd,sgd,exact,20,20,0.0008437390271396599,0.000688512224112519,0.001008794397841861,0.0238133414314439,0.02336786903373269,0.024250865248395356,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ac_bd,adam,broadcast,20,20,0.004479963974560625,0.003329979799925687,0.005826239887092294,0.027120741911162975,0.026064084177304273,0.028390138327756623,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8837534197777825,0.853930261374845,0.910027829206801,0,0.0,0.0
or4,balanced_ac_bd,adam,exact,20,20,0.0009973816017196748,0.0007828716196097738,0.001233654954478675,0.0240429825792206,0.023501436333835595,0.02458292113296832,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ac_bd,sgd,broadcast,20,20,0.002555155366511355,0.0018285148265059841,0.0034087007006629822,0.025403203278593873,0.024616807596665652,0.02641109390383329,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8886258759616398,0.865541782606511,0.9112908722921899,0,0.0,0.0
or4,balanced_ac_bd,sgd,exact,20,20,0.0008652678105531799,0.0006823904289145004,0.001050575749897032,0.023922107166284626,0.0234389850552156,0.024388518927933565,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ad_bc,adam,broadcast,20,20,0.003444882226178555,0.0025603342774298205,0.0044240222194013214,0.02638615155532458,0.025299948606647523,0.027574420807341238,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8676662927823939,0.8445212570189418,0.8914975485717346,0,0.0,0.0
or4,balanced_ad_bc,adam,exact,20,20,0.00100433884881716,0.0007844216923679843,0.0012397284451357508,0.023990543707648523,0.023458743934777607,0.024511204618808735,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or4,balanced_ad_bc,sgd,broadcast,20,20,0.00235949955884343,0.0017444835166826197,0.0030641850953776685,0.025345350416907435,0.024576162598156943,0.02613523628180356,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8494502175876109,0.7988388049014602,0.8892664867373318,0,0.0,0.0
or4,balanced_ad_bc,sgd,exact,20,20,0.000899325277918905,0.0007209240486877041,0.0010812233584334965,0.023894657541039893,0.023418868926027035,0.02435295617039899,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
or4,comb_a_b_cd,adam,broadcast,20,20,0.003043396381394955,0.002337490301554178,0.0037635640357390164,0.026020227032531144,0.025063633934779343,0.0269968077258523,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9019850791244881,0.8742949316047868,0.9262585747406563,0,0.0,0.0
or4,comb_a_b_cd,adam,exact,20,20,0.000995245476936395,0.0007878418049847057,0.0012337350850421122,0.023967924950885806,0.0234202443293373,0.024540527223769894,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
or4,comb_a_b_cd,sgd,broadcast,20,20,0.0022258805481600754,0.0016722589128405278,0.0028511570645090695,0.025202419855362656,0.024404931505927565,0.02606775043368112,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.921434807754167,0.8986123773391683,0.9410685073561866,0,0.0,0.0
or4,comb_a_b_cd,sgd,exact,20,20,0.000868925951203235,0.0006756506885970786,0.0010793853357089632,0.02383404298090538,0.02334647784419755,0.02432717427341501,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
or_of_ands,balanced_ab_cd,adam,broadcast,20,20,0.0019161051939320297,0.00148478381287687,0.0024100516967706055,0.02435605680417264,0.023723381720301702,0.025127760733725107,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9470329050160631,0.9394444099477798,0.9536891485651112,0,0.0,4.85
or_of_ands,balanced_ab_cd,adam,exact,20,20,0.00104424215226915,0.000894791299290232,0.0012086779220432718,0.023551915508384494,0.023118145086373172,0.024031899407760113,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or_of_ands,balanced_ab_cd,sgd,broadcast,20,20,0.0010437769582861303,0.0008474115553315745,0.0012474496071258204,0.023558930132507948,0.02314296027265359,0.02400929294398976,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9457559994583564,0.936332630946465,0.954681893107507,0,0.0,0.0
or_of_ands,balanced_ab_cd,sgd,exact,20,20,0.0009277495008151752,0.0007957446377323292,0.0010575230080013549,0.023424775698871657,0.02304371595592372,0.023847468164576634,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
or_of_ands,balanced_ac_bd,adam,broadcast,20,20,0.32321672006866164,0.3170816067017884,0.3301158191862248,0.3433845214116748,0.3354789371728008,0.3521898105988617,0.8875,0.8781249999999999,0.8999999999999999,0.8920634920634921,0.8805555555555555,0.9047718253968252,0.9164646395496542,0.8983739155129131,0.9331950128664876,0,0.0,14.55
or_of_ands,balanced_ac_bd,adam,exact,20,20,0.31114883499537493,0.3075020061233968,0.31515676326006253,0.3314509976547987,0.32440799617635635,0.3391165818893698,0.871875,0.8624999999999997,0.8812500000000001,0.8813492063492063,0.8682539682539683,0.8928571428571427,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or_of_ands,balanced_ac_bd,sgd,broadcast,20,20,0.31971278033021033,0.3137696154878102,0.32627230152406766,0.3397778658833747,0.33164255682696403,0.3484111020694508,0.884375,0.8687499999999999,0.9,0.8892857142857142,0.8726091269841268,0.9055555555555554,0.8920826816687487,0.869463772692996,0.9127011732346656,0,0.0,0.0
or_of_ands,balanced_ac_bd,sgd,exact,20,20,0.31122850928346957,0.30752926696911964,0.31534508655994903,0.3314033764502292,0.32438510046459285,0.33893356631900307,0.86875,0.85625,0.88125,0.8777777777777777,0.8634920634920634,0.8904761904761905,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
or_of_ands,balanced_ad_bc,adam,broadcast,20,20,0.3144728691435212,0.3115042399776207,0.3176977193243846,0.33631544040719147,0.3285108018019167,0.34458705162082853,0.88125,0.8656249999999999,0.8968750000000001,0.8888888888888887,0.8714285714285714,0.9059523809523811,0.9215238159607513,0.9079807208077942,0.9344338707095641,0,0.0,11.2
or_of_ands,balanced_ad_bc,adam,exact,20,20,0.3069138737691636,0.3046207247394247,0.30945967400495783,0.32928376995881004,0.3208832248433175,0.3380137173127715,0.871875,0.8593749999999999,0.884375,0.8837301587301587,0.8694444444444444,0.8972222222222221,1.0,1.0,1.0000000000000004,0,0.0,0.0
or_of_ands,balanced_ad_bc,sgd,broadcast,20,20,0.3118872725524575,0.30850154933689444,0.3155316347328791,0.3339796821970077,0.32616280476149817,0.34255006166825264,0.88125,0.8656250000000001,0.896875,0.8888888888888887,0.8742063492063491,0.9043650793650793,0.8696809598177359,0.8245349590748108,0.9068398764306554,0,0.0,0.0
or_of_ands,balanced_ad_bc,sgd,exact,20,20,0.307230509350844,0.3052183193243924,0.30946873783327294,0.32945784210399787,0.32124651049722797,0.33790984823819553,0.8625,0.8499999999999999,0.8750000000000001,0.8738095238095237,0.859503968253968,0.8880952380952379,1.0,1.0,1.0000000000000002,0,0.0,0.0
or_of_ands,comb_a_b_cd,adam,broadcast,20,20,0.2479504672629965,0.24419343968088114,0.2522269722653319,0.271144389963301,0.26774473776132646,0.2748039097505921,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8742771795806309,0.8385744813261052,0.9040962881978063,0,0.0,16.15
or_of_ands,comb_a_b_cd,adam,exact,20,20,0.2432547751200372,0.23964002274630386,0.24740210049175515,0.2661224648893745,0.2624276232798405,0.2700651263335195,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0,0.0,0.0
or_of_ands,comb_a_b_cd,sgd,broadcast,20,20,0.24539262236289536,0.2423814668769953,0.24888149399282153,0.268919348265509,0.2656161923127416,0.2721072304338491,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8807767274938669,0.8488887629659113,0.9086180437416903,0,0.0,3.9
or_of_ands,comb_a_b_cd,sgd,exact,20,20,0.24329799649850442,0.2397202406691733,0.2474290300039945,0.2661559989340884,0.2624138251336997,0.27008898484847543,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
parity4,balanced_ab_cd,adam,broadcast,20,20,0.9761144974997098,0.9110590073506886,1.0277006172809826,0.9997790996129725,0.9363152747471483,1.0500248158943057,0.5375,0.49375,0.584375,0.5375,0.49375,0.584375,0.7097527020706924,0.6467238070674698,0.7716888422487435,0,0.0,39.0
parity4,balanced_ab_cd,adam,exact,20,20,0.00083025154088915,0.0006672296680617033,0.0010031703895562532,0.023001804452685338,0.02259051187542908,0.023439331967490113,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,5.35
parity4,balanced_ab_cd,sgd,broadcast,20,20,0.9529572672438107,0.9065696585821259,0.9916385093395977,0.9778934623025911,0.9342207309338946,1.015355719109337,0.55625,0.5218750000000001,0.5906250000000001,0.55625,0.5218750000000001,0.5906250000000001,0.42813740045049337,0.29221463767581995,0.5567508670470549,0,0.0,0.0
parity4,balanced_ab_cd,sgd,exact,20,20,0.0006892820054394499,0.0005505087136625304,0.0008439106063948009,0.02286172498100883,0.022470621359360708,0.02328138074371235,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
parity4,balanced_ac_bd,adam,broadcast,20,20,0.8927798752308345,0.7757022423265856,0.9843122961635126,0.9125747852469381,0.7949501861364925,1.0062410300079894,0.578125,0.521875,0.64375,0.578125,0.521875,0.64375,0.6046568852082724,0.4782217902463613,0.7272300324860406,0,0.0,139.1
parity4,balanced_ac_bd,adam,exact,20,20,0.00099482643870796,0.0007829101642328763,0.0011995246553600208,0.023122660545512947,0.022620759200479092,0.02367071169873456,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,2.7
parity4,balanced_ac_bd,sgd,broadcast,20,20,0.9234011475895981,0.8181287234109587,1.0030151750994518,0.9426861458579902,0.8392991291681091,1.0215997672856012,0.578125,0.51875,0.65,0.578125,0.51875,0.65,0.38076784864324525,0.22541394256399713,0.5221489093724375,0,0.0,37.5
parity4,balanced_ac_bd,sgd,exact,20,20,0.0008486932444552299,0.0006559321817701531,0.001032343462009092,0.023013116138085654,0.022535745066337116,0.023535247437779752,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
parity4,balanced_ad_bc,adam,broadcast,20,20,0.9336148268212533,0.821648018885218,1.016533342422651,0.9591126187536592,0.8476312098959916,1.041041668784827,0.58125,0.525,0.6468750000000001,0.58125,0.525,0.6468750000000001,0.65783812717921,0.5349736014401877,0.76753611146082,0,0.0,67.8
