seed,optimizer,rate_scope,rate,contrast,reference_nmse,comparator_nmse,difference
2026210,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0671154911532756,0.5951600618597953,0.5280445707065197
2026210,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0671154911532756,0.0136572777563589,-0.0534582133969167
2026211,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0063512194151224,0.6173514363608594,0.611000216945737
2026211,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0063512194151224,0.0337835285077873,0.0274323090926649
2026212,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0011042185499855,0.771563845607075,0.7704596270570895
2026212,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0011042185499855,0.0200972243911913,0.0189930058412058
2026213,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.1447501304169613,0.5755366668712307,0.43078653645426945
2026213,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.1447501304169613,0.3780482900949234,0.2332981596779621
2026214,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.1266341540553812,0.6919321132467268,0.5652979591913456
2026214,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.1266341540553812,0.0558131052193859,-0.0708210488359953
2026215,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0003599234197779,0.7193349006587304,0.7189749772389525
2026215,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0003599234197779,0.0131728907286353,0.0128129673088574
2026216,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0139828308374156,0.6457582138113139,0.6317753829738983
2026216,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0139828308374156,0.0228646546836723,0.0088818238462567
2026217,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0024723239055289,0.7312955144281428,0.7288231905226139
2026217,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0024723239055289,0.6142217178689997,0.6117493939634708
2026218,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.196430961529037,0.55676232636011,0.36033136483107303
2026218,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.196430961529037,0.0064616658840085,-0.18996929564502849
2026219,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0024980434875497,0.5644156981281705,0.5619176546406208
2026219,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0024980434875497,0.226878472544575,0.2243804290570253
2026220,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.014420256483004,0.6669786738956462,0.6525584174126422
2026220,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.014420256483004,0.0915422220404123,0.0771219655574083
2026221,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.2312450981698465,0.6301800878162453,0.39893498964639884
2026221,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.2312450981698465,0.0712278681669685,-0.160017230002878
2026222,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0227470401462263,0.7390969000267753,0.716349859880549
2026222,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0227470401462263,0.3083668860704218,0.2856198459241955
2026223,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0126156852740794,0.5724291959882492,0.5598135107141697
2026223,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0126156852740794,0.0103934906953676,-0.0022221945787117992
2026224,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0023363889882519,0.7949578732000596,0.7926214842118077
2026224,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0023363889882519,0.0248093807105264,0.022472991722274502
2026225,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0039272402080651,0.7941232035467571,0.790195963338692
2026225,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0039272402080651,0.4000659673764897,0.3961387271684246
2026226,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0031989413102907,0.5756981110105166,0.5724991697002259
2026226,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0031989413102907,0.4565833800439233,0.4533844387336326
2026227,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.952688516527802,0.7967348716456389,-0.155953644882163
2026227,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.952688516527802,0.0142958899841289,-0.9383926265436731
2026228,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0175603637180104,0.6385606381572982,0.6210002744392878
2026228,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0175603637180104,0.103558880178237,0.0859985164602266
2026229,sgd,same_rate,0.003,crossed_minus_compatible_exact,0.0200307743255185,0.6424297132191881,0.6223989388936696
2026229,sgd,same_rate,0.003,broadcast_minus_exact_compatible,0.0200307743255185,0.1121802844928836,0.0921495101673651
2026210,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0005485886675019,0.5510314646875869,0.550482876020085
2026210,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0005485886675019,0.0004876176451488,-6.097102235310005e-05
2026211,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0003364924586541,0.5431181684914288,0.5427816760327747
2026211,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0003364924586541,0.0006686970509282,0.00033220459227410005
2026212,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0004917191724596,0.5574488490187304,0.5569571298462708
2026212,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0004917191724596,0.0007072485196062,0.0002155293471466
2026213,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0006157544773683,0.5551542919452189,0.5545385374678506
2026213,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0006157544773683,0.0057759328924308,0.0051601784150625005
2026214,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0010789377615004,0.6728243149974624,0.6717453772359621
2026214,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0010789377615004,0.0018388426022273,0.0007599048407269
2026215,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0002167195395697,0.5521983264766509,0.5519816069370812
2026215,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0002167195395697,0.0009217336703635,0.0007050141307938
2026216,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0003461018833113,0.553660680612075,0.5533145787287637
2026216,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0003461018833113,0.0008464217735933,0.000500319890282
2026217,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0006964722923589,0.5958210566691096,0.5951245843767506
2026217,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0006964722923589,0.0164684073883513,0.0157719350959924
2026218,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0007551430386937,0.5444776747802808,0.543722531741587
2026218,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0007551430386937,0.0031156617814311,0.0023605187427374
2026219,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0003122897330732,0.5496150594441549,0.5493027697110817
2026219,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0003122897330732,0.0018188056624659,0.0015065159293926999
2026220,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0005915447395063,0.5565751540898023,0.555983609350296
2026220,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0005915447395063,0.0013656372754653,0.0007740925359589999
2026221,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0005696554668604,0.5591235320034775,0.5585538765366171
2026221,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0005696554668604,0.0015473421747447,0.0009776867078843
2026222,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0003725662843093,0.7173676443104863,0.716995078026177
2026222,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0003725662843093,0.0005507722329119,0.00017820594860259997
2026223,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0003329239382724,0.542168774689918,0.5418358507516455
2026223,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0003329239382724,0.0003131671112221,-1.9756827050299995e-05
2026224,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.000715740140111,0.7531231940923214,0.7524074539522104
2026224,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.000715740140111,0.0002974410472531,-0.00041829909285790004
2026225,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0002819419738304,0.6179585736954734,0.617676631721643
2026225,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0002819419738304,0.0060918778910099,0.0058099359171795
2026226,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0004365976511478,0.551181756545543,0.5507451588943952
2026226,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0004365976511478,0.0009236876382848,0.000487089987137
2026227,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0007158405868239,0.5427976812325145,0.5420818406456905
2026227,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0007158405868239,0.0009707101977978,0.00025486961097389996
2026228,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0019250407107376,0.5378214592907178,0.5358964185799802
2026228,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0019250407107376,0.0025490850834913,0.0006240443727536997
2026229,sgd,same_rate,0.01,crossed_minus_compatible_exact,0.0013935127608618,0.5556506669774331,0.5542571542165714
2026229,sgd,same_rate,0.01,broadcast_minus_exact_compatible,0.0013935127608618,0.0048739020040907,0.0034803892432289
2026210,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0004233283655875,0.5522284257700241,0.5518050974044366
2026210,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0004233283655875,0.0003770783957562,-4.624996983130001e-05
2026211,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0005002116103947,0.5445622472127774,0.5440620356023826
2026211,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0005002116103947,0.0009264726575826,0.0004262610471879
2026212,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0006044239629451,0.5609537193389293,0.5603492953759842
2026212,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0006044239629451,0.0010146440468624,0.00041022008391729985
2026213,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0007989381589774,0.5508137732335876,0.5500148350746102
2026213,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0007989381589774,0.0028435904164343,0.0020446522574568997
2026214,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0012014133231434,0.6676347415909585,0.6664333282678151
2026214,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0012014133231434,0.0019287046701088,0.0007272913469654001
2026215,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.000235211585078,0.5421678740083961,0.5419326624233181
2026215,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.000235211585078,0.001417381272459,0.0011821696873809998
2026216,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0003666256525168,0.5599821766327098,0.559615550980193
2026216,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0003666256525168,0.0007958967557993,0.0004292711032825
2026217,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0007525240446507,0.5636046714183329,0.5628521473736823
2026217,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0007525240446507,0.0045382862922495,0.0037857622475987998
2026218,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0007879277855283,0.5446707648965727,0.5438828371110445
2026218,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0007879277855283,0.0039555367021385,0.0031676089166102
2026219,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0002615356017113,0.5500967936407712,0.54983525803906
2026219,sgd,same_rate,0.03,broadcast_minus_exact_compatible,0.0002615356017113,0.0017611007351102,0.0014995651333989
2026220,sgd,same_rate,0.03,crossed_minus_compatible_exact,0.0007275906291541,0.5504271925305031,0.549699601901349
