family,tree,optimizer,rule,rate,n_seeds,n_nested_fits,mean_population_nmse,population_nmse_ci95_low,population_nmse_ci95_high,mean_test_noisy_nmse,test_noisy_nmse_ci95_low,test_noisy_nmse_ci95_high,mean_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mean_gradient_cosine,gradient_cosine_ci95_low,gradient_cosine_ci95_high,failed_fits,mean_gradient_clipped_steps,mean_parameter_clipped_steps
and4,balanced_ab_cd,adam,broadcast,0.003,20,20,0.008832348155835201,0.0024611549724204134,0.019349263100730124,0.031300475795787805,0.024984406344669013,0.041634895023754094,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8046154181776022,0.7122450305649787,0.875305342066092,0,0.0,153.2
and4,balanced_ab_cd,adam,broadcast,0.01,20,20,0.0037654042240157703,0.0028182899904455852,0.004857712340594631,0.026393293262766765,0.02519747314495746,0.027722739455032185,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8525028057379425,0.7749273224456056,0.9017563124849323,0,0.0,181.35
and4,balanced_ab_cd,adam,broadcast,0.03,20,20,0.008545956432841638,0.0064438805646327485,0.010936109369357187,0.031062868670991117,0.02891471246672637,0.03348719705952802,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9523054938328483,0.9341013397561451,0.9686810766087615,0,0.0,6.85
and4,balanced_ab_cd,adam,exact,0.003,20,20,0.0012660829345119001,0.0006851363540918807,0.002281556146523776,0.02379119131154693,0.02294146657499384,0.025025172106414473,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000004,0,0.0,0.0
and4,balanced_ab_cd,adam,exact,0.01,20,20,0.0016650177743510349,0.0012986104619834877,0.002049367868218615,0.02432754039159372,0.02372944372430547,0.024924428316391363,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
and4,balanced_ab_cd,adam,exact,0.03,20,20,0.003956205598338454,0.002926963868137718,0.005177883457076015,0.026459274435856252,0.025290363113353243,0.027741477974286055,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ab_cd,sgd,broadcast,0.003,20,20,0.139794752622937,0.08367931337782072,0.20188958790641742,0.15988186592778636,0.10532869957196159,0.21956051740663862,0.996875,0.990625,1.0000000000000002,0.975,0.9249999999999999,1.0000000000000002,0.8121484779212516,0.6906849472819321,0.9137161029471906,0,0.0,18.25
and4,balanced_ab_cd,sgd,broadcast,0.01,20,20,0.009515127541713237,0.0018989173687174645,0.022278255246198586,0.032056121382515027,0.02442388882953137,0.044695131521272934,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.7872524288302442,0.673534928100298,0.8737726084529894,0,0.0,46.35
and4,balanced_ab_cd,sgd,broadcast,0.03,20,20,0.00894108922614549,0.0017910509780304548,0.021142161151399847,0.03150700880877078,0.024311127280040923,0.043659418428231025,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.7901367433598921,0.6883729934346876,0.8668405193167967,0,0.0,152.0
and4,balanced_ab_cd,sgd,exact,0.003,20,20,0.30253884247554014,0.15790508197248085,0.4549695033845133,0.33583250015117316,0.18372440609874852,0.49981024029933563,0.975,0.9625,0.9875000000000002,0.8,0.7,0.9000000000000001,1.0,1.0,1.0000000000000002,0,0.0,0.0
and4,balanced_ab_cd,sgd,exact,0.01,20,20,0.031512916164204714,0.0005375972321827727,0.09311391726845761,0.05272809084058577,0.022919037428331193,0.11172139611748239,0.996875,0.990625,1.0000000000000002,0.975,0.9249999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ab_cd,sgd,exact,0.03,20,20,0.00074737936651465,0.0005386331983997819,0.0010056306866047453,0.023327807200877695,0.022780747521471238,0.023875113219887407,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ac_bd,adam,broadcast,0.003,20,20,0.010504851584220116,0.002084625737157368,0.022370406744717245,0.03324763126287107,0.02473967268920466,0.04495082855557051,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8069684531442542,0.7113350834250312,0.8802914419025223,0,0.0,155.75
and4,balanced_ac_bd,adam,broadcast,0.01,20,20,0.0033036684831080345,0.002342338591505959,0.004539623839852251,0.025908107076009417,0.024849491362895798,0.027260285945929635,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8837700539483672,0.8522002988000513,0.9101483255704866,0,0.0,189.8
and4,balanced_ac_bd,adam,broadcast,0.03,20,20,0.008306485309271073,0.006195205766519515,0.01091730112654212,0.030814312709713094,0.028661805611958267,0.03356727965527537,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9571873311466209,0.9406583955913158,0.9715807413840833,0,0.0,7.5
and4,balanced_ac_bd,adam,exact,0.003,20,20,0.001461892105225015,0.0005643615158185463,0.0031541264294326046,0.024045347338805697,0.022795408160380202,0.026109621565473216,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
and4,balanced_ac_bd,adam,exact,0.01,20,20,0.00152699224207401,0.0011640323840191537,0.001883411218902948,0.02412649328602342,0.023546258788365738,0.024700488142558437,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,0,0.0,0.0
