seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026211,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026211,and4,sgd,exact,uniform_random_candidate_expectation,0.001320457906407175,1.0,1.0
2026211,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026211,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.6357280604330073,0.8125,0.7083333333333333
2026211,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026211,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.42404757855490993,0.90625,0.8125
2026211,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026211,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.6233709658579484,0.8125,0.6666666666666667
2026211,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026211,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.42207489494783945,0.90625,0.8125
2026211,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026211,nested,adam,broadcast,uniform_random_candidate_expectation,0.12584049931096905,0.984375,0.975
2026211,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026211,nested,adam,exact,uniform_random_candidate_expectation,0.10758384316691197,0.984375,0.975
2026211,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026211,nested,sgd,broadcast,uniform_random_candidate_expectation,0.12255532587617371,0.984375,0.975
2026211,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026211,nested,sgd,exact,uniform_random_candidate_expectation,0.10778131713295441,0.984375,0.975
2026211,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026211,or4,adam,broadcast,uniform_random_candidate_expectation,0.0027694116212310252,1.0,1.0
2026211,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026211,or4,adam,exact,uniform_random_candidate_expectation,0.000655999179459475,1.0,1.0
2026211,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026211,or4,sgd,broadcast,uniform_random_candidate_expectation,0.003038634120304175,1.0,1.0
2026211,or4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
