optimizer,rate_scope,contrast,rate,n_seeds,mean_difference,ci95_low,ci95_high,ci975_low,ci975_high,primary,margin_nmse,passes_adjusted_interval_and_mean_margin
adam,same_rate,broadcast_minus_exact_compatible,0.003,20,0.00189127486930201,0.0006391394116933383,0.003945647580707873,0.000564424677795697,0.004463003022816639,False,0.01,
adam,same_rate,broadcast_minus_exact_compatible,0.01,20,0.0017014331189464048,0.0010416363589470124,0.002433234439219328,0.0009611737277135401,0.0025435952796893676,False,0.01,
adam,same_rate,broadcast_minus_exact_compatible,0.03,20,0.0024980896049454997,0.0006789799403527139,0.004544871380471882,0.00046733303820567756,0.004904420822384292,False,0.01,
adam,same_rate,crossed_minus_compatible_exact,0.003,20,0.5631738150664298,0.5501480688703344,0.5798901714737712,0.5491435457703584,0.5827489877700951,False,0.01,
adam,same_rate,crossed_minus_compatible_exact,0.01,20,0.5627251002497162,0.5510970232297395,0.5777708564999964,0.5501564718569268,0.5804518976763481,False,0.01,
adam,same_rate,crossed_minus_compatible_exact,0.03,20,0.5666980496286053,0.5539644851242316,0.5828359669460658,0.5527324213604003,0.5854528024793472,False,0.01,
sgd,same_rate,broadcast_minus_exact_compatible,0.003,20,0.05677767377588834,-0.08422683153391151,0.1795224652096559,-0.11032410394513392,0.196832443140484,False,0.01,
sgd,same_rate,broadcast_minus_exact_compatible,0.01,20,0.0019699704182933003,0.0007129013480017041,0.003806289978827229,0.0006235951743437775,0.004128948685333826,False,0.01,
sgd,same_rate,broadcast_minus_exact_compatible,0.03,20,0.0010837046382030798,0.0006071027149178001,0.0016202960252547376,0.0005463115548820651,0.0017110134644866526,False,0.01,
sgd,same_rate,crossed_minus_compatible_exact,0.003,20,0.5738915221958699,0.47514351042138075,0.6527534516273674,0.45453149643005003,0.6615472370547197,False,0.01,
sgd,same_rate,crossed_minus_compatible_exact,0.01,20,0.5798192370386718,0.5567581598020235,0.6088749891174169,0.5539902580631776,0.6142232050765956,False,0.01,
sgd,same_rate,crossed_minus_compatible_exact,0.03,20,0.5698324419687555,0.5513338241830027,0.5927414660124242,0.5499712697620611,0.5968153494571375,False,0.01,
