optimizer,rule,rate,population_nmse
adam,broadcast,0.003,0.3390795579560471
adam,broadcast,0.01,0.33884784716933664
adam,broadcast,0.03,0.34702432340022027
adam,exact,0.003,0.16382065844475513
adam,exact,0.01,0.16574883198201565
adam,exact,0.03,0.1706800256553377
sgd,broadcast,0.003,0.39596035829670245
sgd,broadcast,0.01,0.33232844035693165
sgd,broadcast,0.03,0.33650936742503296
sgd,exact,0.003,0.3191826279898204
sgd,exact,0.01,0.1724521366051809
sgd,exact,0.03,0.16427441133012585
