JobID,JobName,State,ExitCode,ElapsedRaw,AllocCPUS,TotalCPU,MaxRSS
44660707,boolean_morphology,COMPLETED,0:0,18,1,00:00:00,
44660840_0,boolean_morphology,COMPLETED,0:0,14,1,00:00:00,
44660840_1,boolean_morphology,COMPLETED,0:0,14,1,00:00:00,
44660840_2,boolean_morphology,COMPLETED,0:0,24,1,00:00:00,
44660840_3,boolean_morphology,COMPLETED,0:0,22,1,00:00:00,
44660840_4,boolean_morphology,COMPLETED,0:0,14,1,00:00:00,
44661180_0,boolean_morphology,COMPLETED,0:0,13,1,00:00:00,
44661180_1,boolean_morphology,COMPLETED,0:0,9,1,00:00:00,
44661180_2,boolean_morphology,COMPLETED,0:0,20,1,00:00:00,
44661180_3,boolean_morphology,COMPLETED,0:0,20,1,00:00:00,
44661180_4,boolean_morphology,COMPLETED,0:0,20,1,00:00:00,
44661180_5,boolean_morphology,COMPLETED,0:0,10,1,00:00:00,
44661180_6,boolean_morphology,COMPLETED,0:0,10,1,00:00:00,
44661180_7,boolean_morphology,COMPLETED,0:0,10,1,00:00:00,
44661180_8,boolean_morphology,COMPLETED,0:0,8,1,00:00:00,
44661180_9,boolean_morphology,COMPLETED,0:0,8,1,00:00:00,
44661180_10,boolean_morphology,COMPLETED,0:0,8,1,00:00:00,
44661180_11,boolean_morphology,COMPLETED,0:0,8,1,00:00:00,
44661180_12,boolean_morphology,COMPLETED,0:0,13,1,00:00:00,
44661180_13,boolean_morphology,COMPLETED,0:0,10,1,00:00:00,
44661180_14,boolean_morphology,COMPLETED,0:0,14,1,00:00:00,
44661180_15,boolean_morphology,COMPLETED,0:0,13,1,00:00:00,
44661180_16,boolean_morphology,COMPLETED,0:0,12,1,00:00:00,
44661180_17,boolean_morphology,COMPLETED,0:0,12,1,00:00:00,
44661180_18,boolean_morphology,COMPLETED,0:0,9,1,00:00:00,
44661180_19,boolean_morphology,COMPLETED,0:0,9,1,00:00:00,
