family,raw_mean,raw_variance,positive_patterns,patterns,normalized_threshold,constant_mean_nmse,majority_class_accuracy,constant_balanced_accuracy
and4,0.0625,0.05859375000000001,1,16,1.8073922282301278,1.0,0.9375,0.5
or4,0.9375,0.05859375000000001,15,16,-1.8073922282301278,1.0,0.9375,0.5
parity4,0.5,0.25,8,16,0.0,1.0,0.5,0.5
or_of_ands,0.4375,0.24609375000000003,7,16,0.1259881576697424,1.0,0.5625,0.5
xor_of_ands,0.375,0.23437500000000003,6,16,0.2581988897471611,1.0,0.625,0.5
and_of_xors,0.25,0.18749999999999997,4,16,0.5773502691896258,1.0,0.75,0.5
nested,0.3125,0.21484375,5,16,0.40451991747794525,1.0,0.6875,0.5
