family,tree,optimizer,rule,step,n_seeds,n_nested_fits,mean_population_nmse,population_nmse_ci95_low,population_nmse_ci95_high,mean_test_noisy_nmse,test_noisy_nmse_ci95_low,test_noisy_nmse_ci95_high,mean_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mean_gradient_cosine,gradient_cosine_ci95_low,gradient_cosine_ci95_high,failed_fits,mean_gradient_clipped_steps,mean_parameter_clipped_steps
and4,balanced_ab_cd,adam,broadcast,0,20,20,1.6336911785208372,1.3408833922308323,1.9883531931801284,1.6618081805907967,1.3761089917050517,2.0134521346326766,0.9125,0.8875000000000001,0.93125,0.51,0.4766666666666667,0.5650000000000001,0.31116376792135664,0.08110609188871688,0.5251243380687811,0,0.0,0.0
and4,balanced_ab_cd,adam,broadcast,1,20,20,1.6158822247216242,1.3298060612060087,1.9663366400347626,1.6446991504112618,1.3635216282395155,1.9929647077299706,0.9125,0.8875000000000001,0.93125,0.51,0.4766666666666667,0.5650000000000001,0.31577596085513376,0.08830827649826976,0.5258489993339245,0,0.0,0.0
and4,balanced_ab_cd,adam,broadcast,16,20,20,1.3961909297787427,1.1531559629927894,1.6896715266327567,1.4289542987597519,1.183269801904516,1.7235000487051144,0.91875,0.903125,0.93125,0.49000000000000005,0.4816666666666667,0.49666666666666676,0.4243508762971769,0.23805625335633543,0.5898509379550428,0,0.0,0.0
and4,balanced_ab_cd,adam,broadcast,64,20,20,0.7655010939265091,0.5855317837657703,0.9555659744840741,0.7900994077757126,0.611748896057363,0.9792691055596281,0.953125,0.94375,0.9656250000000001,0.625,0.5499999999999999,0.7250000000000001,0.6110568295682473,0.4335309286038562,0.7628629158277346,0,0.0,1.7
and4,balanced_ab_cd,adam,broadcast,256,20,20,0.07943015430940487,0.020542066020138805,0.16445794701974764,0.09922709500476008,0.042371521179547636,0.1782405120489973,0.996875,0.9906250000000001,1.0000000000000002,0.975,0.925,1.0000000000000002,0.8352100099385444,0.7388324085616147,0.9110854325959082,0,0.0,14.65
and4,balanced_ab_cd,adam,broadcast,512,20,20,0.00936307730898598,0.0025480871424970993,0.019443520343331203,0.03178138815921659,0.025178598049412918,0.041602165395619395,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8181779644696817,0.7038831687271285,0.9027154516576801,0,0.0,32.25
and4,balanced_ab_cd,adam,broadcast,1024,20,20,0.004331024236608551,0.002247987237430478,0.007818037722707527,0.02689475497112554,0.02474211257251193,0.030289453833706032,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8268639107762645,0.7284457899045043,0.8970673571978323,0,0.0,83.3
and4,balanced_ab_cd,adam,broadcast,2048,20,20,0.0037654042240157703,0.0028182899904455852,0.004857712340594631,0.026393293262766765,0.02519747314495746,0.027722739455032185,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.8525028057379425,0.7749273224456056,0.9017563124849323,0,0.0,181.35
and4,balanced_ab_cd,adam,exact,0,20,20,1.6336911785208372,1.3408833922308323,1.9883531931801284,1.6618081805907967,1.3761089917050517,2.0134521346326766,0.9125,0.8875000000000001,0.93125,0.51,0.4766666666666667,0.5650000000000001,1.0,1.0,1.0000000000000002,0,0.0,0.0
and4,balanced_ab_cd,adam,exact,1,20,20,1.6188286345846623,1.3311079629518676,1.9690588990785713,1.6470592141887501,1.365742011030231,1.9935859625470111,0.9125,0.8875000000000001,0.93125,0.51,0.4766666666666667,0.5650000000000001,1.0,0.9999999999999999,1.0000000000000002,0,0.0,0.0
