seed,optimizer,rate_scope,rate,contrast,reference_nmse,comparator_nmse,difference
2026210,adam,development_selected,,crossed_minus_compatible_exact,0.0008391209402968,0.5553638830979425,0.5545247621576457
2026210,adam,development_selected,,broadcast_minus_exact_compatible,0.0008391209402968,0.0013372370165524,0.0004981160762556001
2026211,adam,development_selected,,crossed_minus_compatible_exact,0.0009106514119162,0.5438861785641615,0.5429755271522454
2026211,adam,development_selected,,broadcast_minus_exact_compatible,0.0009106514119162,0.0018786227376152,0.000967971325699
2026212,adam,development_selected,,crossed_minus_compatible_exact,0.0008410071113191,0.5616746451240877,0.5608336380127686
2026212,adam,development_selected,,broadcast_minus_exact_compatible,0.0008410071113191,0.0027610378294076,0.0019200307180884998
2026213,adam,development_selected,,crossed_minus_compatible_exact,0.001181210321152,0.551331322064468,0.550150111743316
2026213,adam,development_selected,,broadcast_minus_exact_compatible,0.001181210321152,0.005491052362685,0.004309842041533
2026214,adam,development_selected,,crossed_minus_compatible_exact,0.0020396349923609,0.6632111063375691,0.6611714713452082
2026214,adam,development_selected,,broadcast_minus_exact_compatible,0.0020396349923609,0.0052460460245814,0.0032064110322205003
2026215,adam,development_selected,,crossed_minus_compatible_exact,0.0004107580159961,0.537577174418074,0.5371664164020779
2026215,adam,development_selected,,broadcast_minus_exact_compatible,0.0004107580159961,0.0036090367921236,0.0031982787761275
2026216,adam,development_selected,,crossed_minus_compatible_exact,0.0004590920490746,0.5619396342927219,0.5614805422436473
2026216,adam,development_selected,,broadcast_minus_exact_compatible,0.0004590920490746,0.004358607567187,0.0038995155181124003
2026217,adam,development_selected,,crossed_minus_compatible_exact,0.000999514695077,0.5636974953933845,0.5626979806983076
2026217,adam,development_selected,,broadcast_minus_exact_compatible,0.000999514695077,0.0049185987430382,0.0039190840479612
2026218,adam,development_selected,,crossed_minus_compatible_exact,0.000912583659307,0.5444433491419252,0.5435307654826181
2026218,adam,development_selected,,broadcast_minus_exact_compatible,0.000912583659307,0.0079307512984052,0.007018167639098199
2026219,adam,development_selected,,crossed_minus_compatible_exact,0.0003565038604751,0.5499797097047985,0.5496232058443233
2026219,adam,development_selected,,broadcast_minus_exact_compatible,0.0003565038604751,0.0032289411410225,0.0028724372805474
2026220,adam,development_selected,,crossed_minus_compatible_exact,0.0009178628923047,0.551230071498314,0.5503122086060094
2026220,adam,development_selected,,broadcast_minus_exact_compatible,0.0009178628923047,0.0026325336641917,0.0017146707718870002
2026221,adam,development_selected,,crossed_minus_compatible_exact,0.000646449787941,0.5558508345166495,0.5552043847287085
2026221,adam,development_selected,,broadcast_minus_exact_compatible,0.000646449787941,0.0039530652199748,0.0033066154320338
2026222,adam,development_selected,,crossed_minus_compatible_exact,0.0008279777629549,0.6016805188319002,0.6008525410689454
2026222,adam,development_selected,,broadcast_minus_exact_compatible,0.0008279777629549,0.0033168390115822,0.0024888612486273
2026223,adam,development_selected,,crossed_minus_compatible_exact,0.0008300690079326,0.5397075136107741,0.5388774446028415
2026223,adam,development_selected,,broadcast_minus_exact_compatible,0.0008300690079326,0.0037564270608749,0.0029263580529423
2026224,adam,development_selected,,crossed_minus_compatible_exact,0.000908958328575,0.6525413904059054,0.6516324320773305
2026224,adam,development_selected,,broadcast_minus_exact_compatible,0.000908958328575,0.0017226941687939,0.0008137358402189
2026225,adam,development_selected,,crossed_minus_compatible_exact,0.0004570126638393,0.555976057706674,0.5555190450428347
2026225,adam,development_selected,,broadcast_minus_exact_compatible,0.0004570126638393,0.0021326391792061,0.0016756265153668
2026226,adam,development_selected,,crossed_minus_compatible_exact,0.0004088813012693,0.5479034962110462,0.5474946149097769
2026226,adam,development_selected,,broadcast_minus_exact_compatible,0.0004088813012693,0.0013593584129461,0.0009504771116768
2026227,adam,development_selected,,crossed_minus_compatible_exact,0.0010013014960088,0.557463834029762,0.5564625325337531
2026227,adam,development_selected,,broadcast_minus_exact_compatible,0.0010013014960088,0.0022696677715165,0.0012683662755077
2026228,adam,development_selected,,crossed_minus_compatible_exact,0.0024214554024476,0.5364108981463329,0.5339894427438853
2026228,adam,development_selected,,broadcast_minus_exact_compatible,0.0024214554024476,0.0029886956327753,0.0005672402303277002
2026229,adam,development_selected,,crossed_minus_compatible_exact,0.0015303247509571,0.5505075586833084,0.5489772339323513
2026229,adam,development_selected,,broadcast_minus_exact_compatible,0.0015303247509571,0.0041418194575475,0.0026114947065903997
