optimizer,learning_rate,validation_nmse
adam,0.003,0.020670129348731258
adam,0.01,0.018420967849504075
adam,0.03,0.018734427384889743
sgd,0.001,0.26453936001802697
sgd,0.003,0.11122794935049034
sgd,0.01,0.04876638908954327
sgd,0.03,0.02726524028618745
sgd,0.1,0.021934378177141504
sgd,0.3,0.01932191455837288
sgd,1.0,0.7760008118795344
