contrast,left,right,n_seeds,mean_difference,sd_difference,ci95_low_difference,ci95_high_difference,seeds_positive,paired_t_p_greater,paired_t_p_two_sided,holm_p_greater,exact_sign_flip_p_greater,exact_sign_flip_p_two_sided,confirmatory_superiority_family,seed_differences
neuron specific minus strict scalar,neuron specific,strict scalar,20,0.15090999752283096,0.03164591179096288,0.13609925490036667,0.16572074014529525,20,4.940380102714143e-15,9.880760205428286e-15,9.880760205428286e-15,9.5367431640625e-07,1.9073486328125e-06,True,0.181399971;0.117900014;0.131799996;0.116200000;0.127399981;0.122399986;0.141100019;0.121899992;0.154300004;0.136099994;0.131100029;0.142500013;0.128199995;0.184799999;0.197899997;0.177799970;0.223999977;0.142300010;0.199000001;0.140100002
exact path minus neuron specific,exact path,neuron specific,20,-0.005929999053478241,0.0071258644579898925,-0.00926500627801311,-0.002594991828943372,5,0.9992766756766039,0.001446648646792151,0.9992766756766039,0.9990444183349609,0.00193023681640625,True,-0.010199994;0.005600005;0.000499994;-0.007699996;-0.003399998;-0.007999986;-0.010200024;-0.013099998;-0.002200007;-0.011099994;-0.011000037;0.001599997;-0.007499993;0.009699970;-0.007799983;-0.008599967;-0.013299972;-0.019800007;-0.003699988;0.001599997
exact path minus backpropagation,exact path,backpropagation,20,0.00027000010013580324,0.005918046527854588,-0.002499730932763468,0.0030397311330350742,8,,0.8404971962407555,,0.42087459564208984,0.8417491912841797,False,0.001199991;0.013500005;-0.000100017;0.001500010;0.002099991;-0.000499994;-0.000200003;-0.007699996;-0.000699997;-0.006799996;-0.000100017;0.008500010;-0.004400015;0.006499976;-0.004199982;0.005500019;-0.001899987;-0.011299998;0.007100016;-0.002600014
