feedback,n_seeds,mean_test_accuracy,sd_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy
strict scalar,20,0.34650498926639556,0.031099694135415794,0.3319498843757682,0.3610600941570229
neuron specific,20,0.4974149867892265,0.0043062093288159485,0.49539961878628086,0.4994303547921722
exact path,20,0.4914849877357483,0.004522373349983171,0.4893684518567467,0.49360152361474985
backpropagation,20,0.4912149876356125,0.0035652254600767436,0.4895464107581615,0.4928835645130635
