seed,feedback,selected_final_tensors_equal,source,config_sha256,final_sha256
22000,backpropagation,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_60,3683a2b63a89c843e03971bc5cefa872ef1c5284989ecbe65c46ac7e7367010a,4a47a92a0e2235a95cd8bb9bad78bd99dc9504ffcd0b095df44220e99f9974b5
22000,exact path,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_40,5be3e224e64c2a3ecf7e32dda13ccceee0aa58c22cbf4c0dc95abb632accd948,efda1f785dccb404dd31f1e7645c8defa1eb96fd49edbf40a14ddf9f7b570053
22000,neuron specific,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_20,069ba916688a3ad409049558f9f5c4c2bb3c48c6b666acc04614ef096621c596,8a698f4fa5530b82e008b469a177742b78c35183c3df0b83c4a19cb3bd766a32
22000,strict scalar,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_0,bf0ba65029f463f32050e512322e7b122b9464cc948400a739c1ffc7e83090aa,307103a3faf7cfa8306a6392165e6431d6f819ea672d920237cfd46e3362e755
22001,backpropagation,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/run_completion_revision_20260923/cifar_extension/results/config_61,84297ae79e0ed23a48e5e48b45b5302196d86793203b73bce351acd89bb5cb93,f8d004efc76067568f9de8481faae044e89548d193b8d8cfee6c8347f7639259
22001,exact path,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/run_completion_revision_20260923/cifar_extension/results/config_41,4101f8022a7addc786ab4527932098a69d7fe1025b23fa424c48470908aee510,a7ede58878101eef1b9f03668625edf20896092ce278b5b03a51c6ca511e7e1c
22001,neuron specific,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/run_completion_revision_20260923/cifar_extension/results/config_21,9bbc52bb9b2c8d3131aa7166c9592a63fab5be8af209d47e30889433efd15ad2,d7eb63629bf634b18a339520cc84e1a2602399f9957aa39e9c333b1315c81ab6
22001,strict scalar,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/run_completion_revision_20260923/cifar_extension/results/config_1,c07fff07519f60bc2ae8a8b99495114e53f2b5349d153ccdb8f9ae5e6cbfaa27,a7bedea46343d905d6d627c37be04eef903bdfbca7722e6169164d54b8375718
22002,backpropagation,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_62,c336bddb7fddd89ec4642c13c4e45657f9e9c08799b3d12b8e6f3729b27b8b0d,ac192c00b6a108bcaabec51529885874fd4f7937e75352d0614085052a828987
22002,exact path,True,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/cifar_shunting_revision_20260922/sweep_runs/cifar10_shunting_feedback_ladder_requeue/journal_cifar10_shunting_feedback_ladder_requeue_20260922132348/results/config_42,bc2a2f6486d5a83b5ceb8cfc03b8aaff8daa7640df3d10c5ca79ed1b425841d7,9cabc15425cd52f605126038cfa1e4dcc92cb53bbc01aef18a7bbf36ada77156
