optimizer,learning_rate,credit_rule,compatible,step,mean_test_nmse,ci95_low,ci95_high,n_seed_blocks,n_fits
adam,0.01,broadcast_projection,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
adam,0.01,broadcast_projection,False,10,0.26589580986609807,0.1563515466513605,0.4263050745226701,20,120
adam,0.01,broadcast_projection,False,100,0.04664585355742208,0.039671660430313435,0.05526506046572134,20,120
adam,0.01,broadcast_projection,False,300,0.03369967613833218,0.031148886151901183,0.0364657209561009,20,120
adam,0.01,broadcast_projection,False,1000,0.031430236314069215,0.028894433081556124,0.03422470297519522,20,120
adam,0.01,broadcast_projection,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
adam,0.01,broadcast_projection,True,10,0.24286230103894613,0.13711019664405702,0.39028718672549884,20,60
adam,0.01,broadcast_projection,True,100,0.014889036165097184,0.009290823341453692,0.022459186500092803,20,60
adam,0.01,broadcast_projection,True,300,0.0031848160861239344,0.0018506174299906801,0.004828399392765057,20,60
adam,0.01,broadcast_projection,True,1000,0.0002469178202967544,9.624132714505978e-05,0.0004420756068254444,20,60
adam,0.01,calibrated_broadcast,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
adam,0.01,calibrated_broadcast,False,10,0.2659204250196831,0.1564861954639971,0.4262427860408909,20,120
adam,0.01,calibrated_broadcast,False,100,0.04586249604744864,0.039261374256659654,0.05391699371886543,20,120
adam,0.01,calibrated_broadcast,False,300,0.03354095393977856,0.030996821289770767,0.03631805748624983,20,120
adam,0.01,calibrated_broadcast,False,1000,0.031559494938109556,0.02895505851177592,0.03447009037603241,20,120
adam,0.01,calibrated_broadcast,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
adam,0.01,calibrated_broadcast,True,10,0.24293251136216076,0.13722901787907033,0.39032597968205035,20,60
adam,0.01,calibrated_broadcast,True,100,0.014394447979248891,0.008951716385969845,0.02171460287147466,20,60
adam,0.01,calibrated_broadcast,True,300,0.0029522239275799303,0.00176559545337378,0.004376669463894027,20,60
adam,0.01,calibrated_broadcast,True,1000,0.00020885979486199723,8.677601861142051e-05,0.00036200420904367107,20,60
adam,0.01,exact_path,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
adam,0.01,exact_path,False,10,0.26385672985590136,0.1539640389090729,0.4243496330224591,20,120
adam,0.01,exact_path,False,100,0.0430175411353182,0.03695705886686935,0.050489457124735626,20,120
adam,0.01,exact_path,False,300,0.03144966705153359,0.02931371941961561,0.03365264192840588,20,120
adam,0.01,exact_path,False,1000,0.028920668472112616,0.027066179588408124,0.030866986287458424,20,120
adam,0.01,exact_path,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
adam,0.01,exact_path,True,10,0.2409198642187142,0.13481611229207932,0.38867584022374224,20,60
adam,0.01,exact_path,True,100,0.012231852134233565,0.007275382155042318,0.019169177595862046,20,60
adam,0.01,exact_path,True,300,0.0023738155508228513,0.0013515680926568549,0.003681841277998232,20,60
adam,0.01,exact_path,True,1000,0.00014956943314853741,6.801145323392349e-05,0.000244122542176837,20,60
adam,0.01,subtree_projection,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
adam,0.01,subtree_projection,False,10,0.2655111766179787,0.15582363698497062,0.42569030695202814,20,120
adam,0.01,subtree_projection,False,100,0.04568109880992659,0.038915708520184174,0.05376422092801422,20,120
adam,0.01,subtree_projection,False,300,0.0331108880990661,0.030631325292017283,0.03577417906964432,20,120
adam,0.01,subtree_projection,False,1000,0.030199564788772774,0.02804175281411147,0.032581698078375736,20,120
adam,0.01,subtree_projection,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
adam,0.01,subtree_projection,True,10,0.24245761494134604,0.1366886568956968,0.38981576142955504,20,60
adam,0.01,subtree_projection,True,100,0.014019032732523029,0.008358265287001192,0.021775511491618903,20,60
adam,0.01,subtree_projection,True,300,0.003047981678807905,0.0016720860834062595,0.004849458691671346,20,60
adam,0.01,subtree_projection,True,1000,0.00018271601710523338,8.17074742211185e-05,0.00030192869252371586,20,60
sgd,0.3,broadcast_projection,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
sgd,0.3,broadcast_projection,False,10,0.0975106688684344,0.08385146758717296,0.11260182063940773,20,120
sgd,0.3,broadcast_projection,False,100,0.03841191841291843,0.03554012480455168,0.041316342434163975,20,120
sgd,0.3,broadcast_projection,False,300,0.03397470990346117,0.0314852079740354,0.036656186896434066,20,120
sgd,0.3,broadcast_projection,False,1000,0.03177069197980888,0.029284831658162876,0.034583331737929296,20,120
sgd,0.3,broadcast_projection,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
sgd,0.3,broadcast_projection,True,10,0.0650115390752761,0.05349645844192756,0.07768062844212428,20,60
sgd,0.3,broadcast_projection,True,100,0.009033600293046904,0.00719511516742651,0.010981727910863454,20,60
sgd,0.3,broadcast_projection,True,300,0.004180694968362388,0.0032851823659032467,0.005192868923629295,20,60
sgd,0.3,broadcast_projection,True,1000,0.0009629502208802776,0.0007029723344088567,0.0012727784006529364,20,60
sgd,0.3,calibrated_broadcast,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
sgd,0.3,calibrated_broadcast,False,10,0.09694337534108274,0.08348370053420555,0.11187008473135675,20,120
sgd,0.3,calibrated_broadcast,False,100,0.038041034624107115,0.03515814854452651,0.040964305399438905,20,120
sgd,0.3,calibrated_broadcast,False,300,0.033925481476252496,0.03144062541534234,0.03662815608423357,20,120
sgd,0.3,calibrated_broadcast,False,1000,0.03185728542955396,0.029328750448752102,0.034751292063096816,20,120
sgd,0.3,calibrated_broadcast,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
sgd,0.3,calibrated_broadcast,True,10,0.06460144387795971,0.05319708539176144,0.077145659479237,20,60
sgd,0.3,calibrated_broadcast,True,100,0.00865882887155592,0.0068995318878211104,0.010554332190347671,20,60
sgd,0.3,calibrated_broadcast,True,300,0.004008612151850682,0.0031536557936788583,0.004954787729607049,20,60
sgd,0.3,calibrated_broadcast,True,1000,0.0008629358318339244,0.0006417214457888363,0.0011094864052036914,20,60
sgd,0.3,exact_path,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
sgd,0.3,exact_path,False,10,0.09254137371613977,0.07997751493652026,0.1063234161231187,20,120
sgd,0.3,exact_path,False,100,0.03534035604533016,0.03287774513843219,0.03775340324640608,20,120
sgd,0.3,exact_path,False,300,0.031452929451835976,0.029363730486657406,0.033597165593598086,20,120
sgd,0.3,exact_path,False,1000,0.029179991251745297,0.027287044993071847,0.031172844223725384,20,120
sgd,0.3,exact_path,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
sgd,0.3,exact_path,True,10,0.06054790670685879,0.04976049716775117,0.07237326833057767,20,60
sgd,0.3,exact_path,True,100,0.006661961261074945,0.005307742248959986,0.008149239753966246,20,60
sgd,0.3,exact_path,True,300,0.0027545916932545404,0.002196120166220744,0.003379070603016296,20,60
sgd,0.3,exact_path,True,1000,0.00047046028157590546,0.00037378900671240713,0.0005754721651197857,20,60
sgd,0.3,subtree_projection,False,0,0.5634488690087414,0.3425249691902008,0.8570010015847798,20,120
sgd,0.3,subtree_projection,False,10,0.09605990638375521,0.08281363292755413,0.11072396845352703,20,120
sgd,0.3,subtree_projection,False,100,0.03767086976521067,0.0347910832269044,0.04052799421532824,20,120
sgd,0.3,subtree_projection,False,300,0.03315261013416249,0.03078772759017816,0.035668919036737315,20,120
sgd,0.3,subtree_projection,False,1000,0.030656643398449535,0.028413480515852067,0.033143294328722796,20,120
sgd,0.3,subtree_projection,True,0,0.5455314274042103,0.3286840382549282,0.8241145208146657,20,60
sgd,0.3,subtree_projection,True,10,0.0629117985622043,0.05211208848532115,0.07449167057915836,20,60
sgd,0.3,subtree_projection,True,100,0.00823389856698568,0.006529477670380728,0.010174290049855872,20,60
sgd,0.3,subtree_projection,True,300,0.0036473093034675545,0.0028380519154431612,0.004554903866557903,20,60
sgd,0.3,subtree_projection,True,1000,0.0007355761218848415,0.0005543818687103958,0.0009283255455491053,20,60
