,,,,conductance_sum,conductance_sum,conductance_sum,min_conductance,min_conductance,min_conductance,max_conductance,max_conductance,max_conductance,bound_events,bound_events,bound_events,min_total_conductance,min_total_conductance,min_total_conductance
,,,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
optimizer,learning_rate,credit_rule,compatible,,,,,,,,,,,,,,,
adam,0.01,broadcast_projection,False,38.99213047369184,32.60209783889663,52.53562704512376,0.5185659676458368,0.2514597810160339,0.724232843448739,5.544732428413506,3.4336719882558064,13.917730547588508,0.0,0,0,1.2578894056265562,1.145021769335331,1.4035690960004774
adam,0.01,broadcast_projection,True,38.77266824162128,33.76304570585112,54.11528281488205,0.5398819663094737,0.4002581566878604,0.69473615072202,5.674642628571926,3.5641852652014103,16.983034707418867,0.0,0,0,1.2652001721363542,1.155551026284551,1.391278114296401
adam,0.01,calibrated_broadcast,False,39.04078354524982,32.637496591837575,53.66822333692865,0.5161949465365566,0.2485133005358188,0.7353786779424829,5.617798954546375,3.440535755588472,14.23537592587712,0.0,0,0,1.2562459784288993,1.1443629236560666,1.4027340198127538
adam,0.01,calibrated_broadcast,True,38.791023042581045,33.84390112267054,54.33160289539279,0.5382083765926169,0.4002570014357279,0.6919414974489825,5.6954790439510194,3.595483226982632,17.13429168274937,0.0,0,0,1.264664777463667,1.155548179805303,1.3938519147997344
adam,0.01,exact_path,False,37.54191143083455,31.87950107095351,50.22758765188373,0.5085561860725536,0.2933573383466398,0.6904401634382892,5.19641700902939,3.401113061649548,13.792022435502847,0.0,0,0,1.2568898189907673,1.1344500018751007,1.410862411732066
adam,0.01,exact_path,True,38.866256807793505,34.07716868435416,53.54578186066574,0.5352224404088606,0.4003885618544539,0.6727328959563388,5.661132682203226,3.620906347743069,16.695859197131366,0.0,0,0,1.2613741973133266,1.1489623554135928,1.3967650776285851
adam,0.01,subtree_projection,False,38.31560074889621,32.46036600678733,50.22497988454174,0.5107631440694911,0.2440194262332695,0.7588911456882503,5.438143225004746,3.415768863607947,14.01744676546122,0.0,0,0,1.2593705453764414,1.1437004065744791,1.39037493066299
adam,0.01,subtree_projection,True,38.79368533289939,33.80254660563067,54.05579350142848,0.5345957736772565,0.4003165143040192,0.6816466770429672,5.658823748304312,3.5985225949856927,16.954869396206323,0.0,0,0,1.2635514271096577,1.1559245780689895,1.3931961159767798
sgd,0.3,broadcast_projection,False,38.44397656802822,32.53122167322931,50.17840512001093,0.537467697238483,0.3726687030036581,0.7684123060157376,5.469036799930088,3.5808273930928864,13.185342239895109,0.0,0,0,1.2664856824966932,1.1402664313030215,1.425992395724256
sgd,0.3,broadcast_projection,True,38.63152472123532,33.79427292457146,53.17752450992018,0.5489719739456371,0.3955791593846874,0.7238409180326443,5.675590198918324,3.807035055461613,15.540314714552274,0.0,0,0,1.2719302076544723,1.1504392240118029,1.4138659708937007
sgd,0.3,calibrated_broadcast,False,38.54224540514405,32.40724185039978,50.96830286327783,0.5365335485019579,0.3700081813202232,0.7837657578008621,5.539129686059594,3.5826824622585014,13.62362889728218,0.0,0,0,1.2648687479856615,1.1398168604284582,1.4258107564775868
sgd,0.3,calibrated_broadcast,True,38.64326774766197,33.810148089021745,53.38014839866169,0.5484033550205749,0.388761194635797,0.7237499708409059,5.693536488585893,3.8111100996819793,15.705508330500695,0.0,0,0,1.2714998417466417,1.1505687778262697,1.4168312040277944
sgd,0.3,exact_path,False,37.2726698595225,32.07597037837097,48.496564102450094,0.5248513659958535,0.3397519423597773,0.7146079782925834,5.172674299350635,3.445209119052873,13.689255225493152,0.0,0,0,1.2668000962534272,1.130626195978124,1.43318808120399
sgd,0.3,exact_path,True,38.48460715690643,33.64312887413428,51.03295799927339,0.5453163801935197,0.3770352020761719,0.7234808861149334,5.632294834908118,3.861844244454908,15.112558153694897,0.0,0,0,1.2712132565839087,1.1465078108999949,1.416117136095915
sgd,0.3,subtree_projection,False,38.00780178004223,32.4923174450958,49.0994082095629,0.5320275470877712,0.358515923104417,0.730617348047397,5.389266602944236,3.5817824301124714,13.441695103039322,0.0,0,0,1.2675147605231094,1.1375809611618797,1.411595700715274
sgd,0.3,subtree_projection,True,38.55526280661461,33.683899816017245,52.775242360146265,0.5468304830792861,0.3958296113289643,0.7235908298537658,5.655623380691182,3.80813139992849,15.535816876218274,0.0,0,0,1.271981714838343,1.1496331197279976,1.415225469051558
